Day,P1_auto,P1_B,P2_auto,P2_B,P3_auto,P3_B
D1,98.40425532,98.91891892,96.96969697,97.5,98.13953488,96.66666667
D1Bis,99.5660377,99.46236559,95.3125,96.93251534,99.46808511,99.42196532
D4,99.02439024,94.3877551,95.83333333,86.20689655,98.61751152,98.28571429
D4Bis,96.875,96.96969697,94.88636364,89.65517241,96.42857143,100
D8,97.71428571,91.81818182,100,74.80314961,99.5215311,97.25274725
D8Bis,98.98477157,92.82051282,95.77464789,75.81699346,96.44444444,95
D11,98.94179894,93.18181818,100,46.4,98.58490566,94.35028249
D11Bis,96.51162791,91.62561576,97.05882353,49.55752212,95.65217391,95.18716578
D14,96,93.18181818,98.8372093,23.7037037,93.01075269,93.82022472
D14Bis,95.45454545,80.75117371,97.76119403,45.80152672,87.6344086,91.08280255
