,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DAB2IP,24.704795396627,-2.0649501284197,0.250490673719811,-8.24362080134559,1.67076077777483e-16,1.47160604979232e-12
DUOX2,101.850467063013,-7.43320150500959,1.19675663740002,-6.21112202156519,5.26076015686379e-10,1.21010531348529e-06
LINC02576,67.9293005461965,-3.82223874403548,0.805334494432752,-4.74615053801678,2.07324436291707e-06,0.00107575466880859
PLCD3,113.799258979878,-1.82443592350945,0.3962487480661,-4.60426924353362,4.1391668169967e-06,0.00159829594952124
ACKR2,6.13209797515448,-2.52561661239729,0.597921145854717,-4.22399614047262,2.40008161015484e-05,0.00553485486875153
IGHV4-4,4.10363154252138,-4.70924610839527,1.15157490476418,-4.08939625977665,4.32497446212058e-05,0.00854903285345834
THBS1,3.94792574555707,-2.53671277911208,0.643636735758286,-3.94121814088735,8.10688574944097e-05,0.0133273991072988
RGS2,2504.26885309737,-2.18147058670408,0.581234850967486,-3.75316549424548,0.000174615491869853,0.0223024279000541
RHPN1,95.8625358355273,-2.13370219528919,0.60741301007496,-3.5127699932306,0.000443461188785958,0.0438298031250685
