DA_TFs_auto
ATF2
ATF4
FOXM1
GATA1
GLYR1
GTF2B
MBD1
MYC
MYNN
NFATC2
NR1H3
RFX5
TERF1
ZNF750
E2F1
E2F2
E2F4
IRF9
NFKB1
PIN1
RELA
SREBF1
SREBF2
STAT2
STAT3
TFDP1
FOS
HIF1A
HMGN3
JUN
LYL1
MAZ
MBD3
NFYC
SNAI1
SPI1
ZBTB7A
ZHX1
ZHX2
ZNF207
ZNF263
