"","p1_rep1_B.D1_p1_rep1_B","p1_rep1_B.D4_p1_rep1_B","p1_rep1_B.D8_p1_rep1_B","p1_rep1_B.D11_p1_rep1_B","p1_rep1_B.D14_p1_rep1_B","p1_rep2_B.D1_p1_rep2_B","p1_rep2_B.D4_p1_rep2_B","p1_rep2_B.D8_p1_rep2_B","p1_rep2_B.D11_p1_rep2_B","p1_rep2_B.D14_p1_rep2_B","p2_rep1_B.D1_p2_rep1_B","p2_rep1_B.D4_p2_rep1_B","p2_rep1_B.D8_p2_rep1_B","p2_rep1_B.D11_p2_rep1_B","p2_rep1_B.D14_p2_rep1_B","p2_rep2_B.D1_p2_rep2_B","p2_rep2_B.D4_p2_rep2_B","p2_rep2_B.D8_p2_rep2_B","p2_rep2_B.D11_p2_rep2_B","p2_rep2_B.D14_p2_rep2_B","p3_rep1_B.D1_p3_rep1_B","p3_rep1_B.D4_p3_rep1_B","p3_rep1_B.D8_p3_rep1_B","p3_rep1_B.D11_p3_rep1_B","p3_rep1_B.D14_p3_rep1_B","p3_rep2_B.D1_p3_rep2_B","p3_rep2_B.D4_p3_rep2_B","p3_rep2_B.D8_p3_rep2_B","p3_rep2_B.D11_p3_rep2_B","p3_rep2_B.D14_p3_rep2_B"
"SCMH1",859.827534662132,1040.71348258418,971.701265438286,787.252360993428,846.759413287798,795.825013392603,988.520100780438,797.737566129485,778.997165537183,827.945240051142,449.761312533365,670.358533589927,666.444363228425,559.935873956829,667.866903754372,489.47523561297,587.288937374191,685.24668876962,644.233898176685,604.463646047443,451.297333567171,569.01860245777,596.472572736273,604.971552297369,559.528010562889,467.197083568434,481.373208240408,521.944589020209,553.530395494421,586.665320184101
"HIVEP2",6245.84676693964,6158.36529647555,4494.25844799023,4347.00216722458,4555.10662982637,6102.23357871931,6219.2277451665,4905.53963610309,4365.13267782442,5373.7481248006,3355.52260137252,5289.25152459806,5489.88146725736,4180.85452554433,4100.08357470399,3455.48034670974,5898.99110429188,6080.99710563768,4587.25582918579,2212.09918273641,5565.3520316193,5232.83286811373,4415.29502084077,4758.67703603346,4766.3047667689,5558.27118539505,4871.78714269438,4563.28697829097,5705.62099971173,5278.50265299821
"AKAP8L",2882.84166924598,2484.2576511842,2843.37498317985,2379.36024136275,2751.66611051299,2617.31947897727,2558.32381637877,2263.17054719748,2023.0780612883,2672.21018212691,1483.70698157074,1961.99777135554,1633.58645940522,2414.80390699543,2589.08999195507,1496.04499913055,1662.89775045396,1788.90228286744,2164.44848406349,3258.25109057041,1456.99009845608,1500.35593925713,2127.26351136022,2045.2255427533,1962.59608043425,1512.66506714192,1541.6843788202,1895.90158335531,2052.49418235137,1881.7847105652
"DPF1",2.79164783981212,0,1.12076270523447,2.93385973041029,0,0.90847604268562,4.22444487513008,1.09279118647875,2.16990853910079,3.38397237078123,1.01069957872666,3.34621564187984,3.68201305651064,3.86162671694365,2.2114798137562,1.53440512731339,1.0875721062485,5.44566904982479,2.21767262711423,4.57234225451924,0.972623563722352,4.75172110611917,4.65994197450213,0.810953823454918,0,1.1450908910991,4.03160140904865,2.98254050868691,0,2.97045731738785
"WIZ",986.382236733614,1321.15496620889,1229.47668764221,1053.25564321729,961.512828783292,893.94042600265,1323.09613489074,1243.59637021281,968.502511285318,931.720392755099,901.544024224183,855.515799107278,963.460083120284,1040.06479576349,1003.45896549188,835.483591822138,821.116940217619,1060.09024169923,1043.41497105725,1051.63871853942,1099.06462700626,1227.13197565527,1216.24485534506,1271.57559517731,1023.17161150654,1149.6712546635,1184.48449397849,1244.713572292,1135.7366199548,891.137195216355
"ZBTB32",1846.20977139575,2597.73108386472,1900.81354807766,1763.24969797659,1234.50516459362,1642.5246851756,2424.83135832466,1454.50506920321,1565.9506623844,1153.9345784364,1066.28805555663,1193.48357893714,1021.14495433895,473.692877278421,833.175019832648,1055.67072759161,1000.56633774862,1067.35113376566,910.354613430393,365.787380361539,1735.16043768068,1993.34700401699,2498.89388382677,2744.26773857144,2806.13613974273,1813.82397150098,1871.46937408038,2381.06150610172,2472.20404267132,2422.40794232979
"ZNF582",134.929645590919,130.494447582596,110.955507818213,161.362285172566,122.000999632051,117.193409506445,114.904900603538,110.371909834353,135.257632270616,120.695014557864,160.701233017539,160.618350810232,168.145262913986,274.175496902999,222.253721282498,173.387779386413,176.186681212257,176.984244119306,221.767262711423,228.617112725962,164.373382269077,110.477515717271,118.828520349804,109.478766166414,106.807949955606,120.234543565406,105.627956917075,154.097926282157,141.641215801555,109.90692074335
"ZFP64",1073.85386904773,837.271828278395,683.665250193027,705.10428854194,711.471176072059,1036.57116470429,794.195636524454,919.037387828626,691.477521126784,665.514566253642,689.297112691584,625.742325031529,495.844424943433,499.437055391379,494.265738374511,674.371053454233,574.238072099209,518.246171241659,460.167070126204,549.595538993212,823.812158472832,883.820125738165,761.900512831099,750.1322866958,642.061426437675,742.018897432219,744.23362011038,866.925107858328,687.350930668897,610.428978723203
"RUNX3",3299.72774665792,2951.11977421262,2860.18642375837,4208.13280665183,3848.46717651202,3260.52051719869,3031.46164239334,3783.24308758942,4188.64678331089,4190.48578581743,4258.07732517543,3584.91235766726,4018.30358233861,2628.48058533298,2387.29245894982,4185.85718731091,3623.79025802001,3673.10377410682,3095.87098745147,1803.33178518239,2946.076774515,3202.66002552432,2644.51707052996,3112.44077441998,2772.15179202958,3017.31449804614,2930.97422437837,2969.6161664826,3114.36881860598,2753.61393321854
"HSF2",279.164783981212,343.662396118141,341.832625096514,439.101006318074,345.468177175906,266.183480506887,301.625364084287,340.950850181369,401.433079733646,382.388877898279,386.087239073585,306.736433838985,346.109227312,444.08707244852,456.670581540655,348.309963900138,313.220766599569,391.180560079081,431.337325973719,557.825755051347,299.568057626484,314.801523280395,375.125328947422,458.188910252029,360.476831100169,291.998177230271,270.923614688069,432.468373759602,399.723676495187,357.940106745236
"PHF20",1581.0032266136,1344.66017726414,1310.1716024191,1661.5425606557,1757.53915311519,1591.65002678521,1358.58147184183,1605.31025293728,1668.65966656851,1835.24101575369,1990.0674705128,1438.87272600833,1366.02684396545,1280.77286111964,1175.95439096486,1977.84820910695,1512.81279979167,1316.9442985493,1216.39343597216,1006.82976444514,1623.30872785261,1711.80752847943,1530.79093862395,1775.17791954282,1613.04278967045,1596.25670219215,1619.09112587394,1571.798848078,1717.07387990106,1804.55282031312
"NR1H3",50.2496611166181,38.9051769190348,40.347457388441,37.1622232518637,56.7727424030335,39.0644698354817,43.0893377263268,44.8044386456286,38.3350508574472,42.8636500298956,44.4707814639732,56.8856659119572,38.0474682506099,54.0627740372111,55.286995343905,42.1961410011181,31.5395910812066,29.9511797740364,47.679961482956,106.99280875575,49.60380174984,76.0275376979067,37.2795357960171,56.7667676418443,55.8314283858848,64.1250899015498,77.406747053734,44.7381076303037,48.6620127907184,51.9830030542874
"POU2F2",7426.71380318017,6068.39707485029,7487.8156336715,6646.17024262278,5701.43285409188,7014.34352557567,5805.23214740375,6611.38667819641,6559.63351370168,5511.36300121237,5208.13492917849,7440.86818232679,6499.98038242678,3768.947675737,4720.95653241605,5099.59544062604,7015.92765740909,6768.05901742391,4999.74293782904,2747.97769496606,7388.04859003499,6636.96645497195,6267.62195570537,7127.47315434528,7298.13867139838,7121.32025174532,6115.9393375268,6550.65313724602,7501.77065039771,6852.84503121377
"TBPL1",375.941909094698,420.662225437064,412.440675526285,550.587676073665,555.648117136073,433.343072361041,393.718262362123,477.549748491212,582.258791325378,641.826759658174,621.580240916898,673.704749231807,760.949365012199,656.476541880421,584.383540785076,633.709317580428,723.235450655254,701.583695919094,634.254371354671,744.377319035732,617.615962963694,612.972022689373,623.26723908966,635.787797588656,707.602668455888,689.34471644166,594.258047693771,673.059974793679,608.27515988398,680.234725681818
"ARNTL2",0,4.05262259573279,0,0,1.20793068942625,0,3.37955590010406,1.09279118647875,0,3.38397237078123,1.01069957872666,0,1.22733768550355,2.57441781129577,0.55286995343905,0.767202563656693,0,0,1.10883631355712,0,0.972623563722352,3.56379082958937,2.32997098725107,3.24381529381967,0,0,5.64424197266811,4.97090084781152,2.60689354235991,1.48522865869393
"IKZF2",113.527012152359,102.936613931613,87.4194910082887,100.72918407742,112.337554116641,111.742553250331,91.2480093028096,121.299821699141,112.835244033241,124.078986928645,264.803289626386,147.233488242713,229.512147189163,164.762739922929,145.40479775447,252.409643443052,222.952281780943,196.951697301997,169.651955974239,76.8153498759232,90.4539914261787,93.8464918458535,114.168578375302,98.1254126380451,103.166769843483,85.8818168324327,93.5331526899286,68.5984316997989,123.392961005036,124.75920733029
"ZZZ3",1132.47847368378,1432.19682533197,1274.30719585159,1325.12664490198,1198.26724391084,1181.92733153399,1402.51569854319,1344.13315936886,1329.43063162242,1199.05421004682,1385.66912243425,1141.05953388102,1335.34340182786,1566.53323817347,1315.2776192315,1311.91638385294,1446.47090131051,1532.95583752568,1417.092808726,1232.70347181839,1407.38629670624,1335.23363081949,1127.70595782952,1174.26113636272,1170.0325426955,1402.7363415964,1378.80768189464,1152.25481652271,1284.32955186932,1200.06475622469
"SOX30",56.7635060761797,25.9367846126899,26.8983049256273,40.096082982274,30.1982672356561,48.1492302623378,36.3302259261187,36.0621091537986,45.5680793211165,29.3277605467707,43.4600818852465,49.0778294142376,34.3654551940993,27.0313870186056,17.6918385100496,29.1536974189543,56.5537495249221,45.3805754152066,27.7209078389279,10.9736214108462,67.1110258968423,40.3896294020129,45.4344342513958,32.4381529381967,26.7019874889014,45.8036356439641,53.2171385994421,33.8021257651183,42.5792611918786,38.6159451260421
"THAP3",382.45575405426,389.051769190348,360.8855910855,490.932528221989,530.281572658122,387.010794184074,359.922703361082,395.590409505306,423.132165124654,517.747772729529,438.643617167372,529.817476630974,468.842995862355,500.724264297027,513.616186744877,383.601281828346,478.531726749341,454.71336566037,398.072236567005,731.574760723078,448.379462876004,409.835945402778,442.694487577703,531.985708186426,656.626146886167,445.440356637551,478.14792711317,489.136643424653,556.137289036781,607.458521405816
"ZNF800",1725.23836500389,1493.79668878711,1412.16100859543,1715.32998904655,1528.0323221242,1664.32811020006,1481.0903732206,1420.62854242237,1756.90261382527,1587.0830418964,1624.19422301375,2005.49857469998,1859.41659353787,1710.70063560604,1838.84546513828,1667.13117082599,2484.01469067158,1931.39728967119,1596.72429152225,1561.91211414377,1713.76271927878,1360.18016662661,1438.75708462753,1522.16032662488,1248.92477845816,1552.74324833038,1458.6333897938,1554.89778519544,1510.26032554051,1364.92513733972
"FOXP3",6.51384495956161,9.72629422975871,8.96610164187577,5.86771946082058,7.24758413655747,11.8101885549131,14.3631125754423,13.113494237745,11.5728455418709,5.63995395130205,7.07489705108664,6.69243128375967,9.81870148402837,6.43604452823942,3.3172197206343,6.90482307291023,5.43786053124251,2.7228345249124,5.54418156778559,8.23021605813463,11.6714827646682,9.50344221223833,12.8148404298809,7.29858441109427,8.49608692828682,5.72545445549552,10.4821636635265,6.95926118693612,6.95171611295977,2.97045731738785
"NFE2L3",510.871554685617,447.4095345689,492.014827597933,482.130949030758,533.905364726401,506.929631818576,498.484495265349,532.189307815149,523.671260769657,501.955901665883,327.466663507439,237.581310573468,250.376887842723,218.82551396014,234.969730211596,293.071379316857,209.901416505961,264.114948916502,226.202607965652,148.143889046423,248.991632312922,226.89468281719,292.411358900009,338.167744380701,370.186644732497,253.065086932902,274.148895815308,317.143474090375,354.537521760948,390.615137236502
"FOXN3",4102.79177524387,5841.45020948925,5548.89615361587,5397.32395071147,4110.58813611751,4043.62686599369,6016.45439116025,7015.71941719355,5930.36003736245,4594.30648873065,4700.76374065771,4800.7040408836,6039.72875036295,5021.40194093239,4176.93249823202,4790.41280747239,6055.60148759166,6064.66009848821,5273.62550727765,2922.6411690887,6923.1345265757,7662.15028361716,6518.09383683486,6464.11292675915,5726.36258966531,6624.35080500831,7861.62274764486,6689.83836098474,7029.92291923056,6803.83248547687
"FOXC1",11.1665913592485,39.7157014381814,81.8156774821164,96.8173711035396,54.3568810241811,9.99323646954182,45.6240046514048,100.536789156045,86.0730387176646,85.7273000597912,79.8452667194064,52.4240450561174,83.4589626142411,34.7546404524929,60.2628249248564,81.3234717476094,58.7288937374191,56.2719135148562,42.1357799151704,53.0391701524232,18.4798477107247,22.570675254066,47.7644052386469,47.8462755838402,32.7706210091063,8.01563623769372,29.0275301451503,27.8370447477445,33.0206515365589,25.2488871977967
"ZNF280C",151.679532629792,162.915428348458,131.129236512433,170.163864363797,120.793068942625,163.525687683412,198.548909131114,99.4439979695659,143.937266427019,140.998848782551,154.637035545179,116.002142251834,123.961106235858,222.687140677084,194.057353657107,141.165271712831,174.01153699976,200.582143335213,220.658426397866,223.130302020539,154.647146631854,156.806796501932,102.518723439047,107.856858519504,139.578570964712,168.328360991568,129.011245089557,153.103746112595,146.855002886275,147.037637210699
"PRDM1",49.3191118366807,49.4419956679401,108.713982407744,48.8976621735049,44.6934355087711,53.6000865184516,49.8484495265349,87.4232949182997,67.2671647121244,54.1435579324997,24.2567898894399,26.7697251350387,45.4114943636312,52.7755651315632,15.4803586962934,30.6881025462677,26.101730549964,40.8425178736859,33.2650894067135,41.1510802906731,21.3977184018917,138.987842353986,136.303302754187,128.941657929332,98.3118630273189,40.0781811884686,130.623885653176,140.179403908285,103.406777180277,83.1728048868598
"FLYWCH1",1412.57380694493,1174.45002824336,1201.45762001135,879.179965879617,983.255581192964,1358.171683815,1203.12190043705,802.1087308754,836.861393246537,893.368705886245,817.65595918987,1061.86576368987,719.219883705078,976.991559386744,1385.49210331826,866.171694368406,879.845833955038,745.149048317692,940.293193896435,1340.61074902504,875.361207350117,852.93393854839,883.059004168154,929.353081679336,1034.09515184291,872.559259017517,838.573093082119,860.960026840955,941.957533306048,1067.87940560093
"MXD1",546.232427323237,367.978131692538,516.671607113091,435.189193344193,404.656780957792,546.902577696743,375.130704911551,499.405572220787,416.622439507351,302.30153178979,423.483123486472,410.46911873726,382.929357877106,746.581165275772,567.797442181904,448.813499739165,449.167279880631,430.207854936159,527.806085253188,683.107932825174,459.07832207695,438.346272039493,604.627471191652,453.323187311299,407.812172557767,551.933809509768,495.886973312984,576.624498346136,462.289121511824,444.083368949484
"YBX3",5415.79680923551,5706.90313931092,5585.8813228886,6856.43018996885,6258.28890191738,5819.69752944408,5549.23078797087,6880.21331007019,6637.02691826294,6577.31429800846,5522.46249816249,7311.48117750744,6004.13595748335,6085.92370590319,6755.51796107175,5575.26103009318,8079.57317732012,5952.1162714585,5588.53502032787,8012.57256681951,9611.46605670428,11196.2428562933,9622.7801773469,11851.2791759702,10944.1736903375,9784.80166444184,10795.0159328687,10697.3786244904,11032.3734712671,11902.6224707731
"GPBP1",3625.419994636,3469.85546646642,3373.49574275576,3500.09465837948,3586.34621690652,3769.26710110264,3648.23059416233,3429.17874317031,3394.460258,3474.21163400207,3969.01724565961,3971.95796691136,3977.80143871699,4471.76373822075,3700.35859836756,3982.54850794189,4534.08811095001,3956.27856469771,3959.65447571247,4103.21993920556,3943.98855089414,3633.87871590463,3208.37004944472,3341.94070645772,3260.06992705406,3869.26212102387,3457.50136840012,3263.89349667304,3481.0718435646,3583.85675342844
"AHRR",12.0971406391858,0.810524519146559,12.3283897575792,6.84567270429068,0,10.9017125122274,26.1915582258065,6.55674711887248,0.723302846366929,4.51196316104164,1.01069957872666,6.69243128375967,11.0460391695319,24.4569692073098,15.4803586962934,9.20643076388031,9.78814895623652,6.35328055812892,12.1971994491283,23.7761797235,0,0,1.16498549362553,9.73144588145902,2.42745340808195,22.9018178219821,2.41896084542919,0.994180169562303,0,10.3966006108575
"ZNF275",1167.8393463214,1626.72270992714,2324.46185065629,2518.2296019355,2351.8410523129,1151.03914608268,1665.27616977628,2222.73727329777,2478.0355516531,2387.95650298129,1005.64608083303,1154.44439644854,946.277355523234,874.014846934913,960.33510912363,978.95047122594,1269.196647992,980.220428968463,892.613232413479,769.067967210136,1654.43268189172,1665.47824769477,1538.94583707933,1642.18149249621,1376.36608238246,1656.9465194204,1634.41121122832,1689.11210808635,1617.14296077727,1495.62525930478
"BORCS8-MEF2B",132.137997751107,208.304801420666,224.152541046894,145.715033277044,2.41586137885249,107.200173036903,217.981355556712,199.980787125611,149.000386351587,28.1997697565103,38.4065839916132,84.7707962609558,77.3222741867234,70.7964898106336,13.2688788825372,49.868166637685,50.0283168874311,77.1469782058512,88.7069050845694,103.334934952135,103.098097754569,93.8464918458535,139.798259235064,83.5282438158566,13.3509937444507,72.1407261392435,122.560682835079,144.156124586534,82.5516288413972,0
"POU1F1",1.86109855987474,1.62104903829312,1.12076270523447,0.977953243470097,0,0.90847604268562,0,3.27837355943624,0,1.12799079026041,1.01069957872666,0,0,0,0,0,1.0875721062485,1.81522301660826,1.10883631355712,0.914468450903848,0.972623563722352,1.18793027652979,0,0.810953823454918,0,0,0.806320281809729,0,2.60689354235991,0
"HMG20B",1533.54521333679,1374.64958447256,1830.20549764789,1895.27338584505,1916.98600411945,1379.97510883946,1388.99747494277,1862.11618175978,1677.33930072491,1880.3606473641,1837.45183412507,1813.64887789887,1698.63535673691,1763.4762007376,2035.11429860914,1829.01091175756,1543.26481876662,1568.35268634954,1703.17257762373,2368.47328784097,1412.24941452486,1458.77837957858,1585.54525682435,1742.73976660462,1535.36428061183,1443.95961367597,1515.07580952048,1678.17612622117,1586.72920278307,1492.6548019874
"ZNF76",1280.43580919382,1206.06048449008,1204.81990812706,1060.10131592159,800.858047089601,1072.91020641172,1216.64012403746,799.923148502442,998.881230832729,910.288567740152,798.452667194064,1004.98009777791,870.182419022014,1255.02868300669,1525.36820153834,815.536325167064,874.407973423796,1001.09549365946,1320.62404944653,1494.24144877689,773.23573315927,778.094331127014,904.028743053414,920.432589621332,991.614717201476,779.806896838489,773.261150255531,811.25101836284,886.34380440237,898.563338509825
"SPEN",7935.72425930591,8957.91698560777,7701.88131037128,5447.19956612844,5046.73442042285,7332.31014051564,8920.33779832467,6589.53085446684,5580.28145972086,5027.45495219065,5163.66414771452,6191.61434269166,6433.70414740959,8621.72525002952,8744.74405354545,5109.56907395357,6707.05717923451,8249.28099897626,8786.4189486266,6740.54695161226,4773.6364507493,5172.24842401071,5221.46498242964,5169.8306245251,4830.63228208308,4832.28356043822,4667.78811139652,4762.12301220343,5862.90357676744,4659.16230232284
"FOXJ2",1509.35093205842,1124.19750805628,1259.73728068355,1397.49518491877,1165.65311529633,1540.77536839481,1224.2441248127,1397.67992750632,1503.74661759685,1025.34362834671,1692.92179436716,1467.87326157129,1200.33625642247,1206.11474459207,1096.34111766964,1684.00962722644,1580.24227037907,1286.99311877526,1209.74041809081,1017.80338585598,1421.97565016208,1476.59733372653,1204.5950004088,1223.72931959347,1190.6658966642,1434.79888654718,1273.17972497756,1250.67865330938,1326.03984854708,1183.72724097906
"YBX1",8388.90175863541,14232.8105562136,13604.9384788412,16213.4868234907,11846.1762712032,8896.70588602027,13819.8489645005,19540.1992054265,16546.9992163362,12473.3221586996,13733.3858757379,14093.1448783839,18137.5963163714,14370.400222653,11977.3746713036,13425.2776614285,14498.4237483988,15784.2717409172,14215.2815398022,15219.4984283927,20673.1138469186,26012.1092651729,19675.4400018416,20258.4374637273,17504.3665256789,21114.3309409764,25714.3601071941,20743.5692379175,18894.7643950246,19383.7192246144
"NFYC",1137.13122008347,1210.11310708581,1145.41948474963,1239.06675947661,1106.46451151444,1059.28306577143,1178.62012016129,1403.14388343871,1226.72162743831,1074.97522311817,1622.17282385629,1771.26347976839,1874.14464576391,1845.85757069907,1616.59174385578,1614.96139649734,1815.15784532875,1807.05451303353,1771.92042906427,1849.05520772758,1312.06918746145,1316.22674639501,1086.93146555262,1201.02261253673,1030.45397173079,1267.61561644671,1206.25514158736,1261.61463517456,1108.79872001708,1001.04411595971
"SPI1",2468.74723967385,1886.09055605404,1506.30507583513,2600.37767438699,2183.93868648265,2630.03814357487,1838.47840965661,2093.78791329328,2368.09351900533,2295.46125817994,3214.02466035079,3488.98750926671,3164.07655322814,1482.86465930636,1653.08116078276,3237.59481863124,3272.50446770174,2734.63347452035,1901.65427775046,1688.1087603685,2714.59236634908,2145.4020794128,2106.29377247496,2565.04694358791,2184.70806727375,2748.21813863785,1993.22373663365,2518.25836950131,2246.27326900012,1930.7972563021
"ZBTB11",1364.18524438819,1063.40816912029,1171.19702697002,1280.14079570236,1082.30589772592,1415.4056745042,1084.8374439334,1084.04885698692,1256.37704413936,1193.41425609551,1323.0057485532,1167.82925901606,1061.64709796057,1291.07053236483,1108.5042566453,1276.62506592474,1427.98217550428,1230.7212052604,1134.33954876893,990.369332328867,824.784782036555,694.939211769928,679.186542783686,750.943240519254,740.373289464994,832.481077829048,635.380382066067,736.687505645667,762.950843397334,796.082561059944
"MSANTD3",180.52656030785,181.557492288829,128.887711101964,260.135562763046,237.96234581697,182.60368457981,163.063572180021,207.630325430962,215.544248217345,223.342176471561,213.257611111326,239.812121001388,233.194160245674,266.452243469112,291.915335415818,234.763984478948,268.63031024338,265.022560424807,256.141188431694,288.057562034712,284.978704170649,251.841218624316,253.966837610366,255.450454388299,333.774843611268,278.257086537082,245.121365670158,254.51012340795,282.413467088991,300.016189056173
"ZFAT",522.038146044866,487.125236007082,521.154657934029,698.258615837649,712.679106761485,477.858398452636,460.464491389178,746.376380364984,679.181372738546,666.642557043903,758.024684044997,538.740718342654,418.522150756709,440.225445731576,344.437980992528,749.556904692589,486.14473149308,455.620977168674,445.752198049961,292.629904289231,449.352086439727,453.78936563438,340.175764138656,408.720727021279,327.706210091063,428.263993271065,401.547500341245,413.578950537918,354.537521760948,362.395792721318
