"","p1_rep1_B.D1_p1_rep1_B","p1_rep1_B.D4_p1_rep1_B","p1_rep1_B.D8_p1_rep1_B","p1_rep1_B.D11_p1_rep1_B","p1_rep1_B.D14_p1_rep1_B","p1_rep2_B.D1_p1_rep2_B","p1_rep2_B.D4_p1_rep2_B","p1_rep2_B.D8_p1_rep2_B","p1_rep2_B.D11_p1_rep2_B","p1_rep2_B.D14_p1_rep2_B","p2_rep1_B.D1_p2_rep1_B","p2_rep1_B.D4_p2_rep1_B","p2_rep1_B.D8_p2_rep1_B","p2_rep1_B.D11_p2_rep1_B","p2_rep1_B.D14_p2_rep1_B","p2_rep2_B.D1_p2_rep2_B","p2_rep2_B.D4_p2_rep2_B","p2_rep2_B.D8_p2_rep2_B","p2_rep2_B.D11_p2_rep2_B","p2_rep2_B.D14_p2_rep2_B","p3_rep1_B.D1_p3_rep1_B","p3_rep1_B.D4_p3_rep1_B","p3_rep1_B.D8_p3_rep1_B","p3_rep1_B.D11_p3_rep1_B","p3_rep1_B.D14_p3_rep1_B","p3_rep2_B.D1_p3_rep2_B","p3_rep2_B.D4_p3_rep2_B","p3_rep2_B.D8_p3_rep2_B","p3_rep2_B.D11_p3_rep2_B","p3_rep2_B.D14_p3_rep2_B"
"NFYA",1213.43626103833,1116.09226286481,1019.89406176337,1083.57219376487,1375.83305525649,1250.06303473541,1175.24056426119,1124.48213088663,1050.95903577115,1487.81985235348,1290.66336203395,1708.80078778664,1753.86555258457,1355.43097764722,1227.92416658813,1403.21348892809,1930.44048859109,1622.80937684779,1230.8083080484,1008.65870134694,1527.99161860782,1470.65768234388,1201.10004392792,1424.03491398684,1219.79533756118,1407.3167051608,1361.06863569482,1294.42258077012,1299.97091312348,1286.20801842894
"ZNF195",551.815723002862,619.240732627971,551.41525097536,505.60182687404,355.131622691316,530.550008928402,604.940506118627,517.983022390926,485.336209912209,398.180748961925,557.906167457118,527.586666203054,635.760921090837,723.41140497411,719.283809424204,570.031504796923,659.068696386592,720.643537593481,685.260841778298,783.699462424597,542.723948557073,534.568624438406,493.953849297226,477.651802014947,470.925961167898,493.534174063713,472.503685140501,467.264679694283,446.647760257665,389.129908577808
"ZFX",1159.46440280197,1241.72356333253,1051.27541750993,1049.34383024341,1062.9790066951,1202.82228051576,1321.40635694069,979.140903084957,1061.08527562029,1124.60681788963,2009.27076250861,1816.99509354075,2003.01510274179,2623.33174971039,2119.15053153188,1865.06943224942,2352.41846581551,2371.5888711987,2227.65215393625,2026.46208720293,1107.81823907976,1073.88896998293,894.708859104409,877.452036978222,927.287201887304,1130.20470951481,1074.82493565237,959.383863627623,986.274723526167,938.664512294561
"ZNF263",1199.47802183927,1284.6813628473,1300.08473807199,1243.95652569396,1112.50416496157,1232.80198992439,1189.60367683663,1285.12243529901,1097.973720785,1103.17499287468,1093.57694418225,1363.02517145905,1156.15209974434,1079.96827183857,1180.37735059237,1006.56976351758,1173.49030264213,1276.10178067561,1174.25765605699,1251.90730928737,1231.3414316725,1177.23890404102,1275.65911551996,1176.69399783309,1083.85794670859,1276.7763435755,1201.4172198965,1152.25481652271,1188.74345531612,1042.63051840314
"GTF2IRD1",5.58329567962423,12.9683923063449,32.5021184517997,23.4708778432823,12.0793068942625,2.72542812805686,10.9835566753382,24.0414061025324,23.8689939301087,9.02392632208329,56.5991764086931,63.5780971957169,45.4114943636312,55.349982942859,55.839865297344,56.7729897105953,36.9774516124491,35.3968488238611,46.5711251693989,75.9008814250193,0.972623563722352,17.8189541479469,8.15489845537873,13.7862149987336,18.2059005606146,4.58036356439641,12.0948042271459,14.9127025434346,8.68964514119971,5.9409146347757
"TEAD3",0,1.62104903829312,5.60381352617236,3.91181297388039,0,0,1.68977795005203,7.64953830535122,4.33981707820158,1.12799079026041,0,1.11540521395995,3.68201305651064,9.01046233953518,11.61026902222,1.53440512731339,0,1.81522301660826,5.54418156778559,21.9472428216923,0,5.93965138264896,3.4949564808766,4.05476911727459,1.21372670404097,1.1450908910991,0,2.98254050868691,0.868964514119971,1.48522865869393
"E2F2",60.4857031959292,32.4209807658624,22.4152541046894,52.8094751473852,15.7030989625412,58.1424667318797,30.4160031009365,17.4846589836599,28.9321138546772,5.63995395130205,8.0855966298133,64.6935024096768,34.3654551940993,12.8720890564788,24.3262779513182,8.43922820022362,69.6046147999041,39.0272948570777,18.850217330471,14.6314952144616,26.2608362205035,250.653288347786,262.121736065745,72.1748902874877,24.2745340808195,16.0312724753874,182.228383688999,216.731276964582,59.089586960158,13.3670579282453
"NFIX",66.0689988755534,79.4314028763628,138.974575449074,107.574856781711,61.6044651607385,74.4950355002208,85.3337864776275,106.000745088438,94.7526728740677,63.167484254583,46.4921806214265,49.0778294142376,72.4129234447092,86.2429966784082,79.6132732952232,48.3337615103716,42.4153121436916,83.5002587639801,68.7478514405413,94.1902504430963,24.3155890930588,40.3896294020129,67.5691586302809,37.3038758789262,59.4726084980077,44.658544752865,34.6717721178184,54.6799093259267,48.6620127907184,50.4977743955935
"ZNF207",4342.87348946772,5035.78883745757,4458.39404142273,3677.10419544757,3114.04531734086,4093.5930483414,4843.74849382415,4440.01059066315,3771.30104095717,3338.85273917082,3036.1415344949,3348.44645230776,4009.71221854008,3780.53255588783,3547.21362126494,3103.33436999132,3709.70845441364,3896.37620514964,3839.9001538483,2774.49728004227,4745.43036740136,5097.40881658934,4606.35264179536,4216.95988196558,3984.66476936652,4643.34356340686,4899.20203227592,4344.56734098727,4221.42960959482,4201.71187544512
"ZNF200",387.108500453947,277.199385548123,265.62076114057,464.527790648296,295.94301890943,373.38365354379,262.760471233091,275.383378992644,440.49143343746,300.045550209269,435.611518431192,388.161014458061,306.834421375887,406.758014184731,363.235559409456,404.315751047077,436.116414605649,354.876099746916,363.698310846734,411.510802906731,340.418247302823,244.713636965137,325.030952721524,366.551128201623,315.568943050653,390.475993864794,263.666732151782,389.718626468423,312.827225083189,304.471875032255
