	D1_p1_rep1_B	D4_p1_rep1_B	D8_p1_rep1_B	D11_p1_rep1_B	D14_p1_rep1_B	D1_p1_rep2_B	D4_p1_rep2_B	D8_p1_rep2_B	D11_p1_rep2_B	D14_p1_rep2_B	D1_p2_rep1_B	D4_p2_rep1_B	D8_p2_rep1_B	D11_p2_rep1_B	D14_p2_rep1_B	D1_p2_rep2_B	D4_p2_rep2_B	D8_p2_rep2_B	D11_p2_rep2_B	D14_p2_rep2_B	D1_p3_rep1_B	D4_p3_rep1_B	D8_p3_rep1_B	D11_p3_rep1_B	D14_p3_rep1_B	D1_p3_rep2_B	D4_p3_rep2_B	D8_p3_rep2_B	D11_p3_rep2_B	D14_p3_rep2_B
DPM1	693.259213553342	759.461474440326	775.567792022254	695.324756107239	783.947017437633	700.435028910613	700.412960296567	704.850315278791	666.161921503942	777.185654489423	662.008224065964	726.128794287924	711.855857592057	740.145120747533	744.7158272824	674.371053454233	685.170426936556	747.871882842605	772.858910549311	851.370127791482	743.084402683877	694.939211769928	702.486252656196	727.425579639062	771.930183770059	722.552352283534	736.976737574093	750.606028019539	721.240546719576	794.59733240125
SCYL3	561.121215802235	473.34631918159	429.252116104802	511.469546334861	452.974008534842	519.648296416175	505.243607065557	429.466936286147	469.423547292137	470.372159538591	591.259253555098	626.857730245489	580.530725243177	634.593990484407	541.812554370269	622.968481689234	575.325644205458	594.485537939206	600.989281947957	560.569160404059	558.28592557663	420.527317891546	472.984110411966	497.92564760132	541.322110002274	527.886900796687	426.543429077347	488.142463255091	575.254508347421	531.711859812425
C1orf112	165.637771828852	205.873227863226	175.959744721812	102.68509056436	89.3868710175422	171.701972067582	217.136466581686	158.454722039418	117.898363957809	98.1351987526557	95.0057604003063	121.579168321634	98.1870148402837	142.880188526915	134.347398685689	102.03794096634	115.282643262341	121.619942112754	146.366393389539	92.3613135412886	104.070721318292	175.813680926409	131.643360779685	85.9611052862213	111.66285677177	122.524725347604	192.710547352525	123.278341025726	81.6826643272773	89.1137195216355
FGR	5104.99334973642	4454.64275722949	2995.79871109174	2756.8501933422	3604.46517724792	5175.58801517998	4565.78002104059	2765.85449297771	3050.89140597571	3426.83602081113	4872.58266904124	8815.04740592545	6615.35012486411	2745.61659574694	4298.01101803517	4935.4140920035	7085.53227220899	6444.04170895934	4699.24829685506	2370.30222474277	2007.49503552293	2049.17972701389	2417.34489927298	2822.11930562312	3562.28787636026	2238.65269209875	1977.90365127927	2396.96838881471	2978.81035440326	3127.89155520941
FUCA2	243.803911343591	314.483513428865	411.319912821051	494.844341195869	414.320226473202	266.183480506887	269.519583033299	520.168604763883	494.015844068613	379.004905527498	464.921806214265	385.930204030141	414.840137700199	350.120822336224	320.664572994649	454.183917684762	336.059780830787	417.501293819901	341.521584575592	333.780984579904	628.31482216464	688.999560387279	705.981209137073	756.619917283439	634.779066213429	622.929444757912	653.925748547691	773.472171919472	700.385398380696	690.631326292675
GCLC	2245.41541248888	2430.76303292053	2545.25210358748	3105.00154801756	2612.75408122897	2233.94258896394	2481.43891965141	2893.71106179572	3054.50792020754	2651.90634790223	1801.06664929091	1471.21947721317	2014.06114191132	2880.77353083996	2026.82124930756	1815.20126561173	1730.32722104137	1940.47340475423	2350.73298474109	2317.26305459035	2470.46385185477	2432.88120633301	2408.02501532398	2608.83845005447	2473.57502283551	2411.56141665471	2535.8772862916	2435.74141542764	2656.42451966475	2636.28086918172
NFYA	1213.43626103833	1116.09226286481	1019.89406176337	1083.57219376487	1375.83305525649	1250.06303473541	1175.24056426119	1124.48213088663	1050.95903577115	1487.81985235348	1290.66336203395	1708.80078778664	1753.86555258457	1355.43097764722	1227.92416658813	1403.21348892809	1930.44048859109	1622.80937684779	1230.8083080484	1008.65870134694	1527.99161860782	1470.65768234388	1201.10004392792	1424.03491398684	1219.79533756118	1407.3167051608	1361.06863569482	1294.42258077012	1299.97091312348	1286.20801842894
STPG1	92.1243787137998	89.968221625268	62.7627114931304	94.8614646165994	142.535821352297	95.3899844819901	87.8684534027056	85.2377125453422	86.0730387176646	121.823005348124	124.31604818338	187.388075945271	104.323703267801	64.3604452823942	86.8005826899308	128.890030694324	181.6245417435	118.897107587841	85.380396143898	86.8745028358655	162.428135141633	150.867145119284	103.683708932672	150.02645733916	160.211924933409	174.053815447064	149.97557241661	162.051367638655	112.965386835596	161.889923797638
NIPAL3	971.493448254617	809.713994627412	912.300842060859	1045.43201726953	1035.19660083829	965.710033374814	826.301417575443	1015.20301223876	1088.57078378223	1049.03143494218	1193.63620247619	1087.52008361095	974.506122289816	722.124196068463	692.74605165913	1150.80384548504	1109.32354837347	942.100745619689	864.892324574551	523.990422367905	1156.44941726588	1193.86992791244	1174.30537757454	1314.55614782042	1154.25409554297	1093.56180099964	1088.53238044313	1252.6670136485	1254.78475838924	1162.93403975734
LAS1L	1131.54792440384	1362.49171668537	1193.61228107471	1099.21944566039	1194.64345184256	1177.38495132056	1376.32414031738	1310.25663258802	1147.88161718432	1183.26233898317	1163.31521511439	1066.32738454571	1150.01541131682	876.589264746209	848.655378528942	1100.93567884735	969.026746667415	1069.16635678227	908.136940803279	801.07436299177	878.279078041284	1079.82862136558	811.994889056996	786.625208751271	775.571363882182	864.543622779823	861.956381254601	782.419793445533	736.012943459615	715.880213490472
