	D1_p1_rep1_B	D4_p1_rep1_B	D8_p1_rep1_B	D11_p1_rep1_B	D14_p1_rep1_B	D1_p1_rep2_B	D4_p1_rep2_B	D8_p1_rep2_B	D11_p1_rep2_B	D14_p1_rep2_B	D1_p2_rep1_B	D4_p2_rep1_B	D8_p2_rep1_B	D11_p2_rep1_B	D14_p2_rep1_B	D1_p2_rep2_B	D4_p2_rep2_B	D8_p2_rep2_B	D11_p2_rep2_B	D14_p2_rep2_B	D1_p3_rep1_B	D4_p3_rep1_B	D8_p3_rep1_B	D11_p3_rep1_B	D14_p3_rep1_B	D1_p3_rep2_B	D4_p3_rep2_B	D8_p3_rep2_B	D11_p3_rep2_B	D14_p3_rep2_B
DPM1	9.43933060803348	9.57073135154206	9.60096806280357	9.44361650554974	9.61645146765207	9.4541656688025	9.45412027788304	9.46321846349667	9.38189313859157	9.60397057488152	9.37288295565647	9.506067117088	9.47746657701859	9.53361224847855	9.54248215178903	9.39953653623152	9.42242313870824	9.54857511300155	9.59592674890259	9.7353362230147	9.53932246759604	9.44281748621069	9.45837842074397	9.50863777514611	9.59419429593315	9.49895359581626	9.52743153029422	9.5538328272605	9.49633560550468	9.63589462866893
SCYL3	9.13473745648449	8.88979694200161	8.74903847765066	9.00132246433021	8.8264658907462	9.02416533510937	8.98368797416443	8.74975861975947	8.87781646659727	8.88072274157087	9.21008502431876	9.29429387767806	9.18371160844644	9.31196167390211	9.08431027810385	9.28532934633171	9.17074040513514	9.21792266075791	9.23359399068299	9.13331989935988	9.12744221515224	8.71948232060891	8.88869488557738	8.96268102371551	9.08300617875296	9.04681543365523	8.73992716353285	8.93411090259673	9.17056232233626	9.0572115898818
C1orf112	7.38057164362168	7.69260314319845	7.46727739926174	6.69606464597708	6.49804132667112	7.43214074673465	7.76908715993132	7.31700301149146	6.89358505350258	6.63132548377966	6.58504906584233	6.9375700112776	6.63207935610698	7.16872414473227	7.08052334966362	6.6870318588821	6.86149196115106	6.93804981845703	7.20326374800566	6.54475295398502	6.71521689814598	7.46608609708934	7.05140865569238	6.4422983721985	6.81586814908697	6.94865603778771	7.59775869920846	6.95743107814038	6.36951297312604	6.49367486329059
FGR	12.3179759433808	12.121417850142	11.5492064688598	11.4293283763247	11.8159696927034	12.3377857888552	12.1569615823273	11.4340310602402	11.575487913005	11.7430823808042	12.2507670012378	13.1059162662968	12.6918198659125	11.4234398212065	12.0697890925047	12.2692477049643	12.7908641155765	12.6539739796515	12.1985212557459	11.211463832067	10.9718991800832	11.0015346723958	11.2398042980609	11.4630743833377	11.7989933274991	11.1290593123758	10.9504856569235	11.2275969252321	11.5410048000917	11.6114359414919
FUCA2	7.9354827985852	8.3014208044409	8.68762032704839	8.95374348089074	8.69808032381051	8.06168700100158	8.07958922494475	9.0256063682401	8.95133089232737	8.56987423236914	8.86394404325388	8.59592954069	8.69988520642776	8.45582374392692	8.32941324115428	8.83030577578848	8.39686067987451	8.70908827272877	8.42005109457483	8.38707377551435	9.29763811268086	9.43045163249554	9.46552805990837	9.56533044849593	9.31238170457199	9.28523908512355	9.35518754180768	9.59706959127498	9.45406358628642	9.43385940471151
GCLC	11.1334090236744	11.2477869345427	11.314159551737	11.6008428334204	11.3519076941653	11.1260220567057	11.2775425053764	11.4992036361519	11.5771965053137	11.3733580315435	10.815436654761	10.5237770478259	10.9766078989955	11.492741247943	10.9857147702857	10.8267083709972	10.7576627046637	10.9229362293064	11.1995085508491	11.1788285636987	11.2711500901358	11.2490430389025	11.2342336592665	11.3497447908754	11.2729650663829	11.236349954245	11.3088380197753	11.250737446485	11.3758129993152	11.3648355103953
NFYA	10.2460710576355	10.125532630448	9.99561745009594	10.0829103728221	10.4271379240516	10.2889387660996	10.19996743444	10.1363274361801	10.0388628105466	10.539953482612	10.3350144032955	10.7396125283612	10.7771447886679	10.4055999222269	10.2631801785153	10.4555465764323	10.9154615106983	10.66516656545	10.2665620483693	9.97965198052328	10.5783647830377	10.5232264143328	10.2313412529845	10.4767815510402	10.2536056420437	10.4597560913544	10.4115836883657	10.3392070819813	10.345372991559	10.3300295028712
STPG1	6.54108699033465	6.50729074447789	5.99464107576085	6.58287907718685	7.16526701614007	6.5908113441556	6.47359947573675	6.4302470060105	6.44415416698686	6.9404369996128	6.96942737021288	7.55756384199166	6.71868634350419	6.03034590708139	6.45615860914782	7.02114689523493	7.51273684267915	6.905653045199	6.43263202770373	6.45737271681637	7.3525125633144	7.24666598127165	6.70989313471066	7.23865749779157	7.33281465452137	7.45165469665151	7.23817133267425	7.34918273191741	6.83245191045337	7.3477535527739
NIPAL3	9.92554472038521	9.66304923700845	9.83494635322367	10.0312628728597	10.0170820407225	9.91693940507572	9.69226924397755	9.98897293036722	10.0895442086005	10.0362168033691	10.2223556319138	10.0881523107078	9.93000711701132	9.4980996400831	9.43826384528807	10.1696793284895	10.1167644239557	9.88126808309554	9.75804382389472	9.03614729307088	10.1767334310165	10.2226378613876	10.1988199431303	10.3614571085771	10.1739944887383	10.096137698732	10.0894933580416	10.291938489619	10.2943734920324	10.1847935875721
LAS1L	10.1453563846792	10.4130902204611	10.2223267430916	10.1035755916762	10.223571517887	10.202595196189	10.4276524088389	10.3567343549118	10.1660144324285	10.2097729882868	10.1852659766869	10.0597870509047	10.1686914349711	9.77740206762142	9.73073399043346	10.1058242993913	9.92188071723166	10.0636193648864	9.82835380975823	9.64759218972925	9.78017733080221	10.0779220688753	9.66710247251131	9.62136547668513	9.60097469853171	9.75746272199769	9.75314382897266	9.61364176884839	9.52554614600284	9.485588262899
