"","D1_p1_diff","D4_p1_diff","D8_p1_diff","D11_p1_diff","D14_p1_diff","D1_p2_diff","D4_p2_diff","D8_p2_diff","D11_p2_diff","D14_p2_diff","D1_p3_diff","D4_p3_diff","D8_p3_diff","D11_p3_diff","D14_p3_diff"
"Activated NOTCH1 Transmits Signal to the Nucleus",-0.0743194965383038,0.0143777150363675,-0.0507148624246071,0.125125820404877,-0.0920465192631312,0.0277934810350585,-0.0879930961445682,-0.106566435810176,-0.0990435879238573,0.210979615215085,-0.0243043925686961,0.0276259103977775,-0.085494747675327,-0.180655815991646,-0.074593427749672
"Amyloid fiber formation",0.25525746651556,0.0773003845814946,-0.117212956520868,0.433114884188314,-0.0121490256874632,0.43259470548928,0.272632981626411,0.332595350189713,0.626137644613093,0.50018526974414,0.260958580041835,0.436915698710508,0.259556560487502,-0.07145873072173,-0.0894510544102906
"Anti-inflammatory response favouring Leishmania parasite infection",0.459787600616337,0.868060332595567,0.634220244619048,0.334130813605646,0.448045538764903,0.090993305984149,0.0323982889465255,0.070281981290516,0.236791315122073,0.173178579428305,0.187653399143843,0.349286086917086,0.185768642276356,0.12919354667576,0.0539856915409382
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",0.420068965481974,0.596144570012344,0.180411589266998,0.862010692601681,0.933452745478369,0.089272946703698,0.44254419122415,0.912266788229042,1.76953663482888,1.91282449482311,0.0352291488496744,0.168181910431427,0.255322929296226,-0.06491940056394,0.380710539620062
"Antigen processing-Cross presentation",0.414052231598975,0.692302461261495,0.715036919342615,0.885691376230653,0.720990311489593,0.597377473955795,0.484409832405605,0.62385145623782,1.67360453247275,1.59235855454923,0.6111403319849,0.668424411886545,0.426433363762247,0.00682860231932347,0.102131125424183
"Apoptosis",0.173645802486076,0.393354734660974,0.084926492662335,0.0245693112264309,0.313880237168423,0.56041112925495,0.328250251943013,0.235041076148284,0.494687874893256,0.405514303769306,0.523949217137164,0.319435164084146,-0.0851551700567385,-0.151547089192776,0.129458819926249
"Asparagine N-linked glycosylation",0.19747090728233,0.120999614165052,-0.629217539611391,0.190797978485144,0.124346971469989,-0.018092998105915,0.098936380261036,0.184882340714185,0.532798820249519,0.711600319625808,0.32397713332383,0.257626321277263,0.222591361440822,0.0814685332011851,0.0951710222958535
"Asymmetric localization of PCP proteins",-0.00642385892333008,0.058168317216576,-0.154118799781676,-0.0896606612078325,-0.475146689089492,0.0339432848315008,-0.119408616495973,-0.0146182831665306,-0.286662983664548,-0.539721087635208,0.314582165397209,0.173404890172441,-0.146571435365182,0.121986152843568,-0.0797785888158031
"Basigin interactions",0.076785337250224,-0.0189367511430725,-0.0969573342344086,0.175876523214773,0.0770010052503525,0.376905620309101,0.290819948051342,0.332386037755429,0.223982613857299,0.207472916388851,0.316728874376925,-0.0194604825353855,0.0527190500383956,-0.0280877173926066,0.0775126286214776
"CD28 dependent PI3K/Akt signaling",0.155882052452269,0.000676485477490704,-0.210388286567349,-0.110079640164902,-0.36365096043232,-0.0890106110328175,-0.047236816479386,0.228554404004727,-0.354425345332403,-0.041428880537979,-0.0313163516182126,-0.091337563892164,-0.155582917606103,-0.239774459786515,-0.171830048203137
"CTLA4 inhibitory signaling",0.246882820643645,-0.0670827433607271,-0.24249405989224,0.191702639894861,-0.167993687916059,-0.019069996385664,0.0859135132458675,0.55113867855581,0.057060530718555,0.185296769929565,-0.0139554498194395,-0.165827477930782,-0.0722132097125076,-0.149106019910639,-0.213431369689359
"Cardiac conduction",-0.0330272486622675,0.333069340117051,0.269066467938443,0.304520771857845,0.350133440610501,0.134327784875569,0.241294270786835,0.362829243928778,0.708439541605189,0.762358552834496,0.176445461288558,0.290714190680541,0.193559694194705,0.0940025659035575,-0.0600967405265723
"Cell junction organization",0.660025856774996,0.663300523240787,0.631666315741217,0.591552791899687,0.473564744639994,1.66711719756116,0.717761364049016,1.1207844614384,1.27774866760316,1.2188938116664,1.1023979250197,0.292036869390968,0.032914567641625,-0.0517790003306378,-0.0171499902743509
"Cell surface interactions at the vascular wall",0.293352364127062,0.452255653116074,0.328796200705768,0.423763172894984,0.358303228882297,0.558996995031496,0.305146256129882,0.297875737948699,0.437282858276062,0.523904734529275,0.4184721309989,0.241921880625389,0.0604933619796045,0.00581294710689051,0.0116746178477216
"Cilium Assembly",-0.0402313526555349,0.478644991728673,0.749093703410633,0.025074726806408,-0.0726867754734194,-0.058606782826723,-0.135914523747643,-0.407738889642364,-0.956856779286885,-0.659698710250099,-0.00778088840471558,-0.143017421676632,-0.170035625451491,0.00956926058306207,0.142990634727683
"Class B/2 (Secretin family receptors)",0.319348656549837,0.276319438122228,0.167033048906273,-0.0263320687714489,-0.129883552589803,-0.0286926998520444,0.141452197590585,0.0469627955536681,0.277250456903572,0.17745078752727,0.133865412776089,0.0818551636223744,-0.277399984770473,-0.131224234219155,0.123196657998599
"Clathrin-mediated endocytosis",0.231935572295062,0.382821931461056,0.323452598268287,0.448339387615252,0.466787303303868,0.487549519031352,0.414146832183895,0.712242446614983,0.592812634902219,0.368950192256812,0.479718660585947,0.421919858407726,0.166436542987532,0.12804799807121,0.0661132373051191
"Complement cascade",0.846878226566265,1.30798086417796,1.02245664649099,0.792772910636434,0.439502987217895,1.1687284484693,0.236509491694791,0.293011974555113,0.579526014728334,0.860563871679388,0.870452955713547,0.169115052665046,0.051993849043903,0.0443635871039816,0.0417016746456647
"Costimulation by the CD28 family",0.284735287689129,0.241272694679564,0.180569792887393,0.385151004257884,0.535259324449807,0.228554323429122,0.341231501230142,0.933975830626051,1.16879770826959,1.18013040812615,0.275318280665266,0.153367856638269,-0.0423703496440122,-0.0523685971952486,-0.198823868065689
"Death Receptor Signalling",0.0660958237886315,0.145172700270311,-0.23096568082352,-0.113861074906699,0.0343044063555097,0.136444013182508,0.0742106138126145,0.129005057174996,0.418090145476386,0.48386765820985,0.119027505659752,0.0870567174730995,-0.215424368619348,-0.175051699463412,0.0190784011943335
"Disassembly of the destruction complex and recruitment of AXIN to the membrane",0.0566628572887285,-0.1204677070308,-0.18978894871518,-0.085982153267138,-0.0747639214865397,-0.032164281568206,-0.0920050976334319,0.0499488152402241,-0.229988911552664,-0.3101685844966,0.0804390943803661,-0.21357302280366,-0.412630893930369,-0.240896231395415,-0.294908296549037
"Diseases of signal transduction by growth factor receptors and second messengers",0.0749612888212461,0.0170647829795075,-0.0142485833638759,0.0820934497367566,0.107811336306181,0.0460045740146482,0.0658316204693405,0.113276443598973,0.0055590214990916,0.106167991062039,0.128249459966718,0.0255478423798075,-0.054577853706847,-0.142029658889497,-0.103189695918567
"Downstream signal transduction",0.272250412785637,0.367984267964682,0.617567037522913,0.569625626035126,0.85853450612213,0.0461022319512749,0.185213712701639,0.429171620235184,0.4632502121014,0.938782064804891,0.088752596674163,-0.133896185643105,-0.076870314427205,-0.0805778316169266,-0.160936835593755
