NAME	Bcells	Tcells	NKcells	Monocytes.Macrophages
ABCA6	117.094495862434	1	1	1
ABCF1	1	1	1	93.706278175151
ABHD17A	1	158.637489454058	1	435.377926103941
ABHD2	1	1	95.1009331895371	1
ABI1	82.3428758945909	1	1	1
ABI3	1	1	90.7815546284394	171.685703337287
AC006129.2	82.2090377140858	1	1	1
ACADM	98.0026083038643	1	1	1
ACAP2	1	1	138.172518925512	1
ACAT1	1	76.1392806580358	1	1
ADA	1	1	1	81.7429635705414
ADAM28	120.555065380664	1	1	1
ADAMTS6	91.4260016696242	1	1	1
ADD3	1	1	1	143.880498146347
ADGRG1	1	1	1	206.182071262671
ADH5	1	1	1	100.581085492063
ADI1	1	1	101.666895011684	1
ADK	83.8136920647705	1	1	1
ADTRP	104.78769981071	1	1	1
AFF3	96.8939903909222	1	1	1
AGTRAP	1	1	238.281833968811	1
AIF1	1	1	2520.13483181523	1
AKNA	1	85.177833294104	1	1
AKR1B1	1	1	1	84.8725741722713
AKR1C3	1	1	1	189.7863613405
AL928768.3	89.2078081517891	1	1	1
ALDH2	1	1	93.9683703888619	1
ANKRD10	1	1	1	81.0152619699261
ANKRD49	1	1	1	91.8602851417291
ANP32E	105.938721711808	1	1	1
ANXA2R	1	74.9827715142997	1	1
AP1S2	1	1	938.233233772184	1
APEX1	112.840065541269	1	66.7834194077068	1
APMAP	1	1	1	226.675449960107
APOA1BP	1	1	1	68.4185322793871
APOBEC3A	1	1	216.110052041306	1
ARFGAP2	1	1	1	90.7071991279008
ARHGAP24	352.074308835423	1	1	1
ARHGAP25	76.8102989702244	1	1	1
ARHGEF1	1	1	1	79.5200174358158
ARID5B	207.423847657618	1	1	101.792033939532
ARL4C	1	249.371304752738	1	398.041801271064
ARPC5L	1	158.591387329119	1	211.141943791562
ASCC2	1	1	1	66.0931567117574
ASCL2	1	1	97.954629352398	127.115779590766
ASGR1	1	1	202.376778197916	1
ASNA1	1	1	71.3028288454363	99.2017402899898
ATG3	1	1	233.698046090361	1
ATP5S	1	1	1	63.7031275919844
ATP6V1B2	1	1	114.13776330586	1
AUP1	94.1456150582249	1	1	1
B4GALT1	94.0506430445684	1	68.6924756978914	1
BASP1	94.8199378416243	1	58.3934933525973	1
BBX	81.3449738774486	1	1	91.9519107441993
BCAS4	175.479037419977	1	1	1
BCL11A	94.3305989405116	1	1	1
BCL11B	1	73.3814696387288	1	1
BCL2	268.857992788309	1	1	1
BCL2A1	1	1	121.284005708577	1
BID	1	1	159.037940502238	1
BIRC2	86.5481760791059	1	55.3378378766171	1
BIRC3	143.606127163775	1	1	1
BLK	108.587380141862	1	1	1
BLNK	146.897739401441	1	1	1
BLOC1S2	122.90287850293	1	124.270908427406	1
BLOC1S4	1	1	1	109.876940957588
BLVRA	1	1	141.432633989578	1
BLVRB	1	1	275.209549793212	1
BNIP2	1	1	129.488667951933	1
BPTF	110.035502745514	1	1	71.1490520775773
BRD2	1	1	101.2693994078	126.986988544384
BUB3	1	95.6369565711108	1	100.426263502819
C10orf54	1	1	242.146723247057	1
C12orf75	1	237.610577288987	1	385.098187489469
C14orf1	1	1	1	56.5095862413459
C14orf119	1	1	53.8901700560925	92.3746596194797
C15orf39	1	1	100.474554292086	1
C15orf40	78.6336468401517	1	1	1
C16orf74	239.820231617214	1	1	1
C17orf62	117.613603860489	1	1	72.7727464894217
C19orf38	1	1	168.971121503561	1
C20orf27	1	1	123.830169856761	1
C5orf56	1	178.856570044952	1	250.294766641302
C6orf62	1	1	113.103401688013	1
C7orf55	108.58790427954	1	1	1
CALCOCO2	1	1	107.986776392702	1
CANX	1	1	129.300733373506	1
CARD19	1	1	96.3981004616577	1
CARHSP1	1	1	1	115.162413421807
