NAME	CLL	Tcells	Bcells	NKcells	Monocytes.Macrophages
A1BG	1	1	78.053256585849	58.436277509414	1
AAED1	1	1	97.1838779342285	1	1
AAK1	1	206.935250454421	1	1	176.739066696204
ABCA6	134.178281389308	1	98.0554208746575	1	1
ABCF1	1	1	1	1	93.706278175151
ABHD14B	1	1	69.2617963158801	1	1
ABHD17A	1	156.704325174434	1	1	435.377926103941
ABHD2	1	1	1	81.8321851505875	1
ABI1	93.6557917151012	1	1	1	1
ABI3	1	1	1	93.1928545011111	171.685703337287
AC006129.2	101.360233429572	1	1	1	1
AC079767.4	1	1	77.0455512177127	1	1
AC092580.4	1	433.455678364964	1	1	414.153878060375
ACADM	98.000856822143	1	96.9073294282907	1	1
ACAP2	1	1	1	120.873574986663	1
ACAT1	1	76.1788442840547	1	1	1
ACYP2	1	1	73.5229273935761	1	1
ADA	1	1	1	1	55.3576161628025
ADAM28	121.68835088013	1	121.087072716478	1	1
ADAMTS6	85.4916309681547	1	94.9915910452583	1	1
ADD3	1	1	1	1	133.985146695626
ADGRG1	1	1	1	1	209.19341730097
ADH5	1	1	1	1	100.581085492063
ADI1	1	1	1	81.4594928256189	1
ADK	1	1	93.7945697921313	1	1
ADTRP	1	1	134.400568550135	1	1
AFF3	85.6089717015262	1	109.79397155672	1	1
AFF4	1	1	79.0838757874129	1	1
AGTRAP	1	1	1	237.51053482381	1
AHR	1	1	1	81.4392807452667	1
AIF1	1	1	1	2417.41438273567	1
AIM2	100.434488494898	1	1	1	1
AKAP8L	1	1	76.9984709930588	1	1
AKNA	1	86.9042600831119	1	1	1
AKR1B1	1	1	1	1	86.149320406827
AKR1C3	1	1	1	1	123.532204426101
AL928768.3	115.693685957171	1	1	1	1
ALDH2	1	1	1	95.9629329928855	1
ALG13	1	1	102.887328552227	1	1
ALOX5	1	1	1	79.0250736778249	1
ANKRD10	1	1	1	1	75.6545512654918
ANKRD49	1	1	82.1723274405284	1	74.1773246989055
ANP32E	93.3566826046865	1	121.051367976811	1	1
ANXA2R	1	73.0276980981362	1	1	1
ANXA6	1	136.145568701234	1	1	122.229387659149
ANXA7	1	1	1	81.1381575424309	1
AOAH	1	1	1	93.7902797542437	122.728336632752
AP1S2	1	1	1	923.384495276318	1
APBB1IP	1	82.849375099496	1	90.097639041055	1
APEX1	125.863745756697	1	104.629749903449	59.9997955498692	1
APH1A	1	1	86.3136134446528	74.0312778605115	1
APMAP	1	1	1	1	236.99410078266
APOA1BP	1	1	1	1	68.4185322793871
APOBEC3A	1	1	1	241.258187223244	1
APOL6	1	1	1	133.088617149349	73.1872554167439
ARFGAP2	1	1	1	1	99.9241288236249
ARHGAP15	104.4319495621	139.113180966606	1	1	70.2579743434117
ARHGAP24	408.692804137528	1	273.815419873374	1	1
ARHGAP25	1	1	80.7628447671298	1	1
ARHGEF1	1	1	1	1	79.5200174358158
ARID1A	1	1	1	73.337520452464	70.0752934959489
ARID5B	160.389190482517	1	275.480601399502	1	105.334143888614
ARL4A	1	1	91.1149692036252	1	1
ARL4C	1	246.289096960782	1	1	398.041801271064
ARPC5L	1	149.732237997206	1	1	234.121650643479
ASAH1	1	1	76.5547969294145	303.48627574099	1
ASCC2	1	1	1	1	63.4991891714189
ASCL2	1	1	1	88.1563332004366	127.115779590766
ASGR1	1	1	1	197.195298443184	1
ASNA1	1	1	1	65.5099631487295	99.2017402899898
ATF5	1	1	1	84.737396489774	1
ATF7IP2	1	1	107.2458296144	1	1
ATG3	1	1	1	217.296341941523	1
ATP2B1	79.8705029222582	1	1	56.1100893911338	1
ATP5S	1	1	1	1	97.9103394231364
ATP6AP2	1	1	1	134.748654504112	104.985401271734
ATP6V0D1	1	1	1	120.309057852632	67.0268672682381
ATP6V1B2	1	1	1	125.991275523807	1
AUP1	86.0386283540888	1	108.450541533242	1	1
B4GALT1	1	1	111.06952533081	70.9764050286014	1
BATF	1	86.4224512325906	1	1	80.7461793645701
BBC3	1	1	96.0405346650968	1	1
BBX	1	1	78.9944141942874	1	73.3457763250521
BCAS2	1	81.0018861277453	113.28801393961	1	102.190017510791
BCAS4	150.718672590755	1	202.025061776755	1	1
BCL11A	97.7427221366004	1	84.0006655980801	1	1
BCL11B	1	74.0781595354876	1	1	1
BCL2	122.140636082733	1	480.56164336065	1	1
BCL2A1	1	1	1	143.992669943229	1
BCL7A	99.062609452611	1	1	1	1
BCL7C	1	107.620362560448	1	58.8673642357425	161.111884005459
BID	1	1	1	145.832771001903	1
BIN1	1	132.225778653695	1	1	89.397925539963
BIN2	1	211.833586902213	1	74.0005205531269	339.026765602183
BIRC2	1	1	129.474080343793	65.7004481917331	1
BIRC3	147.228420068157	1	137.839111398842	1	1
BLK	100.739111314055	1	124.754660905637	1	1
BLNK	163.150265815559	1	122.649414550378	1	1
BLOC1S2	107.980646193046	1	148.995251896756	127.932420644867	1
BLOC1S4	1	1	1	1	88.7083087366399
BLVRA	1	1	1	116.222530309242	1
BLVRB	1	1	1	271.410641855083	1
BNIP2	1	1	81.5961471829844	116.197787259921	1
BPTF	110.124169596959	1	108.560817408322	1	68.3643786567193
BRD2	1	1	1	102.724920693975	121.441586018814
BRD7	1	1	75.3180522258842	1	1
BRI3	1	70.0949865347497	94.4870920015545	921.881458990089	1
BST1	1	1	1	98.5810960763568	1
BTK	83.1966478695574	1	1	1	1
BTN3A2	1	125.136435397816	1	62.577248840732	200.502223637755
BUB3	1	95.7624668323145	1	1	158.250848979022
C10orf54	1	1	1	263.047416278913	1
C12orf49	1	1	84.9504084187507	1	1
C12orf75	1	253.91898017658	1	1	385.098187489469
C14orf1	1	1	1	1	54.5135323357235
C14orf119	88.1773136609172	1	1	58.8995695444138	119.518763389603
C15orf39	1	1	1	95.0967182991679	1
C15orf40	81.4630102564799	1	73.7702929875141	1	1
C16orf54	1	139.854411227225	1	75.8253378611572	128.322017129662
C16orf74	223.374969383322	1	270.038355535047	1	1
C18orf32	1	1	1	78.5267177649476	62.8758460149042
C19orf38	1	1	1	159.082413448094	1
C1orf122	1	1	98.3325113424629	1	95.8718415954181
C20orf27	1	1	1	128.349414160614	1
C5orf56	1	180.415470684224	1	1	263.271089422242
C6orf62	1	1	1	117.854490941055	1
C7orf55	115.254372864802	1	100.875097113741	1	1
C8orf33	1	1	82.7796963455964	1	1
C9orf142	1	194.705162913932	1	86.3535413133305	221.232097725737
C9orf72	1	1	1	100.810183579461	1
CALCOCO2	1	1	1	82.9139140238072	1
CANX	1	1	1	113.664188367625	1
CAPNS1	1	1	1	160.373179281336	141.874617944082
CARD19	1	1	1	90.6603199906732	1
