"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04914","Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","13/277","91/5972",0.142857142857143,3.07993811242909,4.40922311299291,0.000256697275006251,0.00113620105330636,0.000668874694149161,"890/207/8881/983/1017/5295/891/6790/5347/5599/993/3480/5594",13
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","20/277","183/5972",0.109289617486339,2.3562368073228,4.10937573939731,0.000281557840120149,0.00122613898116839,0.000721820608796985,"207/596/472/983/1111/7124/5295/891/3661/6892/836/5599/5970/3725/5594/581/637/7186/811/841",20
"hsa04213","Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","9/277","51/5972",0.176470588235294,3.80462943300064,4.43587807748328,0.000476295415525273,0.00204126606653688,0.00120168099823419,"207/5295/2308/2309/3643/6648/23411/9474/3480",9
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","14/277","111/5972",0.126126126126126,2.71922463980226,4.0320398099526,0.000558880227187079,0.00235777595844549,0.00138800845896791,"595/207/1499/7124/2308/2309/3661/23411/836/4217/3553/5599/5970/841",14
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","14/277","112/5972",0.125,2.69494584837545,3.99330596404023,0.000612652660917875,0.00254486489919733,0.00149814658783156,"207/1499/5295/54361/648/6929/2260/4609/8321/4211/8313/3480/5594/2247",14
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","15/277","127/5972",0.118110236220472,2.54640552602405,3.88462903232282,0.000724496128714511,0.00296384779928664,0.00174479928924866,"595/5054/7161/896/27113/1499/332/7159/54361/4609/11186/8321/7040/8313/7042",15
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","9/277","54/5972",0.166666666666667,3.59326113116727,4.22155261196867,0.000736937019072903,0.00296974619626394,0.00174827163990587,"7124/3661/5300/9474/5599/5970/9140/7186/841",9
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","12/277","89/5972",0.134831460674157,2.90690788139375,3.9970708717287,0.000754969687830819,0.00299767376050472,0.00176471242821136,"207/7124/5295/3661/7098/6348/3553/5599/5970/3725/5594/841",12
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","7/277","34/5972",0.205882352941176,4.43873433850074,4.43439670869735,0.000782006522245807,0.00306002552183142,0.00180141853331986,"595/1647/1499/1643/4609/5594/581",7
"hsa01523","Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","6/277","27/5972",0.222222222222222,4.79101484155636,4.35389542046353,0.00122303274703479,0.00471741202427706,0.00277711195191359,"1719/7298/7124/9429/3553/5970",6
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","17/277","163/5972",0.104294478527607,2.24854377533166,3.56421130758479,0.00136036549618721,0.00513643142861089,0.00302378614315885,"595/207/596/896/7422/1499/5295/7057/4638/5155/8515/2321/5599/857/3480/3725/5594",17
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","21/277","222/5972",0.0945945945945946,2.03941847985169,3.48056344529023,0.00136971504762957,0.00513643142861089,0.00302378614315885,"4193/207/596/472/7124/5295/2308/2309/664/3661/9474/3553/84557/5599/5970/9140/3725/81631/5594/581/7186",21
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","10/277","73/5972",0.136986301369863,2.95336531328817,3.70315814682409,0.00182277545055786,0.00674177221439208,0.00396884056285849,"7422/7124/8792/7040/6348/2321/3553/51561/3725/7042",10
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","13/277","113/5972",0.115044247787611,2.48030414363758,3.50344241450518,0.00206247769617564,0.00752525645901922,0.00443007300316531,"898/8881/983/1017/9134/891/6790/9232/5347/286151/26271/3480/5594",13
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","14/277","127/5972",0.110236220472441,2.37664515762245,3.45818458128273,0.00211595897142733,0.00753562788837881,0.00443617860095595,"207/7124/5295/1385/8792/7040/3553/5599/5970/9846/3725/5594/7042/7186",14
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","12/277","100/5972",0.12,2.58714801444043,3.52972574498002,0.00212113970191404,0.00753562788837881,0.00443617860095595,"595/890/207/5295/2308/2309/3643/1385/23411/8408/3480/5207",12
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","8/277","52/5972",0.153846153846154,3.31685642876979,3.70046666743761,0.00245822701511153,0.00861975706597548,0.00507439889653917,"7124/7040/3553/51561/5970/3725/3586/7042",8
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","12/277","102/5972",0.117647058823529,2.53641962200042,3.45149649092464,0.00251220240135431,0.00869562763037608,0.00511906343932471,"595/4193/207/1499/5295/54361/8202/2308/4609/3091/1387/5594",12
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","9/277","64/5972",0.140625,3.03181407942238,3.60387953008762,0.00254427623259152,0.00869562763037608,0.00511906343932471,"595/890/207/5295/4609/4353/5371/5970/5594",9
"hsa03410","Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","7/277","44/5972",0.159090909090909,3.42993107975057,3.56765419509351,0.00374730806684225,0.0126471647255926,0.00744530944859446,"5111/54107/7515/7374/5424/5427/5983",7
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","12/277","108/5972",0.111111111111111,2.39550742077818,3.22748032229947,0.00405052973914803,0.0135017657971601,0.00794840793517027,"595/207/596/4170/896/5295/4609/3570/5155/1387/51561/3586",12
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","12/277","110/5972",0.109090909090909,2.35195274040039,3.15610542601048,0.00470562715580679,0.0154941381959492,0.00912130552666015,"207/596/7124/5295/4217/5599/5970/9846/5594/581/637/7186",12
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","6/277","35/5972",0.171428571428571,3.6959257349149,3.52756461933048,0.00491158864005752,0.0156448648805308,0.00921003741504935,"7124/5295/3767/3643/5599/5594",6
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","8/277","58/5972",0.137931034482759,2.97373334993153,3.331028680302,0.00492523524016712,0.0156448648805308,0.00921003741504935,"595/207/5295/2309/8792/5599/5970/5594",8
