"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","61/891","179/5972",0.340782122905028,2.28411990795603,7.30412371223778,6.56772581257576e-11,1.20773180220143e-09,7.60473515140351e-10,"3725/2353/581/353376/5295/4790/5970/3845/5594/8795/4846/356/5599/355/3265/834/207/317/1432/4792/7436/839/637/841/8743/3326/7097/805/3320/8797/5578/1558/5595/6774/19/29108/572/4318/5747/840/5290/387/6300/2919/5606/3708/2932/842/208/4217/3312/4780/7184/4688/5603/3383/1649/6256/959/7132/3303",61
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","47/891","122/5972",0.385245901639344,2.58214200290703,7.39324729143332,9.72209882783511e-11,1.69369195369127e-09,1.06646845867665e-09,"5925/5610/581/5295/4790/5970/3845/5604/5594/356/8772/355/3265/207/317/4792/637/10971/1869/1017/841/578/5595/6774/3458/572/8554/1499/5290/100506658/5515/1019/7098/1870/949/2932/842/208/5894/7532/1021/10197/49861/6772/1871/6256/7132",47
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","28/891","54/5972",0.518518518518518,3.47541256183231,7.65146824437986,1.88746569060809e-10,3.1237557179564e-09,1.96693793021265e-09,"581/1647/5295/3845/5604/5594/3265/324/207/5728/1643/4616/51426/2064/578/5595/572/1499/5290/4292/2309/3611/2932/842/208/5894/2002/6934",28
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","45/891","117/5972",0.384615384615385,2.57791591124924,7.21773822374142,2.62183892587854e-10,4.13251754507523e-09,2.60212585124788e-09,"3725/2353/5295/4790/5970/4846/5155/5599/7422/4313/207/7341/1432/1728/1843/3326/805/3320/8878/7295/6382/3458/51588/4318/5747/1514/1499/5290/387/9817/6300/1906/7056/10365/208/3162/4217/4780/7184/4688/5603/5327/3383/4208/7132",45
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","36/891","83/5972",0.433734939759036,2.90714372642084,7.32638071188085,3.30273969682402e-10,4.96912199840341e-09,3.12891129172802e-09,"5925/581/1647/5743/5295/4790/5970/4843/207/317/5728/4792/1643/1869/1017/9618/4616/2272/51426/2335/578/1164/1163/5747/5290/4149/331/1019/1870/842/208/1021/3912/1871/6256/1285",36
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","56/891","166/5972",0.337349397590361,2.2611117872162,6.90012412662704,6.35644539287382e-10,9.14775402191841e-09,5.76007408599092e-09,"5925/3725/5610/2353/581/5743/5295/4790/5970/3845/5604/5594/8772/5155/5599/7316/7422/3091/355/3265/207/1432/4792/637/1869/841/2247/3133/805/578/1385/5595/6774/2785/1499/5290/1019/7098/1870/6300/2919/3708/2932/5289/842/208/5894/1021/5603/3383/3106/6772/1871/6934/7132/3105",56
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","41/891","105/5972",0.39047619047619,2.61719843942066,7.00063942017912,9.71506034164131e-10,1.3398687387847e-08,8.43676292826745e-09,"3725/2353/5743/5295/4790/5970/5604/5594/8772/5599/355/207/1432/4792/841/843/3659/1385/5595/4318/10059/840/5290/331/6300/2919/1906/3976/5606/208/4049/4217/9252/602/5603/3383/9020/1386/1051/7132/3600",41
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","30/891","64/5972",0.46875,3.14183501683502,7.21345867952289,1.02282082921138e-09,1.35421477787586e-08,8.52709575510959e-09,"5925/581/1647/5295/3845/5604/5594/5155/3265/207/5728/1643/3479/1869/4616/51426/805/578/5578/5595/5290/5159/1019/1870/6464/208/5894/1021/814/1871",30
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","39/891","101/5972",0.386138613861386,2.58812547921459,6.74026932578723,3.66237655611516e-09,4.66248707720814e-08,2.93583221907207e-08,"3725/2353/5295/4790/5970/3845/5604/5594/4846/7040/5599/7422/3265/4843/4313/207/1432/4792/5566/1278/5578/1385/5595/4318/59/2785/5290/6464/6300/6019/1906/409/208/5894/4087/5603/1386/7046/1285",39
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","29/891","65/5972",0.446153846153846,2.99038245704912,6.75612254348626,8.08843758780118e-09,9.84536150137778e-08,6.19933718324949e-08,"581/5295/5594/672/356/8772/355/207/4436/317/27113/332/637/841/538/2064/578/5366/5595/572/5290/4292/331/842/208/1317/4217/5980/1244",29
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","73/891","256/5972",0.28515625,1.91128296857464,6.24043575277696,8.32840247850689e-09,9.84536150137778e-08,6.19933718324949e-08,"5295/4790/5970/3845/5604/5594/672/4846/356/5155/7057/7422/5934/3265/207/5728/6696/4170/3643/10971/3479/1017/2247/3566/3326/7097/2064/2335/3320/1278/5578/10018/3575/1385/5595/1977/2321/6446/2260/572/2785/5747/5290/2309/5515/5159/1019/2149/7248/2324/2932/3570/842/6794/208/5894/4233/7532/2688/1021/7184/374/3695/3912/896/1386/22801/3164/6256/3559/54541/3815/1285",73
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","30/891","69/5972",0.434782608695652,2.91416581271654,6.69661759048152,9.39182229229547e-09,1.07196316508614e-07,6.74983961478948e-08,"581/5295/3845/5604/5594/5155/7422/3265/207/5728/3479/2247/2064/5578/10018/5595/6774/1977/572/5290/2309/4763/5159/6464/2932/3570/208/5894/4233/558",30
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","48/891","146/5972",0.328767123287671,2.20358839536922,6.16533912018622,2.81041833954356e-08,3.10082823462972e-07,1.95250116220921e-07,"5925/581/1647/5295/3845/5604/5594/7040/3265/324/207/5728/1643/1728/1869/4616/51426/578/5578/1452/5595/54361/572/86/1499/5290/1019/1870/9817/6464/29117/6597/2932/208/3162/5894/4233/1021/4780/6604/4087/2002/1871/4088/6934/7046/7042/4089",48
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","67/891","235/5972",0.285106382978723,1.91094873080689,5.96586238777885,3.55922080747902e-08,3.80032931379212e-07,2.39295660400967e-07,"3725/2353/1647/4790/5970/3845/3925/5604/5594/7040/356/5155/5599/7422/355/3265/207/1432/3643/5494/3479/4791/2247/1843/4616/1847/5566/2064/1616/5578/9448/5595/2321/2260/1846/4296/5321/4149/4763/5159/6300/5606/2324/409/4214/994/208/4217/5894/4233/3312/9252/374/5603/9020/1649/1386/2002/6197/6722/4208/3164/7046/7042/7132/3303/3815",67
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","56/891","184/5972",0.304347826086957,2.03991606890158,5.99971649967883,4.27481865485603e-08,4.42176554611671e-07,2.78425688704439e-07,"5925/581/5743/5295/4790/5970/3845/5604/5594/356/8772/7422/355/6667/3265/7852/207/1432/4792/637/1869/841/3133/5566/805/578/5578/1385/5595/6774/6093/2785/5747/1499/5290/387/1019/1870/6300/7248/3708/2932/3570/842/208/5894/2776/1021/5603/3106/1386/2002/1871/7132/3105/567",56
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","55/891","180/5972",0.305555555555556,2.0480109739369,5.97827097644998,4.87043760947846e-08,4.88519651132536e-07,3.07606585861797e-07,"5925/3725/5610/581/1647/5295/4790/5970/8772/5599/5706/355/207/3123/317/1432/4792/965/1643/637/1869/1017/841/4791/4616/3133/7097/51426/960/8900/578/10018/6774/890/5290/1019/1870/6300/5606/7874/842/208/25942/1021/5603/3383/9020/3106/896/5717/6772/1871/3105/567/3066",55
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","20/891","38/5972",0.526315789473684,3.52767440486739,6.5452606842604,5.63671812422752e-08,5.48751087976267e-07,3.45532566129117e-07,"5925/3845/5604/5594/7057/7422/3265/4313/1839/1869/2064/5595/4318/1019/1870/1612/11186/5894/9252/1871",20
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","34/891","90/5972",0.377777777777778,2.53208629504926,6.13238993955577,7.03855267987923e-08,6.65645982011435e-07,4.191378738695e-07,"3725/2353/5295/3845/5604/5594/4846/6667/3265/5443/4313/1839/207/1509/3326/5566/805/3320/1385/5595/8648/4318/5290/6464/3708/208/5894/3312/2776/7184/1386/2289/3303/3858",34
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","40/891","115/5972",0.347826086956522,2.33133265017323,6.03650662049914,7.26853936737799e-08,6.68301814056143e-07,4.20810173900831e-07,"5925/581/1647/5295/3845/5604/5594/7040/3265/324/207/1643/1869/1017/2247/4616/51426/2064/578/1452/5595/54361/1499/5290/4292/1870/6464/2932/208/5894/4233/3728/4087/1871/4088/6934/6256/7046/7042/4089",40
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","52/891","172/5972",0.302325581395349,2.02636180930755,5.71924235722181,1.67114532525944e-07,1.49499757475912e-06,9.41356399434906e-07,"5295/3845/5604/5594/7078/7040/356/7057/7422/3091/355/3265/4313/1839/207/1432/3479/2247/5566/7097/2064/2335/960/1278/5578/5595/6774/54361/10855/2260/6382/4318/6093/5328/5329/5747/1514/1499/5290/27250/387/6300/3708/208/5777/5894/4233/4087/5603/2002/287/7042",52
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","25/891","58/5972",0.431034482758621,2.8890436936414,6.05345237689371,2.00649562475143e-07,1.70294885075057e-06,1.07229725695218e-06,"2353/5295/4790/5970/6776/3845/5604/5594/5599/3265/207/1432/8792/3659/5595/6774/5290/2309/6464/6300/2932/208/5894/5603/6772",25
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","25/891","58/5972",0.431034482758621,2.8890436936414,6.05345237689371,2.00649562475143e-07,1.70294885075057e-06,1.07229725695218e-06,"5295/5224/3845/5604/5594/3091/3265/207/5728/6513/2064/5595/2260/5290/5159/27165/57103/208/5894/4233/5163/3417/3099/9997/3815",25
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","52/891","175/5972",0.297142857142857,1.99162417829085,5.57509499406129,3.08046411457888e-07,2.54908405481402e-06,1.60508393338584e-06,"5925/3725/5610/581/5295/4790/5970/6776/3845/983/5594/5934/3265/1111/9519/4055/4792/10971/1017/841/4791/8379/3133/8850/5566/8900/578/5366/1385/5595/6774/1642/890/572/991/5290/387/1019/3190/7874/1654/8970/2934/7532/1021/6908/3106/896/1386/6722/3105/3066",52
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","46/891","149/5972",0.308724832214765,2.06925330862691,5.53462412852909,4.47213005913772e-07,3.61042695018191e-06,2.27338062056295e-06,"581/1647/4790/5970/1025/4094/2209/6667/604/1643/3479/4616/5371/51426/8900/578/2321/4353/890/4318/1050/1031/5328/5747/4149/51274/4613/5079/4233/25942/860/861/3728/8864/3695/5327/1649/8350/2521/2308/4208/6929/8013/6256/1051/3066",46
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","26/891","64/5972",0.40625,2.72292368125701,5.80261256587546,4.72991656939629e-07,3.72762472492898e-06,2.34717664345981e-06,"5295/4790/5970/6776/3845/5604/5594/2209/3265/207/5371/8900/5595/6774/4353/890/572/1050/5290/208/5894/861/3728/8864/6934/3815",26
"hsa04211","Organismal Systems","Aging","hsa04211","Longevity regulating pathway","29/891","76/5972",0.381578947368421,2.55756394352886,5.72218288299003,5.07314318005386e-07,3.90514044790193e-06,2.45895312031987e-06,"8660/581/5295/4790/5970/3845/3265/207/23411/3643/3479/5564/847/5566/1385/1977/79602/5290/2309/7248/79813/9821/6794/208/83667/814/27244/1386/2308",29
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","33/891","93/5972",0.354838709677419,2.37833532457188,5.60960680063729,6.03717068233613e-07,4.54159885421195e-06,2.85971242847501e-06,"5295/4790/5970/5054/5604/5594/4846/7422/3091/4843/207/4055/7037/3643/3479/6513/2064/5578/5595/6774/1977/4878/2321/3458/5290/1906/3570/208/3162/7428/5163/3099/7076",33
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","47/891","156/5972",0.301282051282051,2.01936746381191,5.40217511556028,7.40788368315321e-07,5.44890999805269e-06,3.43101981114464e-06,"5925/891/1647/5111/983/7040/1874/5934/9133/1111/995/9232/2810/10971/1869/1017/8379/4616/5347/11200/8900/701/4176/890/993/4174/1031/991/5515/1019/1870/2932/994/7532/7465/1021/4087/25/896/7027/1871/4088/7042/4089/7272/1875/3066",47
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","42/891","134/5972",0.313432835820896,2.10080908588371,5.39659901185118,9.07419469570725e-07,6.52947487886761e-06,4.1114200223113e-06,"5925/3725/2353/5295/4790/5970/6776/3845/5604/5594/7422/3265/207/153/332/604/1869/2247/9970/3326/5566/1139/3320/5578/1385/5595/6774/9314/7421/572/993/688/5290/331/409/208/5894/7184/896/1386/6197/6256",42
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","26/891","67/5972",0.388059701492537,2.60100172537983,5.51832202607864,1.35474419632035e-06,9.33473544971086e-06,5.87781084128717e-06,"3725/2353/5743/4790/5970/5594/8772/5599/1432/4792/841/9618/1994/3326/3320/5595/3458/4318/6300/2919/6280/2932/8061/7184/5603/1051",26
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","69/891","267/5972",0.258426966292135,1.73212776958095,5.12510156617973,1.35613898374216e-06,9.33473544971086e-06,5.87781084128717e-06,"5925/5610/581/5743/5295/4790/5970/3845/5604/5594/356/8772/7057/7422/5663/5934/355/3265/324/207/9519/5728/6696/1869/1017/841/4855/3133/5566/2335/1278/8900/578/3659/1385/1452/5595/54361/890/572/4851/9794/10474/5747/1499/5290/5515/5159/1019/7098/7248/2932/208/5894/1021/3695/6908/3912/3106/896/6772/6934/2308/22801/7132/3105/7283/1285/3066",69
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","33/891","96/5972",0.34375,2.30401234567901,5.39341968852774,1.38187926596928e-06,9.33473544971086e-06,5.87781084128717e-06,"8660/2353/5295/6776/3845/5604/5594/5599/3265/207/1432/3479/5566/5578/1385/5595/6774/5747/5290/6464/6300/5606/3708/2932/4214/208/5894/2776/2688/5603/1386/6772/6752",33
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","52/891","183/5972",0.284153005464481,1.90455864044206,5.20413179599764,1.41900620650409e-06,9.39382108705707e-06,5.91501534500652e-06,"891/3725/2353/581/5295/4790/5970/3845/983/5604/5594/356/8772/5599/9133/355/3265/7852/1111/207/995/1432/4792/637/841/3133/7097/805/578/5578/5595/1642/572/2785/5747/5290/6300/5606/3708/3985/842/208/5894/2776/7465/9730/5603/25939/3106/7132/3105/567",52
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","35/891","105/5972",0.333333333333333,2.23419378974935,5.34266264797704,1.51440087507852e-06,9.82875862060768e-06,6.18888283313824e-06,"3725/581/7161/5295/4790/5970/3845/5604/5594/356/5599/5663/3265/207/1432/4792/805/5595/572/5290/2309/387/6464/6300/2932/4214/208/4217/5894/9252/5603/25/814/6197/11213",35
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","38/891","119/5972",0.319327731092437,2.14032010110441,5.26136932889266,1.80639181015822e-06,1.14983786377379e-05,7.24019389496613e-06,"3725/5610/2353/581/7161/5295/4790/5970/6776/356/8772/5599/355/207/317/27113/4792/637/1017/841/7097/578/6774/1459/572/5290/1019/2932/842/208/3312/1021/896/10399/6772/3559/25898/3303",38
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","32/891","93/5972",0.344086021505376,2.30626455716061,5.31629017456665,1.94782828909014e-06,1.21647389375252e-05,7.65978155391951e-06,"3725/5743/5295/4790/5970/3845/5594/5599/3265/834/207/1432/4792/841/4791/4046/805/3659/5595/29108/5290/387/6300/3708/208/5894/3586/602/5603/9020/6772/1263",32
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","31/891","91/5972",0.340659340659341,2.28329694996362,5.16547255827724,3.58197479485849e-06,2.19561788351511e-05,1.38251658748924e-05,"3725/2353/5295/4790/5970/5054/5594/7040/356/8772/5599/355/4843/207/1432/4792/841/7097/5595/3458/5290/5515/6300/208/2776/3586/4087/5603/7046/7042/7132",31
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","21/891","52/5972",0.403846153846154,2.70681170681171,5.1762378198757,6.73400714912829e-06,4.05264793883903e-05,2.55183428809072e-05,"5743/5295/3845/5604/5594/4846/7422/3265/207/1432/5578/5595/572/5747/5321/5290/6300/842/208/5894/5603",21
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","29/891","86/5972",0.337209302325581,2.26017278730457,4.92897918271702,9.24734073413208e-06,5.46583889821021e-05,3.44167944616194e-05,"3725/2353/353376/5295/4790/5970/3845/5604/5594/3091/3265/207/1432/5728/4792/3932/7097/5595/6774/3458/1459/5290/6300/5606/208/5777/5894/5603/6772",29
"hsa04215","Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","15/891","31/5972",0.483870967741935,3.24318453350711,5.24328980794576,1.03287667848349e-05,5.99793299259711e-05,3.7767235889147e-05,"581/8772/5599/317/27113/332/637/841/578/5366/10018/840/331/842/7132",15
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","31/891","96/5972",0.322916666666667,2.16437523381968,4.81587795677433,1.24926008813414e-05,7.11601313864288e-05,4.48074606917249e-05,"3725/2353/4790/5970/6776/5594/7040/5599/3091/3123/1432/4792/3932/3566/3326/3320/5595/6774/3458/6300/3570/861/4087/5603/6772/4088/6256/3559/7046/4089/50943",31
"hsa04960","Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","14/891","28/5972",0.5,3.35129068462402,5.22196225922451,1.26841321806625e-05,7.11601313864288e-05,4.48074606917249e-05,"5295/3845/5594/6337/3643/2810/3479/5578/5595/6446/3291/5290/481/4306",14
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","25/891","71/5972",0.352112676056338,2.36006386241128,4.82740191674168,1.63206073689472e-05,9.00353506520252e-05,5.66926361237112e-05,"3725/2353/5743/4790/5970/5594/7040/2209/4843/3123/1432/4792/7097/5595/3458/6300/5777/4688/3586/1915/5603/2002/6772/7042/3689",25
