"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","49/891","72/5972",0.680555555555556,4.56147898740491,12.7308798350018,1.27666651237142e-24,4.22576615594941e-22,2.66084178367939e-22,"891/581/900/1647/7161/4194/983/5054/8795/64065/3732/7057/50484/9133/8493/355/1111/317/27113/5728/6477/1643/637/2810/3479/1017/841/4616/11200/64326/10572/84883/8797/5366/51246/1019/901/842/1021/83667/9538/27244/896/575/9540/55367/25898/64393/55240",49
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","135/891","414/5972",0.326086956521739,2.1856243595374,10.4707020852862,3.37424378286141e-21,5.58437346063564e-19,3.51631720529768e-19,"5925/3725/2353/581/1647/5743/5295/4790/5970/6776/3845/2113/5604/5594/7040/356/8772/5155/5599/7422/3091/355/6667/3265/4843/7852/4313/324/207/4436/4824/317/27113/5728/4792/332/8031/1643/1728/637/675/3479/1869/1017/841/9618/4791/4855/2247/4616/3566/5371/3326/6513/5566/51426/2064/805/2335/3320/8900/578/5578/5366/183/10018/3575/5595/6774/8648/5888/54361/2260/890/3458/572/4318/1050/4851/1164/6093/1163/2785/5747/840/1499/5290/4149/4292/331/387/5159/1019/2149/1870/9817/1906/2324/2932/3570/1612/842/208/11186/3162/5894/4233/7428/2776/1021/4780/7184/861/3728/4087/9252/25/3912/896/3714/2002/6772/1871/4088/6934/2308/6256/3559/7046/7042/4089/3600/3815/1285/3066",135
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","61/891","141/5972",0.432624113475177,2.89969832286617,9.55895605580537,2.22047262465313e-16,2.44992146253395e-14,1.5426441392327e-14,"5925/3725/2353/581/353376/5295/5111/4790/5970/6776/3845/5604/5594/7040/356/8772/5599/355/3265/207/317/1432/4792/332/1643/637/10971/1869/1017/841/843/7097/8900/5578/1385/5595/6774/6554/1642/890/572/4318/5290/7098/1870/6300/5606/4214/842/1654/208/5894/5603/1386/2002/6772/1871/4088/7046/7042/4089",61
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","76/891","206/5972",0.368932038834951,2.47279701001384,9.00797091238374,1.93168958384734e-15,1.37046554482461e-13,8.62942209811646e-14,"5925/3725/2353/581/5295/4790/5970/6776/3845/2113/5604/5594/7040/5599/9133/3265/1111/207/9519/3123/4055/8295/5728/4792/3932/9232/1869/1017/1958/4791/8379/3133/8850/11200/6513/5566/8900/701/1385/5595/890/1031/991/5290/331/1019/1870/4214/208/8829/4049/7514/8061/706/4087/3383/6908/9020/3106/896/64784/1386/2002/6722/1871/4088/6929/3559/7046/7042/3689/4089/7132/3600/3105/567",76
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","53/891","117/5972",0.452991452991453,3.03621207324911,9.31408676974319,2.07018964475016e-15,1.37046554482461e-13,8.62942209811646e-14,"891/8660/1647/5295/3845/5604/5594/7040/356/5599/5934/9133/3265/207/1432/5728/664/23411/604/3643/3479/1017/5564/4616/8743/5347/847/10018/3575/10733/5595/6774/6446/80854/5290/2309/6300/901/7874/10365/6794/208/114907/5894/3276/3586/5603/1263/4088/2308/7046/7042/4089",53
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","60/891","146/5972",0.410958904109589,2.75448549421152,8.98729008594611,7.08890329110064e-15,3.91071164892385e-13,2.46246114322443e-13,"8660/900/5743/5295/4790/3845/4194/3925/5604/5594/672/7078/8626/4363/5155/7057/7422/3265/324/1786/995/5728/23411/4170/1869/4855/2064/960/578/5578/10018/5595/6774/993/4318/4851/6093/5328/5290/27250/387/5159/1870/6464/27165/3190/994/11186/3162/5894/4233/1021/6659/9493/9252/25/1871/7042/54541/3066",60
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","38/891","73/5972",0.520547945205479,3.48901495933459,8.95957746840418,8.48111634069998e-14,3.7436636272188e-12,2.35727587275981e-12,"5925/581/1647/5295/4790/5970/3845/5604/5594/7040/5599/7422/207/1643/675/1869/4616/51426/2064/578/5595/6774/5888/572/5290/1019/1870/842/208/5894/1021/4087/6772/1871/4088/7046/7042/4089",38
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","53/891","126/5972",0.420634920634921,2.81933978230275,8.64285990140398,9.04812961261341e-14,3.7436636272188e-12,2.35727587275981e-12,"3725/2353/581/1647/5295/4790/5970/3845/5604/5594/8795/356/8772/5599/355/3265/207/317/27113/4792/332/4170/1509/839/637/841/4616/8743/843/8797/1616/578/5366/10018/5595/835/9131/572/1514/840/5290/331/142/3708/842/208/4217/5894/9020/1649/55367/7132/1513",53
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","58/891","146/5972",0.397260273972603,2.66266931107114,8.51696492498612,1.20164612388054e-13,4.41938741116066e-12,2.78275944477599e-12,"5925/891/1647/5295/4790/5970/3845/2113/983/5054/5604/5594/7040/1874/5934/9133/3265/1111/207/1432/28996/5728/23411/1869/204851/1017/4616/3133/11200/805/8900/8878/5595/890/993/5290/2309/1019/1870/6300/7248/5606/3708/208/5894/1021/4087/5603/3106/896/1871/2305/4088/2308/7046/7042/3105/1875",58
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","39/891","81/5972",0.481481481481481,3.22716880741572,8.45062682047896,1.03667496466305e-12,3.43139413303469e-11,2.16064887371878e-11,"3725/2353/581/1647/5295/3845/5604/5594/7040/5599/3265/324/207/4436/27113/332/1643/4616/51426/578/5366/10018/5595/572/1499/5290/4292/387/2932/842/208/5894/4087/374/4088/6934/7046/7042/4089",39
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","40/891","87/5972",0.459770114942529,3.08164660655082,8.18994878092638,3.45928360809822e-12,1.04092988570956e-10,6.55443209955452e-11,"3725/581/5295/4790/5970/6776/3845/5054/5594/4846/7040/5599/7422/3265/4313/207/1432/1958/2335/1278/5578/183/5595/6774/5290/1019/6300/1906/7056/208/4087/5603/3383/6772/4088/2308/7046/7042/4089/1285",40
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","36/891","74/5972",0.486486486486487,3.26071526071526,8.19402211773938,5.33495643422819e-12,1.47155881644128e-10,9.26597696471212e-11,"5925/581/1647/5295/4790/5970/6776/3845/5604/5594/7040/3265/207/4792/1643/1869/4616/51426/578/5595/572/5290/1019/1870/6464/208/5894/1021/861/25/1871/4088/7046/7042/4089/3066",36
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","30/891","55/5972",0.545454545454545,3.65595347413529,8.28588331759438,7.5763904253552e-12,1.92906556214813e-10,1.21467635969257e-10,"5925/581/1647/5295/3845/5604/5594/5155/3265/207/5728/1643/3479/1869/2247/4616/51426/578/5595/2260/572/5290/5159/1019/1870/208/5894/4233/1021/1871",30
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","38/891","82/5972",0.463414634146341,3.10607429306616,8.04101284875979,8.99682144356392e-12,2.12710564129976e-10,1.33937642543282e-10,"5925/5295/4790/5970/3845/5604/5594/5155/3265/207/4824/5728/4792/3479/1869/1017/3326/2064/3320/1385/5595/2260/572/4318/5328/1499/5290/5159/1870/2932/842/208/5894/7184/5327/1871/6934/2308",38
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","33/891","66/5972",0.5,3.35129068462402,8.04302391217061,1.60318867143987e-11,3.53770300164397e-10,2.22758846979013e-10,"5925/581/1647/5295/6776/3845/5604/5594/3265/207/1643/1869/4616/2272/51426/2064/578/5578/5595/6774/572/5290/2309/1019/1870/842/208/11186/5894/4233/1021/1871/6256",33
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","39/891","87/5972",0.448275862068966,3.00460544138705,7.88684104173157,1.72268136502027e-11,3.56379707388568e-10,2.24401914653956e-10,"5925/3725/2353/581/5295/3845/5604/5594/5599/6667/3265/4313/1839/207/1432/3479/1869/4855/5566/10498/2064/5595/572/638/4318/4851/1031/5747/5290/1019/1870/6464/6300/208/5894/1565/5603/3714/1871",39
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","46/891","114/5972",0.403508771929825,2.704550377065,7.69441086962643,2.36590385053304e-11,4.60655396780257e-10,2.90061277031295e-10,"5925/3725/2353/581/1647/5295/3845/5604/5594/672/6667/3265/324/207/5728/1643/675/3479/1869/4791/4855/2247/4616/51426/2064/578/1452/5595/8648/54361/2260/4851/1499/5290/1019/1870/6464/2324/2932/208/5894/1021/3714/1871/6934/3815",46
