"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","9/42","172/5972",0.0523255813953488,7.44019933554817,7.21224332674227,2.17651465694265e-06,0.000439655960702415,0.00036886195765028,"4609/2099/2335/960/4233/5727/5566/7124/4313",9
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","8/42","149/5972",0.0536912751677852,7.63438798338127,6.90146737037784,7.15499916697577e-06,0.000722654915864553,0.000606292034675315,"2321/4609/4233/894/4005/6688/2313/860",8
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","3/42","26/5972",0.115384615384615,16.4065934065934,6.62524094142997,0.000751560725783795,0.0488359244491585,0.0409722972189397,"3553/7124/335",3
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","6/42","179/5972",0.0335195530726257,4.76616121308859,4.30521150012447,0.00142540832731365,0.0488359244491585,0.0409722972189397,"4688/3553/7124/19/335/9619",6
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","3/42","33/5972",0.0909090909090909,12.9264069264069,5.7813700022541,0.00152408632973687,0.0488359244491585,0.0409722972189397,"5243/19/9619",3
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/42","75/5972",0.0533333333333333,7.58349206349206,4.82827745020101,0.00178993027984343,0.0488359244491585,0.0409722972189397,"2335/3553/5566/7124",4
"hsa04979","Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","3/42","35/5972",0.0857142857142857,12.1877551020408,5.58617173451107,0.00181052469746034,0.0488359244491585,0.0409722972189397,"348/19/335",3
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","9/42","414/5972",0.0217391304347826,3.09109730848861,3.71138472923621,0.00193409601778846,0.0488359244491585,0.0409722972189397,"4609/2099/2335/4233/894/5727/5566/6688/4313",9
