"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","64/1113","141/5972",0.453900709219858,2.43548520706289,8.25532974730854,1.6127537726198e-13,5.43498021372872e-11,3.0048149237232e-11,"356/7040/4792/581/7124/6714/5970/5594/7048/3716/890/54205/6772/4609/3265/7097/836/1385/3665/596/5579/1387/3717/1017/5578/5599/355/5925/3725/1432/207/898/7046/8900/841/6775/5604/4214/29110/3718/5295/7099/4615/4772/2185/3845/4088/7297/5894/1386/7189/3661/5291/3551/6778/317/1642/1643/148022/6773/7098/4089/4773/3339",64
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","73/1113","179/5972",0.407821229050279,2.1882375380847,7.72459444917208,2.30525856959492e-12,3.88436068976744e-10,2.14753035167527e-10,"356/3949/958/3320/3308/4792/581/7124/6714/6347/6648/3304/5970/5594/177/801/2919/7412/8795/335/54205/5468/3265/7097/836/3553/19/3665/596/929/3717/4217/3592/5578/1543/5599/355/3725/1432/207/2920/841/29110/5295/1649/7099/8743/4615/4772/5747/27035/3845/598/7189/23643/9619/3661/808/5291/7132/3551/7436/5335/6403/317/6352/148022/6348/959/3303/4773/387/948",73
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","60/1113","137/5972",0.437956204379562,2.3499321226907,7.64978894799095,6.30152514167699e-12,7.07871324248381e-10,3.91357877219939e-10,"356/3458/9021/896/292/4792/581/7124/4938/6347/4261/5970/5594/3716/8795/54205/1021/6772/3459/836/3553/3665/5579/1387/3717/3592/5578/5610/3123/355/207/841/5604/29110/5295/7099/8743/4615/1019/3117/7297/3627/5894/3661/5371/5291/7132/3551/4600/60/3119/7706/317/6352/148022/6773/7098/103/4599/10379",60
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","55/1113","122/5972",0.450819672131148,2.41895335307027,7.5782297752832,1.20873899017796e-11,8.57132178952938e-10,4.73879105652569e-10,"356/3458/3949/9021/4792/581/7124/4938/5970/5594/949/3716/54205/1021/6772/4609/3265/836/3665/5515/1017/5610/355/5925/8554/207/841/5604/29110/1364/5295/8737/1019/8837/3845/5521/7297/3627/5894/7189/3661/5519/5518/5291/7132/3551/4600/5465/317/148022/6773/7098/3434/4599/10379",55
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","132/1113","414/5972",0.318840579710145,1.71079599463521,7.17436618201735,1.27170946432187e-11,8.57132178952938e-10,4.73879105652569e-10,"356/5880/3458/7040/896/6513/5154/2335/3320/6688/4792/3685/4313/581/5970/3480/5594/7048/7422/3716/4843/801/5566/3479/5155/1027/890/54205/1021/6772/4609/3459/2950/5468/3265/2260/836/1030/4233/2264/596/3915/5579/1387/3717/3082/3592/2113/1017/2100/7852/5578/2064/5728/4257/2149/405/5599/2956/355/5734/5925/2247/3725/207/27113/3091/898/5914/11186/7046/8900/841/6775/2034/5604/3718/5295/183/331/7855/5747/196883/23604/1019/4824/112399/5337/3845/4088/3673/329/4041/613/1906/3162/6502/5894/2057/598/2946/7189/25/5371/3688/5366/808/9817/5291/8202/3551/3815/4851/2771/7483/1647/5335/3674/6778/317/1643/2261/3560/4791/3559/5292/6773/3655/4089/3572/387/28514",132
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","53/1113","117/5972",0.452991452991453,2.43060643060643,7.479065251608,2.29703119976449e-11,1.29016585720106e-09,7.13288635716343e-10,"5880/3458/5154/3320/5327/3685/4313/7124/6714/6347/5970/7422/801/7412/5155/2950/3553/596/4217/8878/4257/5599/1514/7295/3725/1432/207/857/5295/5590/5747/27035/1906/3162/2946/6612/657/6613/5562/808/9817/5291/7132/3551/51588/7341/60/3674/3690/7056/3554/387/5175",53
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","61/1113","146/5972",0.417808219178082,2.24182451476326,7.27024564527117,4.73865173189869e-11,2.28132233378551e-09,1.26126519781364e-09,"5328/5154/7148/5594/7422/8651/5155/1027/1021/4609/3265/836/4233/596/5579/1387/5578/1545/2064/5728/54541/672/1788/1789/898/3678/472/11186/5604/5295/4170/27250/7078/10253/5581/7430/993/8660/3845/6624/23411/3162/5894/994/6768/25/2744/5291/648/4363/3551/7057/4851/5335/3690/2261/9759/5292/995/27165/387",61
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","43/1113","87/5972",0.494252873563218,2.65200194152699,7.42838859153313,5.52367227350018e-11,2.32684694521195e-09,1.28643420053886e-09,"7040/2335/4313/581/7124/6347/5970/5594/7048/7422/177/5054/7412/1027/6772/3265/836/3553/596/5579/3717/5578/5599/3725/1432/207/7046/5295/183/4772/5581/5590/27035/1019/3845/4088/1906/5291/5335/7056/5292/4089/5580",43
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","52/1113","119/5972",0.436974789915966,2.34466616835413,7.09081843426311,1.84530990050083e-10,6.90966040520867e-09,3.82011523261576e-09,"356/896/4792/581/4938/7161/3304/5970/3716/1457/1027/54205/1021/940/6772/7097/836/3553/3665/596/3592/1017/5610/5599/355/3725/207/27113/898/841/29110/3718/5295/7099/1459/4615/1019/7297/598/7189/3661/5291/3551/4600/317/3560/3559/6773/3303/103/4599/10379",52
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","46/1113","103/5972",0.446601941747573,2.39632236847844,6.84100520891387,8.80503431074599e-10,2.77268418041045e-08,1.53292237992394e-08,"3458/7040/3949/958/4792/7124/4261/3586/3304/5970/5594/8651/3716/4843/54205/6772/3459/7097/836/596/3915/3717/3592/3123/5599/1432/207/841/240/331/7099/4615/3117/329/7297/598/7189/23643/3688/7132/3551/2771/3119/959/3303/3655",46
