"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","43/200","414/5972",0.103864734299517,3.10140096618358,8.24945388514368,8.76076308062292e-12,2.41797061025193e-09,1.37405652527665e-09,"675/4286/3815/2064/3592/596/2932/1027/6198/207/1728/1029/841/2885/3091/673/4843/3082/4790/4233/79444/5594/1021/5295/7422/3479/54361/3458/5566/2335/5925/54331/1436/4292/324/1017/5579/3559/3576/572/4088/5743/355",43
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","18/200","93/5972",0.193548387096774,5.77935483870968,8.64638146252882,1.04653690727291e-09,1.01543842253209e-07,5.77041666503744e-08,"2064/596/1027/6198/207/5163/5054/3091/4843/4790/5594/1536/5295/7422/3479/3458/5579/285",18
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","30/200","256/5972",0.1171875,3.49921875,7.6077023969008,1.10373741579575e-09,1.01543842253209e-07,5.77041666503744e-08,"3815/2064/596/2932/7248/7249/1027/6198/207/2885/3082/4790/4233/5594/6696/1021/5295/7422/3479/1435/2335/54331/1436/7057/1017/4804/3676/3559/285/572",30
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","12/200","40/5972",0.3,8.958,9.39958612483179,3.51208194296929e-09,2.42333654064881e-07,1.37710581448006e-07,"958/3592/54106/3082/3586/4233/3383/3458/7057/959/3576/6382",12
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","15/200","69/5972",0.217391304347826,6.49130434782609,8.53962972990215,5.09943913951844e-09,2.81489040501418e-07,1.59961354060684e-07,"2064/596/2932/6198/207/2885/673/3082/4233/5594/5295/7422/3479/5579/572",15
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","18/200","115/5972",0.156521739130435,4.67373913043478,7.40448733296515,3.56268117712101e-08,1.63883334147567e-06,9.31297360335142e-07,"2064/596/2932/1027/6198/207/2885/673/3082/4233/5594/5295/54361/5925/4292/324/1017/4088",18
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","14/200","73/5972",0.191780821917808,5.72657534246575,7.56300154656253,9.18493361464392e-08,3.62148811091674e-06,2.05797760689014e-06,"675/2064/6198/207/1029/673/4790/5594/1021/5295/7422/5925/572/4088",14
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","15/200","87/5972",0.172413793103448,5.14827586206897,7.25486598498238,1.38996901955906e-07,4.79539311747877e-06,2.72507084097764e-06,"596/1027/207/5054/4790/1729/5594/1536/3383/5295/7422/2335/5579/3576/4088",15
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","12/200","55/5972",0.218181818181818,6.51490909090909,7.64793679512181,1.77153740644316e-07,4.85452958390993e-06,2.7586762318939e-06,"4286/207/1029/673/3082/4233/5594/1021/5295/3479/5925/572",12
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","27/200","267/5972",0.101123595505618,3.01955056179775,6.28431447027165,1.89784743104866e-07,4.85452958390993e-06,2.7586762318939e-06,"2932/7248/7249/1027/6198/207/841/2885/4790/5594/526/6696/1021/5295/7422/54361/245972/5566/2335/5925/7057/324/1017/3676/572/5743/355",27
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","13/200","66/5972",0.196969696969697,5.88151515151515,7.42258637872949,1.93477628344236e-07,4.85452958390993e-06,2.7586762318939e-06,"2064/207/1029/2885/673/3082/4233/5594/1021/5295/5925/5579/572",13
