regulatory.gene,target.gene,weight.x,weight.y,weight.x.x,weight.y.y,weight.x.x.x,weight.y.y.y,weight.x.x.x.x,weight.y.y.y.y,weight.x.x.x.x.x,weight.y.y.y.y.y
NAB2,BHLHE40,0.126154995798192,0.11423783479008,0.140225707699186,0.119900570948514,0.125236966154747,0.122403666711719,0.12765618012135,0.113112972187163,0.124445727265633,0.127189033244645
HOXB13,KLF1,0.120713707677782,0.104586345618385,0.113097312035998,0.107540657637085,0.0995067364542906,0.116766705874502,0.105243370814202,0.104748999093196,0.114294905267961,0.122455477919478
DOT1L,STOX1,0.0994168590208462,0.0839678069827654,0.10013071526271,0.0932011305606059,0.104383942834372,0.0977190398777265,0.0769111696168103,0.0963448889782925,0.0857759797736471,0.10476390232626
KLF3,ETV2,0.0954388566463343,0.0879379259064394,0.0970494291030985,0.0905797997617337,0.0885410027242359,0.0771135582586099,0.0908180356807143,0.089785189850235,0.0874560683294917,0.0808283629273587
E2F5,HOXB13,0.0904828874045388,0.0773583226180452,0.0921354132487884,0.0869633850357214,0.0959781394909486,0.104393383508036,0.0873355924807828,0.0907389175410453,0.0778309907670196,0.0911159760575333
TFDP1,DOT1L,0.0884730338151881,0.0884364864509627,0.0702649511180618,0.0794769829768061,0.087716386130488,0.0809587667148258,0.0816859414265081,0.0850532990557448,0.0617874608207676,0.0921526663150546
NFE2L3,FGF2,0.0882805036938068,0.0930543662356095,0.0825083914824362,0.0886119822246561,0.0952587306333535,0.0886244599809816,0.100039085631844,0.0943418585022367,0.0873921693870179,0.0952916821210355
ARID3A,SRSF2,0.0878261200769823,0.0730432889405835,0.0707277097970541,0.0756644646800992,0.0759127614275291,0.058134152582911,0.0833298998106561,0.0820089309155576,0.0882871632202658,0.0794356293861648
ZNF804A,NUPR1,0.0844245978001486,0.0884189021779008,0.0823571090129186,0.0729054651766149,0.0825037462501337,0.0998878905841133,0.0772717735232171,0.0743543194246742,0.089052672702939,0.0808739451669165
SIN3A,ZNF354C,0.0838248273191673,0.0893492702378604,0.0854713846665791,0.0734508747464173,0.0710109542092329,0.0664114179787617,0.0674485090872686,0.065435622983268,0.0718728537122836,0.0655312040594899
RUNX3,HTATIP2,0.0824348734294522,0.0938838063808116,0.0982016520588072,0.0799528216216966,0.0884622395363059,0.108940684610725,0.0981086699011421,0.0911709390629905,0.0861599428532065,0.0955960548348573
MITF,SOX5,0.081058093316862,0.0735976226253018,0.080698673271007,0.0765111215637783,0.0787480600289585,0.0979519414070593,0.0887912342060547,0.0920515785551064,0.0868608349278108,0.0780682537520601
PITX3,HEY2,0.0793537228224238,0.074036807069234,0.0911545167060437,0.0777925331654097,0.0880956824227966,0.0727875082441099,0.0848050914366046,0.0743941113000438,0.0705325083830193,0.0759764452110868
EWSR1,KLF1,0.0756855438255868,0.0832587315849667,0.0705204958133203,0.075590047294138,0.0740172236364519,0.0678426889306396,0.0728919786711575,0.0796251401680746,0.0733505550497139,0.0547938676434346
ELF1,SRSF2,0.0752678528883642,0.0733585217727172,0.0743717024220797,0.0754355798101147,0.0747865810502746,0.0803782880673507,0.0803981980600411,0.0820054075507431,0.0717182214847056,0.0731136300673718
ING4,NUPR1,0.0751782588712557,0.0613672002564367,0.0570321075093636,0.0619501579728152,0.063859290538876,0.0705794803758495,0.0595504980093284,0.0618681283952948,0.0666554749117295,0.0637810258566599
EBF1,PAX5,0.0735025073654884,0.0563427530609828,0.0712126710095091,0.078707376468196,0.0660395276286911,0.0645309155708033,0.0746033080756124,0.0741573025369323,0.0660338824679941,0.0674162427597129
E2F5,AHRR,0.07271652820806,0.0743824537872591,0.0766852711768437,0.0648606613757176,0.0733822743593551,0.0813627525313938,0.0846078433594017,0.0828013122431352,0.0807989351930779,0.0728012007650307
E2F1,E2F3,0.0701608480714822,0.0708041518309679,0.0792655815021748,0.0674433872736329,0.0643551485236354,0.0676291984264917,0.0607562622322625,0.0804959263507152,0.0637003791778787,0.0688822288662612
HIC1,RELB,0.0700823667297895,0.0722918795993855,0.0710266418763361,0.068739498643174,0.0703912991299023,0.0702256010224233,0.0804994811915529,0.0706754570650264,0.0682850890967246,0.0711070484042168
HIC1,NFIA,0.0696544050791045,0.0689460393670481,0.0745736262713628,0.0586872530718082,0.0565417213931702,0.0542577684580524,0.0586101249514686,0.0710619576574672,0.0741127175354546,0.0554907180634006
E2F5,HOPX,0.0691541881510841,0.0558840234783167,0.0670598882951041,0.0746219430774604,0.0659307404449299,0.0675015836065124,0.0693169163690244,0.0573941019382703,0.0695121971690705,0.0663160902161917
SIN3A,PAX5,0.0684669657500256,0.0601531712531446,0.0770224981922927,0.0655461785686048,0.0594151359239201,0.0618998793416038,0.0651173181520579,0.0637317315637096,0.0649364328707444,0.0658275359641055
TEAD4,HDAC3,0.0676649165421829,0.0581575605063448,0.0535166508109745,0.0537864511493801,0.0712261965366746,0.0581782306503296,0.0583227004454747,0.0577363227129502,0.0635318069791882,0.0596965985748595
DOT1L,HOPX,0.0671890870788874,0.0623178333265528,0.0629198317157589,0.0676715248664085,0.0624500099559606,0.068347860226549,0.0658842709749104,0.062103611503317,0.066531535630482,0.0618154599655643
MAFA,NFKB2,0.0657932395967364,0.0569603822524451,0.0591855773826833,0.0622526226980483,0.0636615687949107,0.0672257932743662,0.0670249173823786,0.0691109314803244,0.0663396600090878,0.0587676885460543
SIN3A,KLF9,0.0638976700455268,0.0537541088923499,0.0559773680808157,0.0598271829183814,0.0495454645466806,0.0621190753407964,0.0442854948695919,0.054911133875655,0.0551669175893281,0.0589192122122991
NAB2,IRF4,0.0637655208471371,0.0422654388090335,0.0563288717030138,0.0459014408901955,0.0510642502903258,0.0498167460912754,0.046273291020137,0.0584620573326151,0.0608948870634442,0.0404515153003566
ING4,FGF2,0.063485017460308,0.0585701388613723,0.0603980369620974,0.0556471957282265,0.0591960055081969,0.0565678646604645,0.0700162037124399,0.0532859528918091,0.0668033257864873,0.0568009722866147
NAB2,BHLHE41,0.0627418560875707,0.0690810819020218,0.0539521559606265,0.064666979755342,0.0739560519506642,0.0795406083544088,0.0663063541292641,0.0701299249555023,0.057228515424208,0.0610141341113104
NEUROG1,MAX,0.0612580682325019,0.0748425796703833,0.0591578513816439,0.0544510997197638,0.0584677456195768,0.0611532656273693,0.0614712498086955,0.057729052235431,0.0551648352042085,0.0587584084913243
E2F1,E2F2,0.0608406992963389,0.0577821552318031,0.0693959579578911,0.0545764947505431,0.0661627940653794,0.0554000943945717,0.0620728584815333,0.067148634906874,0.0655383503365562,0.062591574304725
NFIA,ARID4A,0.0603442497733027,0.0447764238443376,0.0446329638302875,0.0487694536207821,0.0400844847197458,0.0404703901620628,0.0523600086884399,0.0439864789937945,0.0481073585187537,0.0405592089058621
HIC1,NFKB2,0.0600664606168543,0.0548218106171972,0.0602952511844564,0.0670222510003695,0.0643631130597996,0.0535533904971369,0.0576498472332306,0.0560842967715718,0.0584663865542468,0.0677091732426581
E2F5,HDAC3,0.0596491481300467,0.0606028687138554,0.0558183759069238,0.0466065118323164,0.0485819781746139,0.050265523277395,0.0558077934357501,0.0496352260775347,0.051202730038752,0.051472158365731
