	D1_p1_rep1_auto	D4_p1_rep1_auto	D8_p1_rep1_auto	D11_p1_rep1_auto	D14_p1_rep1_auto	D1_p1_rep2_auto	D4_p1_rep2_auto	D8_p1_rep2_auto	D11_p1_rep2_auto	D14_p1_rep2_auto	D1_p2_rep1_auto	D4_p2_rep1_auto	D8_p2_rep1_auto	D11_p2_rep1_auto	D14_p2_rep1_auto	D1_p2_rep2_auto	D4_p2_rep2_auto	D8_p2_rep2_auto	D11_p2_rep2_auto	D14_p2_rep2_auto	D1_p3_rep1_auto	D4_p3_rep1_auto	D8_p3_rep1_auto	D11_p3_rep1_auto	D14_p3_rep1_auto	D1_p3_rep2_auto	D4_p3_rep2_auto	D8_p3_rep2_auto	D11_p3_rep2_auto	D14_p3_rep2_auto	D1_p1_rep1_B	D4_p1_rep1_B	D8_p1_rep1_B	D11_p1_rep1_B	D14_p1_rep1_B	D1_p1_rep2_B	D4_p1_rep2_B	D8_p1_rep2_B	D11_p1_rep2_B	D14_p1_rep2_B	D1_p2_rep1_B	D4_p2_rep1_B	D8_p2_rep1_B	D11_p2_rep1_B	D14_p2_rep1_B	D1_p2_rep2_B	D4_p2_rep2_B	D8_p2_rep2_B	D11_p2_rep2_B	D14_p2_rep2_B	D1_p3_rep1_B	D4_p3_rep1_B	D8_p3_rep1_B	D11_p3_rep1_B	D14_p3_rep1_B	D1_p3_rep2_B	D4_p3_rep2_B	D8_p3_rep2_B	D11_p3_rep2_B	D14_p3_rep2_B
DPM1	605.580849473405	685.485054810915	590.859912973445	593.868302181525	550.844418490497	659.156272814438	655.933998998993	648.112200116472	580.312010949748	617.176527746315	612.968085347294	662.006238521786	670.914787973895	606.404412070714	587.831911953485	593.405756037851	684.362338233383	677.951770982472	613.345184896116	653.858439703906	577.891546807958	708.19193018645	637.178495080953	712.364521916593	657.725972474987	673.924724990781	611.150001911281	718.673004857107	672.470174627613	826.586089795623	693.259213553342	759.461474440326	775.567792022254	695.324756107239	783.947017437633	700.435028910613	700.412960296567	704.850315278791	666.161921503942	777.185654489423	662.008224065964	726.128794287924	711.855857592057	740.145120747533	744.7158272824	674.371053454233	685.170426936556	747.871882842605	772.858910549311	851.370127791482	743.084402683877	694.939211769928	702.486252656196	727.425579639062	771.930183770059	722.552352283534	736.976737574093	750.606028019539	721.240546719576	794.59733240125
SCYL3	452.839901884002	410.924136336249	358.366162755824	426.738385995354	371.6260231788	429.919994768823	436.476527214944	392.028842997281	364.828506883849	402.038740296619	524.586640483266	572.81754225035	404.059375121239	464.831397579497	510.67897350959	512.716021505792	527.877047478798	443.53013588626	474.136502481492	501.291470439661	415.791150659311	390.874048424164	468.30029231966	405.048729687331	443.805389194287	425.63666841523	392.036144636888	406.752924847584	439.415625558196	546.971703534824	561.121215802235	473.34631918159	429.252116104802	511.469546334861	452.974008534842	519.648296416175	505.243607065557	429.466936286147	469.423547292137	470.372159538591	591.259253555098	626.857730245489	580.530725243177	634.593990484407	541.812554370269	622.968481689234	575.325644205458	594.485537939206	600.989281947957	560.569160404059	558.28592557663	420.527317891546	472.984110411966	497.92564760132	541.322110002274	527.886900796687	426.543429077347	488.142463255091	575.254508347421	531.711859812425
C1orf112	160.815358915715	182.22528664911	131.055394230952	84.6791575343262	96.9796511426932	157.446981006419	202.388557311957	155.968464418273	76.8060014492314	86.0551149798784	92.1827973312985	74.1145504227427	142.238970058256	79.0449330909297	102.87058459186	74.8061080557631	89.7182333659618	116.660532019711	93.7246574672716	83.5485784066102	102.493972452732	141.980507742694	85.993195271088	92.3033298215098	91.5282097618914	110.70852739083	127.915116679105	119.969261542124	101.640530210891	100.354752329218	165.637771828852	205.873227863226	175.959744721812	102.68509056436	89.3868710175422	171.701972067582	217.136466581686	158.454722039418	117.898363957809	98.1351987526557	95.0057604003063	121.579168321634	98.1870148402837	142.880188526915	134.347398685689	102.03794096634	115.282643262341	121.619942112754	146.366393389539	92.3613135412886	104.070721318292	175.813680926409	131.643360779685	85.9611052862213	111.66285677177	122.524725347604	192.710547352525	123.278341025726	81.6826643272773	89.1137195216355
FGR	4481.2982861032	5017.92181960604	4455.14297789626	3709.16993989174	4606.14551067336	4695.67265633652	5048.3346564842	4821.32246428107	3671.75356928131	4995.23050234763	4574.9276943595	8298.31728970573	6427.18744351728	6904.04400668837	7786.32353375054	4836.34096351529	8822.64069274347	6245.7407472817	7930.75998627472	7318.37112883408	2275.22080692945	2571.04461611168	2533.1730414194	2830.99742170207	3494.03619358476	2000.27737353723	2552.38033743956	2578.76784095786	2749.42767580572	2205.50635080778	5104.99334973642	4454.64275722949	2995.79871109174	2756.8501933422	3604.46517724792	5175.58801517998	4565.78002104059	2765.85449297771	3050.89140597571	3426.83602081113	4872.58266904124	8815.04740592545	6615.35012486411	2745.61659574694	4298.01101803517	4935.4140920035	7085.53227220899	6444.04170895934	4699.24829685506	2370.30222474277	2007.49503552293	2049.17972701389	2417.34489927298	2822.11930562312	3562.28787636026	2238.65269209875	1977.90365127927	2396.96838881471	2978.81035440326	3127.89155520941
FUCA2	222.719179084108	261.719539214159	322.085290906577	396.655001081844	394.901139453047	231.683640444679	296.673989633993	363.575136650704	358.42800676308	404.727962639741	438.105871852872	329.118851029807	373.849328383203	482.528024390899	394.337240935463	379.073648687069	362.002639278939	360.98730662703	452.083641900957	433.483928544441	596.064236959152	638.912284842123	638.214557674581	651.552916387128	681.14016566989	581.488478819797	669.185564108283	669.542735844618	682.736894850935	605.192781222004	243.803911343591	314.483513428865	411.319912821051	494.844341195869	414.320226473202	266.183480506887	269.519583033299	520.168604763883	494.015844068613	379.004905527498	464.921806214265	385.930204030141	414.840137700199	350.120822336224	320.664572994649	454.183917684762	336.059780830787	417.501293819901	341.521584575592	333.780984579904	628.31482216464	688.999560387279	705.981209137073	756.619917283439	634.779066213429	622.929444757912	653.925748547691	773.472171919472	700.385398380696	690.631326292675
GCLC	2044.171800778	1996.52872788371	2364.18007784989	2420.04118637574	2645.60488317267	1988.88984297228	2039.32887668956	2434.37265409602	2448.19129619425	2498.28755675959	1465.4213761326	1447.11800147457	2081.97572102969	1839.26941326507	1764.72038567703	1432.24278794405	1313.43320706681	1831.35023849811	1855.19689633746	1744.8333548395	1822.3573683617	2069.8363176947	2186.09207255416	2354.27787121216	2031.71340041222	2040.04645619219	1985.05310698315	2153.73388578004	2250.46507295226	2436.85852793316	2245.41541248888	2430.76303292053	2545.25210358748	3105.00154801756	2612.75408122897	2233.94258896394	2481.43891965141	2893.71106179572	3054.50792020754	2651.90634790223	1801.06664929091	1471.21947721317	2014.06114191132	2880.77353083996	2026.82124930756	1815.20126561173	1730.32722104137	1940.47340475423	2350.73298474109	2317.26305459035	2470.46385185477	2432.88120633301	2408.02501532398	2608.83845005447	2473.57502283551	2411.56141665471	2535.8772862916	2435.74141542764	2656.42451966475	2636.28086918172
NFYA	1068.5137655153	1067.05746712315	924.051593221628	895.816350757872	949.624743989252	1041.7605945347	1045.26781005292	879.957214792283	962.208518155649	896.85565143092	1070.08071953652	1472.24157788906	1222.24814094306	978.03357511016	941.755708942146	1106.12177754364	1450.09702765915	1114.87848052799	919.328625451032	974.733414743785	1135.42968064658	1174.33275379951	1117.91153852414	1193.42775851576	1124.94555486418	1209.19508072509	1125.17926708472	1021.45256970152	1232.00642679868	1208.85342882066	1213.43626103833	1116.09226286481	1019.89406176337	1083.57219376487	1375.83305525649	1250.06303473541	1175.24056426119	1124.48213088663	1050.95903577115	1487.81985235348	1290.66336203395	1708.80078778664	1753.86555258457	1355.43097764722	1227.92416658813	1403.21348892809	1930.44048859109	1622.80937684779	1230.8083080484	1008.65870134694	1527.99161860782	1470.65768234388	1201.10004392792	1424.03491398684	1219.79533756118	1407.3167051608	1361.06863569482	1294.42258077012	1299.97091312348	1286.20801842894
STPG1	88.1456569789067	58.7034480480356	54.0510947958164	71.3087642394326	72.9286976593053	91.3681962317043	77.2165178499435	49.5305258625596	76.8060014492314	68.5751697495906	107.388207200379	174.608856080699	95.6651480037825	104.999985747653	106.544534041569	116.832011457877	158.571761297979	128.766813644398	92.3463536809882	111.398104542147	126.481923452308	118.031988364408	116.039010486287	114.021760367747	172.413604435191	174.124091624412	120.808721308044	127.967212311599	105.74721830022	120.272489432727	92.1243787137998	89.968221625268	62.7627114931304	94.8614646165994	142.535821352297	95.3899844819901	87.8684534027056	85.2377125453422	86.0730387176646	121.823005348124	124.31604818338	187.388075945271	104.323703267801	64.3604452823942	86.8005826899308	128.890030694324	181.6245417435	118.897107587841	85.380396143898	86.8745028358655	162.428135141633	150.867145119284	103.683708932672	150.02645733916	160.211924933409	174.053815447064	149.97557241661	162.051367638655	112.965386835596	161.889923797638
NIPAL3	937.304581462725	678.758618055411	924.792019177735	954.868921143652	1148.23906952949	819.866403686275	654.308388096889	805.134505510544	902.470517028469	997.701489297965	995.004008307934	964.74533431638	878.608859297897	1028.76390530285	974.82125398953	973.319922792963	871.101451867187	895.864840226838	906.923891374481	885.130591525102	909.361415165731	834.77696118596	1063.00022106188	1040.31282316478	1020.64596699598	961.98186422129	954.625778179249	1021.45256970152	1043.09877468955	1089.34700619961	971.493448254617	809.713994627412	912.300842060859	1045.43201726953	1035.19660083829	965.710033374814	826.301417575443	1015.20301223876	1088.57078378223	1049.03143494218	1193.63620247619	1087.52008361095	974.506122289816	722.124196068463	692.74605165913	1150.80384548504	1109.32354837347	942.100745619689	864.892324574551	523.990422367905	1156.44941726588	1193.86992791244	1174.30537757454	1314.55614782042	1154.25409554297	1093.56180099964	1088.53238044313	1252.6670136485	1254.78475838924	1162.93403975734
LAS1L	964.219285883765	1213.20459299274	986.987799490729	1051.80427253163	1035.74267420396	995.260708952493	1220.02098202911	968.479856759411	1033.68076950424	1144.26410699807	988.351641490211	958.464440212757	1333.01831231586	950.898747332676	830.312575634298	934.656091663018	914.91733327847	1310.78012863656	984.108903406352	843.961726803004	836.670654560956	750.95714336196	778.083007814302	696.075699006915	744.997056201442	860.946897476261	778.150293131224	845.497652773067	668.363486538284	565.357307014986	1131.54792440384	1362.49171668537	1193.61228107471	1099.21944566039	1194.64345184256	1177.38495132056	1376.32414031738	1310.25663258802	1147.88161718432	1183.26233898317	1163.31521511439	1066.32738454571	1150.01541131682	876.589264746209	848.655378528942	1100.93567884735	969.026746667415	1069.16635678227	908.136940803279	801.07436299177	878.279078041284	1079.82862136558	811.994889056996	786.625208751271	775.571363882182	864.543622779823	861.956381254601	782.419793445533	736.012943459615	715.880213490472
