,V1,V2,V3
1,BTG2,FEV,1
2,BTG2,MYBL2,-0.550957734530441
3,BTG2,NFE2L2,-1
4,BTG2,NR5A1,-1
5,BTG2,PLAGL2,-1
6,BTG2,SFPQ,-1
7,BTG2,SOX11,1
8,BTG2,SRF,-1
9,BTG2,TCF12,-1
10,FEV,MYBL2,-0.550957734530441
11,FEV,NFE2L2,-1
12,FEV,NR5A1,-1
13,FEV,PLAGL2,-1
14,FEV,SFPQ,-1
15,FEV,SOX11,1
16,FEV,SRF,-1
17,FEV,TCF12,-1
18,MYBL2,NFE2L2,0.550957734530441
19,MYBL2,NR5A1,0.550957734530441
20,MYBL2,PLAGL2,0.550957734530441
21,MYBL2,SFPQ,0.550957734530441
22,MYBL2,SOX11,-0.550957734530441
23,MYBL2,SRF,0.550957734530441
24,MYBL2,TCF12,0.550957734530441
25,MYBL2,AHR,0.663987148221429
26,MYBL2,ATF2,0.663987148221429
27,MYBL2,ATF3,0.502514846002041
28,MYBL2,CEBPA,0.663987148221429
29,MYBL2,CEBPD,0.663987148221429
30,MYBL2,CREB3,0.663987148221429
31,MYBL2,ELF4,-0.663987148221429
32,MYBL2,GFI1B,0.663987148221429
33,MYBL2,HLX,-0.663987148221429
34,MYBL2,HOXA1,0.663987148221429
35,MYBL2,MEF2A,-0.663987148221429
36,MYBL2,MNT,0.508622644344304
37,MYBL2,MYBL1,0.521456728375502
38,MYBL2,POU2AF1,0.512739948175553
39,MYBL2,POU2F2,0.663987148221429
40,MYBL2,POU4F1,0.663987148221429
41,MYBL2,TOX3,0.540028361036425
42,MYBL2,VDR,-0.663987148221429
43,MYBL2,CREB5,0.538895733055197
44,MYBL2,HOPX,0.538895733055197
45,MYBL2,HOXB7,0.538895733055197
46,MYBL2,NR4A1,-0.538895733055197
47,MYBL2,SMARCA1,0.538895733055197
48,NFE2L2,NR5A1,1
49,NFE2L2,PLAGL2,1
50,NFE2L2,SFPQ,1
51,NFE2L2,SOX11,-1
52,NFE2L2,SRF,1
53,NFE2L2,TCF12,1
54,NR5A1,PLAGL2,1
55,NR5A1,SFPQ,1
56,NR5A1,SOX11,-1
57,NR5A1,SRF,1
58,NR5A1,TCF12,1
59,PLAGL2,SFPQ,1
60,PLAGL2,SOX11,-1
61,PLAGL2,SRF,1
62,PLAGL2,TCF12,1
63,SFPQ,SOX11,-1
