regulatory.gene,target.gene,weight.x,weight.y,weight.x.x,weight.y.y,weight.x.x.x,weight.y.y.y,weight.x.x.x.x,weight.y.y.y.y,weight.x.x.x.x.x,weight.y.y.y.y.y
CREB1,POU2F1,0.10923146908548,0.113519799746149,0.101628608899249,0.108491143209049,0.120800705255756,0.109754521330245,0.104400995544647,0.108499137205906,0.0975483627364912,0.103630129718627
TOX3,ASCL2,0.107499207566787,0.119103236110872,0.0955167283481106,0.0928055844038704,0.0950013435936454,0.104996152469371,0.0974523128364085,0.0956499926493865,0.100178932732207,0.110979130458993
BTG2,CEBPD,0.105467195137817,0.0974207531230009,0.0977514275306527,0.101839712728038,0.0948872781086307,0.104566232837589,0.102146354886194,0.0917940090648146,0.0984654985041049,0.0957667548261878
ATF2,AHR,0.0967187066939304,0.0834466141657207,0.0929687185677194,0.0956170252747349,0.0976522671957487,0.0892079390465336,0.0961026860488548,0.088897300257662,0.0983732579196346,0.0912089391797729
HDGF,FOXM1,0.0925623234477901,0.08199826778065,0.0837432741378387,0.0811007005437085,0.0682118174806546,0.071121130286113,0.069667437845079,0.0696359585587974,0.0806802449878994,0.0866316887613775
JDP2,HOXD1,0.0898882042501959,0.08900181258459,0.0791041204229633,0.084739810344027,0.0821951643382647,0.0971153706483631,0.083488209776563,0.0941151535654144,0.0858714040273989,0.0824784587159155
NKX2-1,E2F7,0.0892606559029814,0.0909398717027842,0.0694889613684033,0.0821526916629818,0.0931338745286781,0.0869352774241622,0.0932064740610488,0.0977859138172401,0.089725265383136,0.0792264730895216
CREB1,POU4F1,0.08458867212132,0.0842457953296241,0.0567370106436941,0.0699794426042151,0.0666633817687405,0.0744410923441878,0.0598813029727653,0.0591317620002355,0.0695906574651972,0.0596191925949075
TFDP3,CREBZF,0.0842317967203261,0.100211093413097,0.0799210663178879,0.095415188389595,0.0945679119300302,0.0850835621038168,0.0873852219511409,0.101681108070233,0.0902408993495339,0.0990223785508769
NFIL3,IRF4,0.0817640786213212,0.0776747505466526,0.0827693007242726,0.0773534677064875,0.0986894126643581,0.088232263034123,0.0897251086103043,0.0794827318913753,0.082378036167441,0.0939981927064291
HDGF,HCFC1,0.0809219359108789,0.069750822527509,0.0630732836844876,0.064874058421726,0.0645986879299633,0.0748708679549971,0.0723648917106541,0.0580504837740271,0.0714015708251666,0.0523501891390455
CREBZF,BHLHE41,0.0805459782373715,0.0774302632056658,0.0727116320571055,0.0752165396516367,0.0834235650723447,0.0603968002291554,0.0701763563800125,0.0674373792096437,0.072590417593923,0.0740219986580978
NFE2L2,BHLHE40,0.0768319294663941,0.101415079229731,0.084999326722779,0.0951403071827554,0.0965446861526565,0.0934635315947919,0.0860356027838396,0.0866277180740426,0.0888767108728439,0.0850283877754864
BTG2,ATF3,0.0746878859489413,0.0751808677173436,0.0725719520063,0.0739794162143692,0.0690823249435757,0.0820817647663643,0.0761111526853276,0.0814704570067143,0.0736389143831996,0.0748145959446563
PTF1A,ZNF384,0.0725708370367574,0.0668373602604139,0.0788182152024755,0.0726178841457171,0.0782882932113804,0.066336720529358,0.0685875687205481,0.0696021583768998,0.0797558987222827,0.0700796174083632
ATF2,NFE2,0.0725654702650953,0.0696547051355556,0.0616142552313837,0.0628817720617311,0.0544737042897465,0.061057129283956,0.0726679606750107,0.0660526558578497,0.0587137782201598,0.0658685162070995
CEBPD,SPDEF,0.0724625727914479,0.0757858086865039,0.0828385046713517,0.0782228639003121,0.0634181839986676,0.0798083675509209,0.0759988627363131,0.0699358851830917,0.0693972176997743,0.0753443095534762
E2F3,GTF3A,0.0721355950712088,0.0930030125654251,0.0884159908449234,0.0920777579455717,0.0941155631429534,0.0816273100760676,0.0733796008839011,0.0899491486429833,0.0789344306388737,0.0742262981136523
FOXO1,RARA,0.0716292767798079,0.0578235868481719,0.064020978745436,0.0577844514448175,0.058145126005053,0.0567331293422851,0.0664928701634629,0.0611943547663971,0.0615299800923457,0.0612365289145961
HOXD1,GTF3A,0.0711279324060604,0.0557006675192643,0.0497044236659487,0.0613209758233105,0.0552387573168758,0.0637878631985742,0.0641439587743448,0.0546995449371451,0.060203072761819,0.0715338073008138
ENO1,ZBTB4,0.0705079179316069,0.0721561235797292,0.0583631375088804,0.0556545684605546,0.0634517253780621,0.0663562648735943,0.0554217812951851,0.0561113573670801,0.062376322335044,0.0685988709979121
RBPJ,NFE2L2,0.0691837325052698,0.0585253532583151,0.0602436901755493,0.0753852165812339,0.0622086009876903,0.0565324646793791,0.0502434815360811,0.0668200971988161,0.0608096773981995,0.0588944446736699
BHLHE41,GTF3A,0.0683303112252142,0.056292507861528,0.0638122522079828,0.064689253337113,0.0556870986839691,0.063501553105273,0.0687002519485782,0.0762756740549063,0.0639324089848557,0.0699786504672818
HDGF,POU2AF1,0.0682886027864434,0.0527507976351114,0.0556941889724546,0.0541809661033931,0.0591980160545469,0.057959383432507,0.066382092694888,0.0652645924079072,0.0542401442072321,0.0589426291583314
ATF3,BHLHE41,0.0680095855606751,0.0734897231495133,0.0828094611967145,0.0821641257740002,0.0758129519126243,0.0678970887315183,0.0649459242382428,0.0647594955843442,0.0623103852660089,0.0756833550371058
ZFPM2,TWIST2,0.067724913018386,0.0568543902941135,0.0597906145148557,0.0552096958800483,0.0670307643811788,0.0627656261448305,0.0632724232661898,0.0638281347648681,0.0478892939025648,0.0556616773302648
HDGF,SPDEF,0.0672323393778222,0.0790135587112422,0.064127472992737,0.0670187160929806,0.070405285513342,0.0733539805405463,0.0630278381334105,0.0676363420408542,0.0663831766002763,0.0622598936992181
SIRT1,TFDP1,0.0668318409861199,0.068227149682926,0.0656102225207083,0.0628463868562847,0.0746792679532209,0.0687296386262705,0.0563912385509532,0.0613391020248512,0.0659816577140675,0.0593951415373406
ATF3,MYBL2,0.0664396438485735,0.0574825858495475,0.0570075309665957,0.0694588830667284,0.0609749201617733,0.0600370016615505,0.0668284533374906,0.0589197291601971,0.0658886650210827,0.0565474387671484
ARNT,TWIST2,0.0659888248061769,0.0649169937343537,0.0748049168205309,0.0632146793052473,0.0483179856240338,0.0593007341564158,0.061195320517907,0.0616392326787049,0.0745626571632127,0.0668639438710452
HDGF,KLF1,0.0659300746521832,0.0728546052310882,0.0619956985884918,0.0653034460161933,0.0684626388188902,0.0538304685194947,0.0777336088985168,0.0610059016663333,0.0707629673553228,0.0699272059629477
BHLHE41,TFDP3,0.0656511508727036,0.0635346303739164,0.0583317865101526,0.0511542733289717,0.0455884813407827,0.0525820559520513,0.05671437160853,0.0682889088242747,0.0495160856192428,0.0597285511438199
NAB2,PTF1A,0.0654559897301939,0.0546717691181857,0.0623661932306658,0.0518674331945599,0.0497964944936611,0.0622826763567612,0.0751827395024281,0.0600559954086544,0.0563843620749008,0.0590188866235454
MYBL1,TCF12,0.0652972160880989,0.0678808836247144,0.0608743590830928,0.0695618780245717,0.0679381045182011,0.0655928605503291,0.0596762327113689,0.0579059612019307,0.065183984490721,0.0709205046530354
ETV2,TP53,0.0648474934312443,0.0503748838389597,0.0595539692530339,0.0621592843431973,0.0550027147839937,0.0539548145835116,0.0607889221747617,0.0486242224284065,0.0542301298038518,0.0526850640615562
