,V1,V2,V3
89,SRSF2,DOT1L,-0.524886901383006
90,SRSF2,HDAC1,0.524886901383006
91,SRSF2,NEUROG1,-0.524886901383006
92,SRSF2,SP1,-0.524886901383006
93,SRSF2,STAT1,-0.524886901383006
94,TCF12,TCF12,1
95,AHR,AHR,1
96,AHR,ATF2,1
97,AHR,ATF3,0.704210814863265
98,AHR,CEBPA,1
99,AHR,CEBPD,1
100,AHR,CREB3,1
101,AHR,ELF4,-1
102,AHR,GFI1B,1
103,AHR,HLX,-1
104,AHR,HOXA1,1
105,AHR,HOXB13,-0.644650751961341
106,AHR,IRF4,0.678518043315209
107,AHR,MAFA,0.710120786203973
108,AHR,MEF2A,-1
109,AHR,MNT,0.714150275618142
110,AHR,MYBL1,0.735112581056322
111,AHR,POU2AF1,0.720863514889739
112,AHR,POU2F2,1
113,AHR,POU4F1,1
114,AHR,SPDEF,0.646342732491934
115,AHR,TOX3,0.765652698619441
116,AHR,VDR,-1
117,ATF2,ATF2,1
118,ATF2,ATF3,0.704210814863265
119,ATF2,CEBPA,1
120,ATF2,CEBPD,1
121,ATF2,CREB3,1
122,ATF2,ELF4,-1
123,ATF2,GFI1B,1
124,ATF2,HLX,-1
125,ATF2,HOXA1,1
126,ATF2,HOXB13,-0.644650751961341
127,ATF2,IRF4,0.678518043315209
128,ATF2,MAFA,0.710120786203973
129,ATF2,MEF2A,-1
130,ATF2,MNT,0.714150275618142
131,ATF2,MYBL1,0.735112581056322
132,ATF2,POU2AF1,0.720863514889739
133,ATF2,POU2F2,1
134,ATF2,POU4F1,1
135,ATF2,SPDEF,0.646342732491934
136,ATF2,TOX3,0.765652698619441
137,ATF2,VDR,-1
138,ATF3,ATF3,1
139,ATF3,CEBPA,0.704210814863264
140,ATF3,CEBPD,0.704210814863265
141,ATF3,CREB3,0.704210814863265
142,ATF3,ELF4,-0.704210814863265
143,ATF3,GFI1B,0.704210814863265
144,ATF3,HLX,-0.704210814863265
145,ATF3,HOXA1,0.704210814863265
146,ATF3,MAFA,0.522797025153702
147,ATF3,MEF2A,-0.704210814863265
148,ATF3,POU2F2,0.704210814863265
149,ATF3,POU4F1,0.704210814863265
150,ATF3,TOX3,0.518421608993961
151,ATF3,VDR,-0.704210814863265
152,ATF3,ASCL2,0.678701687421901
153,ATF3,ATF5,0.678701687421901
154,ATF3,E2F7,0.678701687421901
155,ATF3,GATA1,-0.678701687421901
156,ATF3,NFKB,0.678701687421901
157,ATF3,ZBTB33,-0.678701687421901
158,ATF3,ZNF384,0.678701687421901
159,CEBPA,CEBPA,1
160,CEBPA,CEBPD,1
161,CEBPA,CREB3,1
162,CEBPA,ELF4,-1
163,CEBPA,GFI1B,1
164,CEBPA,HLX,-1
165,CEBPA,HOXA1,1
166,CEBPA,HOXB13,-0.644650751961341
167,CEBPA,IRF4,0.678518043315209
168,CEBPA,MAFA,0.710120786203973
169,CEBPA,MEF2A,-1
170,CEBPA,MNT,0.714150275618142
171,CEBPA,MYBL1,0.735112581056322
