"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","36/151","386/5665",0.0932642487046632,3.49895343650276,8.41574756969345,1.20049243666576e-11,3.24132957899756e-09,2.42625839831396e-09,"2099/3845/5915/1029/5925/1906/2260/5914/6688/5371/7422/842/1387/207/4843/7704/1030/1612/4609/1026/6772/23604/3912/7471/4088/8900/2113/5578/7040/2247/2353/4313/7042/3459/2253/596",36
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","19/151","137/5665",0.138686131386861,5.20302605501039,8.2405284623265,2.37507848086443e-09,3.20635594916698e-07,2.40007930697879e-07,"3845/6554/5925/842/1387/207/3654/4609/5111/1026/6772/4088/8900/5578/7040/2353/4772/7042/596",19
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","13/151","81/5665",0.160493827160494,6.0211757010874,7.53168136027365,1.60936049010727e-07,1.1536083711745e-05,8.63519716434717e-06,"3845/1906/7422/207/6772/3383/4088/5578/7040/4313/4772/7042/596",13
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","9/151","35/5665",0.257142857142857,9.64711447492904,8.49117415254355,2.09056118570648e-07,1.1536083711745e-05,8.63519716434717e-06,"3845/1029/5925/7422/1612/4609/1026/23604/4313",9
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","20/151","198/5665",0.101010101010101,3.78955114054452,6.61163851602942,2.13631179847131e-07,1.1536083711745e-05,8.63519716434717e-06,"3845/3123/1029/5925/6688/1387/207/1030/11200/4609/1026/3383/4088/8900/2113/7040/2353/4772/7042/3689",20
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","14/151","109/5665",0.128440366972477,4.81864025760982,6.66127851419234,9.04435981990955e-07,4.0699619189593e-05,3.04652120249585e-05,"3845/5915/5925/207/1030/4609/1026/7471/4088/7040/2247/7042/2253/596",14
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","15/151","135/5665",0.111111111111111,4.16850625459897,6.16560364112644,2.37870759371214e-06,9.17501500431826e-05,6.8678474886125e-05,"2099/3845/5925/7422/207/4609/9314/7471/9970/1543/5578/2247/2353/2253/596",15
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","11/151","73/5665",0.150684931506849,5.65317971514107,6.62131714417774,2.87784200175281e-06,9.71271675591574e-05,7.27033768863869e-05,"3845/1029/5925/7422/842/207/1026/6772/4088/7040/7042",11
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","15/151","142/5665",0.105633802816901,3.96301650965395,5.91707994496324,4.50492748560475e-06,0.000135147824568143,0.000101163283887265,"3845/1029/5925/207/1030/11200/4609/23411/1026/4088/8900/2113/7040/4772/7042",15
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","10/151","63/5665",0.158730158730159,5.95500893514139,6.54424996807264,5.11002771017758e-06,0.000137970748174795,0.000103276349510957,"3845/5914/1053/6688/5371/207/7704/4609/8900/4353",10
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","12/151","99/5665",0.121212121212121,4.54746136865342,5.89223943206386,1.04114604704766e-05,0.00025555402972988,0.000191291905294881,"3123/842/207/4843/3654/6772/240/3912/7040/7042/3459/596",12
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","15/151","154/5665",0.0974025974025974,3.65421002838221,5.52582536672073,1.22778516337385e-05,0.000276251661759117,0.00020678486962086,"3845/5925/7422/842/1387/207/4609/1026/6772/3055/3383/2247/2353/4772/3459",15
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","8/151","44/5665",0.181818181818182,6.82119205298013,6.41428405258709,1.66187656591936e-05,0.000345158979075559,0.000258364615916208,"3123/6772/4088/7040/50943/4772/7042/3459",8
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","10/151","77/5665",0.12987012987013,4.87228003784295,5.66109752067028,3.18521831135563e-05,0.0006142921029043,0.000459820989308482,"3845/5328/5925/2260/842/1387/207/1026/5327/596",10
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","9/151","64/5665",0.140625,5.27576572847682,5.6923004873083,4.21343274878371e-05,0.000709020939229469,0.000530729124101591,"3123/4843/3654/6772/7040/2353/7042/3459/3689",9
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","8/151","50/5665",0.16,6.00264900662252,5.87931690706173,4.39609165653026e-05,0.000709020939229469,0.000530729124101591,"3845/1029/5925/2260/207/1026/2247/2253",8
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","10/151","80/5665",0.125,4.68956953642384,5.49953309237521,4.46420591366703e-05,0.000709020939229469,0.000530729124101591,"3845/842/207/4609/1026/4088/7040/2353/7042/596",10
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","10/151","82/5665",0.121951219512195,4.57518979163302,5.3962110753555,5.54144606228942e-05,0.000831216909343413,0.000622197452607935,"5915/5925/842/207/4843/1030/4609/1026/3912/596",10
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","14/151","157/5665",0.089171974522293,3.34542540178006,4.93163810905836,6.52920168129888e-05,0.000922431938231621,0.000690475368968699,"2099/3845/5328/2260/7422/207/4609/1026/7471/5578/7040/2247/4313/7042",14
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","10/151","84/5665",0.119047619047619,4.46625670135604,5.29615966069051,6.83282917208608e-05,0.000922431938231621,0.000690475368968699,"2099/3845/1029/5925/207/5469/1026/2353/4313/596",10
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","13/151","139/5665",0.0935251798561151,3.50874267473438,4.95535522469921,7.35703848514502e-05,0.000945904948090074,0.000708045809096664,"3845/5328/1029/7422/1387/3925/4609/23411/57521/1026/5578/7042/596",13
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","10/151","88/5665",0.113636363636364,4.26324503311258,5.10513715761189,0.000101957854947179,0.00125130094707902,0.000936646322959731,"1906/7422/1387/207/4843/1026/3101/5578/3459/596",10
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","9/151","73/5665",0.123287671232877,4.62532885784269,5.15872018473896,0.000121066330047611,0.00142121343968935,0.00106383228234057,"3845/1029/5925/207/4609/1026/4088/7040/7042",9
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","12/151","130/5665",0.0923076923076923,3.46306673458991,4.70116784998135,0.000159341566413142,0.00179259262214784,0.0013418237171633,"5328/5914/1053/6688/5371/7704/4609/1026/2313/5327/8900/4353",12
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","8/151","60/5665",0.133333333333333,5.00220750551876,5.15708315143332,0.000167200887726483,0.00180362486944761,0.0013500817736216,"3845/7422/1387/207/1026/2113/7040/7042",8
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","11/151","112/5665",0.0982142857142857,3.68466177861873,4.74844562837026,0.000173682394835695,0.00180362486944761,0.0013500817736216,"2099/3845/5925/2260/207/4609/1026/7471/2247/2353/2253",11
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","16/151","220/5665",0.0727272727272727,2.72847682119205,4.32705757137779,0.000223681064629657,0.00223681064629657,0.00167433779371907,"3845/2260/7422/207/3925/3654/4609/5578/7040/3164/2247/2353/4772/1843/7042/2253",16
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","8/151","63/5665",0.126984126984127,4.76400714811311,4.97125312613822,0.000236548009375489,0.00228099866183507,0.00170741420301105,"3845/5915/1029/5925/842/207/1026/5578",8
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","10/151","99/5665",0.101010101010101,3.78955114054452,4.63337060505167,0.000273852471748902,0.00254966094386909,0.00190851813342248,"2099/3845/842/1387/207/7067/5469/4609/6772/5578",10
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","10/151","102/5665",0.0980392156862745,3.67809375405791,4.51635475141927,0.000349690376236272,0.00314721338612645,0.00235580885043383,"3845/5460/2260/207/4609/9314/7471/4088/3198/2247",10
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","12/151","143/5665",0.0839160839160839,3.14824248599083,4.30546272961473,0.000389779845623264,0.00339485671994456,0.00254117929913978,"3123/842/1387/207/4843/3654/6772/7040/7042/3459/3689/596",12
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","13/151","167/5665",0.0778443113772455,2.92045048974898,4.16846057399477,0.00046417482904649,0.00380992765307727,0.00285187567013971,"3845/842/207/19/3654/8797/9619/3383/1543/5578/2353/4772/596",13
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","9/151","87/5665",0.103448275862069,3.88102306462663,4.48109159962668,0.000465657824264999,0.00380992765307727,0.00285187567013971,"3123/5914/6772/4088/7040/50943/2353/4772/3459",9
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","9/151","94/5665",0.0957446808510638,3.59201070875018,4.19325095093691,0.000824165918159906,0.00654484699715219,0.00489906675810223,"3845/1906/7422/207/4843/5578/7040/2353/4313",9
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","12/151","157/5665",0.0764331210191083,2.86750748724006,3.92673801777495,0.000905956465255238,0.00698269182816648,0.00522681025734099,"1029/5925/1387/1030/11200/4609/5111/1026/4088/8900/7040/7042",12
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","11/151","136/5665",0.0808823529411765,3.03442734709778,3.97379134364498,0.000931025577088864,0.00698269182816648,0.00522681025734099,"3845/1029/5925/207/4609/1026/7471/4088/5578/7040/7042",11
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","7/151","63/5665",0.111111111111111,4.16850625459897,4.184754705171,0.00131700976129476,0.00940551922068458,0.00704038865641887,"3123/7422/3383/7040/2353/7042/3689",7
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","15/151","234/5665",0.0641025641025641,2.40490745457633,3.63188810057408,0.00132373974217042,0.00940551922068458,0.00704038865641887,"3845/2260/7422/842/207/4609/57521/1026/3912/2688/5578/3164/2247/2253/596",15
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","7/151","64/5665",0.109375,4.10337334437086,4.13150175249542,0.00144628728026928,0.0100127580941719,0.00749493003540355,"912/4843/3912/5578/7040/7042/3689",7
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","8/151","86/5665",0.0930232558139535,3.48991221315263,3.85009810040398,0.00193326218562609,0.0130495197529761,0.00976806156947918,"2099/3845/5914/207/9687/2353/4313/596",8
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","9/151","108/5665",0.0833333333333333,3.12637969094923,3.69189388830249,0.00220884003996236,0.0145460197753619,0.0108882487207387,"1906/7422/207/3383/5327/2353/4313/1843/596",9
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","10/151","130/5665",0.0769230769230769,2.88588894549159,3.59952913766928,0.00231383168047086,0.0148746322315984,0.0111342276353485,"3123/5371/842/1387/207/8797/6772/3383/5578/3459",10
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","9/151","115/5665",0.0782608695652174,2.93607831845667,3.47089971043923,0.0033913397144364,0.0212944586720425,0.0159397117545113,"3845/1387/207/1030/23411/1026/4088/7040/7042",9
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","7/151","76/5665",0.0921052631578947,3.45547228999651,3.56608338450721,0.00390185905514461,0.0239432260202055,0.0179224147987503,"207/4843/3654/7040/2353/7042/3459",7
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","8/151","100/5665",0.08,3.00132450331126,3.34119362020418,0.00495779942513327,0.0297467965507996,0.0222666079444582,"1387/207/4609/1026/6772/2688/3459/596",8
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","7/151","80/5665",0.0875,3.28269867549669,3.40250448782245,0.00519028690205053,0.0304647274685575,0.0228040065261717,"3845/8797/3383/5578/4772/3459/3689",7
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","6/151","61/5665",0.0983606557377049,3.69015307784171,3.49550206215748,0.00538697604267472,0.0309464581174931,0.0231646002282989,"3845/1029/5925/207/1026/5578",6
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","6/151","62/5665",0.0967741935483871,3.63063447981201,3.44637678937864,0.00583590649844065,0.0328269740537287,0.0245722378881712,"3845/7422/207/5578/2247/596",6
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/151","28/5665",0.142857142857143,5.35950804162725,3.8265658951429,0.00603332551909088,0.033244854901113,0.024885037586798,"3383/7040/7042/3689",4
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","6/151","63/5665",0.0952380952380952,3.57300536108483,3.39825628420379,0.00631157983919285,0.0340825311316414,0.0255120700868427,"1244/1029/842/207/1026/596",6
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","11/151","176/5665",0.0625,2.34478476821192,2.99901898491177,0.00702680114334244,0.0372007119353423,0.0278461469457533,"3123/5925/842/207/3654/4609/1026/6772/3383/8900/596",11
