	J1_p1_rep1_auto	J1_p1_rep2_auto	J4_p1_rep1_auto	J4_p1_rep2_auto	J8_p1_rep1_auto	J8_p1_rep2_auto	J11_p1_rep1_auto	J11_p1_rep2_auto	J14_p1_rep1_auto	J14_p1_rep2_auto	J1_p2_rep1_auto	J1_p2_rep2_auto	J4_p2_rep1_auto	J4_p2_rep2_auto	J8_p2_rep1_auto	J8_p2_rep2_auto	J11_p2_rep1_auto	J11_p2_rep2_auto	J14_p2_rep1_auto	J14_p2_rep2_auto	J1_p3_rep1_auto	J1_p3_rep2_auto	J4_p3_rep1_auto	J4_p3_rep2_auto	J8_p3_rep1_auto	J8_p3_rep2_auto	J11_p3_rep1_auto	J11_p3_rep2_auto	J14_p3_rep1_auto	J14_p3_rep2_auto
TSPAN6	0	0	0	0	0	0	0	0	0	0	0	0.0436420017894233	0	0.0477581965372545	0.0572749100445418	0	0	0.0594784466225125	0.113649110158948	0	0	0	0	0	0	0	0	0	0	0
TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	35.2675611636338	37.9248370817409	37.5389201079128	35.6008053113913	31.0721746840966	34.0687153112782	27.0675414584595	25.1542619097613	24.3479606868965	27.2441656582146	30.6072829458889	30.8112532633329	31.20263161503	31.329376928439	30.5046170897229	30.14698743345	26.7813633329884	26.4679087470181	27.2757864381476	28.1223488680899	27.2558969947637	29.7353568323015	30.6442294223272	26.1892239090452	26.6844796111695	30.6914625891291	30.997129487198	28.1291658986027	26.2041953971783	36.5536061070422
SCYL3	26.3871695066503	24.7379769603113	22.4979019494203	23.7082835073704	18.8555145247792	20.6283413618322	19.4490188138101	15.7940096333036	16.4149835802771	17.7425403018595	26.1836093175941	26.6190025714409	27.0148476792974	24.1794973248466	18.3783731350926	19.6947665141406	20.5341153492816	20.4427421041576	23.6787921016169	21.549010212293	19.6239029947582	18.7844936008075	16.8927170390398	16.7888749837451	19.59118086835	17.3853229260838	17.6447379468132	18.3887443452255	17.6980082796574	24.1955494610337
C1orf112	9.36174769118245	9.05643232044791	9.98448208686466	10.9661067959178	6.88221412959157	8.19225432357778	3.86055253597015	3.34912351125738	4.29792945477288	3.80349920561741	4.62733922032509	3.88675667936604	3.47728758017213	4.09335502520808	6.47893782423856	5.20312026950087	3.48574553886562	4.06237790431761	4.79030999319967	3.60486849749848	4.82069393262103	4.8804873550433	6.16029863458195	5.49140348621892	3.62214692348037	5.10873789043215	3.99655062809025	4.24342424800142	3.63000188989067	4.4236071545033
FGR	261.061171642068	270.167527527847	274.7942715482	273.998267396594	234.287312123069	253.565817809136	169.057871510716	159.156193921688	203.596961405781	220.505610937401	228.542228446137	251.116078296342	391.128243736031	403.891068115561	292.44569068743	277.594317283232	304.911552966242	342.238981865937	361.290521195297	314.761993627287	107.309380620893	88.2575742662091	111.231725706111	109.371298639573	106.087077478552	110.128189290405	123.185238678544	115.007490498409	139.204487846175	97.5083454392084
CFH	0.0783967482408612	0.14081003866983	0.234408956962881	0.132345001157589	0.272562935825409	0.110848444943884	0.101566759694032	0.218250213628812	0.137171609503643	0	0.330897243928038	0.0872840035788467	0.592080296300379	0.429823768835291	0.229099640178167	0.219140535934605	0.625245836567823	0.23791378649005	0.284122775397371	0.364548966808572	0.137136588652899	0	0.111009706293524	0	0	0.14638217451095	0	0	0.0424016106750458	0.0677376487941704
FUCA2	12.9777977037922	13.3178134573925	14.3274103195098	16.0962401907898	16.9370608321909	19.1141516038987	18.1027514140658	15.549402932012	17.4423989354594	17.85294149603	21.9009349453203	19.665522426332	15.5290820113663	16.5787803459425	17.0060662904253	16.0632947757957	21.3016046136686	19.5267740261709	18.3162588387669	18.6300145566329	28.0962014417343	25.6411728525047	27.6465973200478	28.666953282402	26.7270012209564	28.5703848804655	28.3335499305008	28.5500297547955	27.125582397147	26.7465493146222
GCLC	119.092500252692	114.43115539222	109.333695446504	110.68453596813	124.327246923025	128.029399667962	110.300485360122	106.119080037285	116.937768314784	110.282483209069	73.2056743381686	74.3655346291595	68.2052818126185	60.1452399731222	94.7327012136721	81.3945670512997	81.229854934103	80.0466882490436	81.8830473784206	75.0439671702595	85.9503569382044	90.011343796765	89.5452395169623	85.060418935934	91.550327553137	91.9767996510467	102.441732817447	94.1360788545603	80.9446747786624	107.733682212932
NFYA	62.2470181032438	59.9353235930176	58.4247581733055	56.7265966961734	48.5940777014443	46.2770087951729	40.8298373970008	41.7079857400822	41.9745125081146	39.5901056514796	53.4562835958352	57.4311286748095	69.3900344855156	66.3671778179957	55.61393765325	49.5511970762845	43.1940665428938	39.6715291127496	43.6946733828108	41.9220896145092	53.551837868957	53.3519644803869	50.8039621175855	48.2147256183732	46.8123873295848	43.6189603607728	51.9282246837591	51.5330613791546	44.8185024835234	53.4358603160133
STPG1	5.13498700977641	5.25690811034032	3.21475140977666	4.19092503665697	2.84244204503641	2.60493845618128	3.25013631020902	3.32924054688018	3.2235328233356	3.0271295175794	5.36461815837422	6.06623824872984	8.22991611857527	7.25924587366269	4.35289316338517	5.72308988936356	4.63723995454469	3.98505592370834	4.94373629191425	4.79121499234124	5.9654416064011	7.68281946863293	5.10644648950209	5.17673896113059	4.85961254707477	5.46493451507546	4.96143078682285	4.42336501916958	6.86906092935742	5.31740543034238
NIPAL3	54.6033351497599	47.1713629543931	37.1705631755426	35.5125753106196	48.6330152637051	42.3441059685639	43.5213565288926	39.1185764258421	50.7534955163477	44.0417667067434	49.7057983346709	50.5374380721522	45.4717667558691	39.8780941086075	39.9778872110901	39.8170527345465	45.4345307905952	39.1368178776132	45.2323458432614	38.0693278195809	42.8894681011941	42.4452063236202	36.1151577808264	40.9063882614829	44.5175220830242	43.621888004263	45.2671494645361	43.6324161114203	40.6631446373689	48.1614682926552
LAS1L	56.1712701145771	57.2627490590643	66.4381958020509	66.2166155791802	51.90377049361	50.9348604517149	47.939510575583	44.8060290267624	45.7810246718407	50.5115141070601	49.3734768558336	48.5299059898387	45.1757266077189	41.8839383631722	60.6541297371697	58.2581201558291	41.9956786894721	42.4676108884739	38.5270483438835	36.2986614093678	39.4610533848717	37.9872740393517	32.4888407085713	33.3442891908118	32.585437704046	36.1076030460343	30.288353660509	27.9573847328097	29.681127472532	24.9951924050489
ENPP4	37.4344472850112	34.6862061923348	26.9570300507313	30.3070052650878	31.0721746840966	28.1000807932747	30.2161110089744	28.2523051964415	26.5427064389548	24.7512354672668	20.7938296758222	21.646432887554	26.6436133335171	23.4970326963292	18.499795944387	22.2075453826586	20.7894240658801	19.033102919204	24.5482077943328	22.7582712136209	20.3647834149555	23.2381576520379	17.9095659486885	18.4231004204942	22.4323186324791	20.5910925478736	24.4763918816594	24.736487874191	20.2255682919968	33.4962673287173
SEMA3F	0	0.0938733591132201	0	0	0.0389375622607727	0	0	0	0	0	0.0949489939535261	0.0436420017894233	0.0592080296300379	0.191032786149018	0.114549820089084	0.0489152981996885	0	0.178435339867538	0.227298220317897	0.312470542978776	0	0	0	0	0.043389397741739	0	0	0	0.0424016106750458	0.0338688243970852
CFTR	0	0.0938733591132201	0.133947975407361	0.176460001543452	0.155750249043091	0.221696889887769	0.0507833798470159	0	0.0342929023759106	0.118710961473702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKIB1	77.9651741417953	73.1719365947772	64.4289761709405	65.156090969904	64.3637904170572	66.8416123011623	51.5959139245681	47.1180016287625	54.3885431681943	48.0779393968492	47.1896499949025	51.6721301186772	44.103469191119	39.400512143235	47.251800786747	49.0620440942876	46.007672807449	43.2408306945666	47.0507316058046	37.027759342985	46.7265498517023	46.7608641732844	49.1032934171687	50.4478286996452	49.9411968007416	47.0374720761852	53.2526904452319	46.8533129700389	41.9351929576203	65.2652246131832
CYP51A1	100.029938934186	103.962398383913	102.889458349656	105.225304670379	89.4189436049966	86.7028824239828	76.758570804966	77.4959344354829	69.9825546655921	58.9423665909224	34.5410197653835	31.194430039044	19.9531059853228	17.7622284561357	105.555368215689	93.2462546521023	65.1844836531813	55.4933906988042	35.4051072878172	34.2936420919207	104.675672435815	105.946080472448	81.6783516642946	76.6380676555455	58.7023839927535	61.5956672718808	43.8278620191397	42.7881116815477	38.2038512182163	41.5245334638024
KRIT1	51.3996520328971	49.7078211176323	52.8317604601712	52.4134731084475	46.9805051213579	49.6113300190849	27.7109668811212	21.3996184041131	25.9909336397264	21.5585041584316	30.5707275832168	32.8166032455569	36.1080168698786	33.6814681078987	26.3665048390048	26.7341670780578	25.2500320715944	23.9834940315957	31.7967480402705	27.5250093467621	31.3110259212299	29.3630720617536	27.0223527383239	27.5366986092218	25.3624046619787	27.4969156007185	28.9960190698461	25.1685175061604	24.5081309701765	38.0018370382615
