,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
APOE,150.209006757031,4.72200645553917,0.567096255227558,8.32664016383669,8.31690565950229e-17,7.26772801055608e-13
ADM2,118.466128788641,1.73315868775292,0.255461701106426,6.78441692138767,1.16556283524409e-11,5.09263541789026e-08
CISH,283.148037551368,1.53616618276425,0.257369416398298,5.96872077600286,2.39120924846279e-09,4.64346267059825e-06
SCN1B,9.24186642059744,3.32431959398806,0.564783823973957,5.8860035519384,3.9564581332638e-09,6.28609261773195e-06
NUPR1,25.214559266043,6.26271857272398,1.09814873560279,5.70297844880391,1.17731872403043e-08,1.71466661165665e-05
CCL13,90.6224178746172,5.83824675201874,1.08328533713197,5.38938962053679,7.06973854599089e-08,6.91403585979725e-05
FOLR2,77.4290834543773,2.48880314393099,0.467465869432547,5.3240317778753,1.01492164363339e-07,9.33567661356881e-05
SLC6A9,184.649330449145,1.87468036659752,0.356012987405438,5.26576398310599,1.39607548734556e-07,0.000116186720439706
PCLAF,43.2127152423969,4.04902444720681,0.783830459080208,5.16568908531338,2.39554714520505e-07,0.000182030336768473
C1QA,238.502398944391,3.80582584197548,0.752875356498206,5.05505434482175,4.30268231002696e-07,0.000300791914929365
APOC1,36.745741811783,2.87942565435002,0.58162869561841,4.95062516007485,7.39754639233433e-07,0.000461738993924382
ENSG00000288656,15.6108048819444,5.5493016000671,1.1255096215657,4.93047904143853,8.20282172535086e-07,0.000494347294117093
ENSG00000257607,10.6012110395004,7.03316085808393,1.44559960099546,4.86522053080314,1.14329255511427e-06,0.000587685999580358
CCL4,863.727694929005,2.99162799955826,0.61979967933202,4.82676596861496,1.38768030291003e-06,0.000692928247255962
PKMYT1,51.1140660543848,3.96687612456482,0.826985406307757,4.79679096427559,1.61227697654315e-06,0.000722506787667811
EGR3,732.144666655817,1.69776670174481,0.353653748421324,4.80064670408125,1.58154067175794e-06,0.000722506787667811
ASS1,74.3827486766125,3.49072168568997,0.74137385005493,4.70844997490987,2.4960760534729e-06,0.00103866479015585
