,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
THBS1,127.591702997151,-5.08311719971475,0.366943426137932,-13.8525909926072,1.22704857936888e-43,2.14451280216298e-39
PID1,18.513438405292,-4.05883131060112,0.526313920101548,-7.71180688099226,1.24048747743587e-14,7.22666654771559e-11
C5AR1,39.1367145133998,-1.58113349578616,0.255433274149392,-6.19000598513025,6.01619306340753e-10,1.50207151670248e-06
DUOX2,94.6303443513294,-6.9213054599582,1.12812706183395,-6.13521800346366,8.50424926924411e-10,1.85785955598224e-06
DAB2IP,18.5321286798485,-2.16370567072237,0.384027131309231,-5.63425209918328,1.7581966954459e-08,2.19485740330772e-05
VMO1,8.79883394485164,-3.52513110032482,0.667298123851339,-5.2826929588523,1.27298641968721e-07,0.000111239918284367
CD93,9.20842571173284,-2.93665289371534,0.588776025556406,-4.98772498581297,6.10944525406358e-07,0.000410672210404882
LINC02576,47.5364425678669,-3.68667300160141,0.740912676797996,-4.9758535884878,6.49607357713031e-07,0.000420488436694468
ADGRE2,8.22895878644791,-2.19074867441002,0.458650605282754,-4.77650884829738,1.78364708487602e-06,0.000779320002559455
NRG1,5.90081047442524,-2.62908380081906,0.566607122035638,-4.6400472189153,3.48329577668264e-06,0.00135283467309072
CLEC5A,21.3787680618426,-4.36905147297023,0.976270103166871,-4.47524866202263,7.63224338088827e-06,0.00229980547530663
CD300E,16.2395010283073,-4.20260905271797,0.967454653153219,-4.343985569784,1.39920710280229e-05,0.00344421725854586
SDC2,10.5606756750167,-2.56140190231731,0.597167513971302,-4.28925191406243,1.7927594019518e-05,0.00417490593252235
TNFRSF11A,7.88694386109858,-2.78792821624872,0.65484653310333,-4.25737646198824,2.06839889722489e-05,0.00451867594084992
ALAS2,16.8319452115532,-5.5874448751488,1.31839758125115,-4.23805758946125,2.2546194298627e-05,0.00486468935502598
IL1B,28.2566591349234,-3.10371518296132,0.735869443937595,-4.21775249472722,2.46749446263032e-05,0.00519571093052892
S100A8,31.6432535857008,-2.36932057382593,0.563901117843102,-4.20165965069989,2.64965286239375e-05,0.00551285512810186
LILRA1,4.58538486660245,-1.98203950080702,0.483380067868881,-4.1003749069452,4.12481356092683e-05,0.00735605781676717
PTGS2,3.31313170928937,-3.0742403991394,0.755323291268353,-4.07009877052392,4.69932100087121e-05,0.00791946144055079
SEMA6B,46.7007127154287,-2.46271720461433,0.61777319862233,-3.98644228999628,6.70714319142992e-05,0.0103735169519133
FCAR,4.96467829305646,-3.06210725860196,0.781606075772929,-3.91771168817214,8.93935331386982e-05,0.0124986904072769
HBEGF,6.71312204345977,-2.12404465879903,0.54364609052889,-3.90703565389872,9.34353707358961e-05,0.0128580312941044
DUSP6,75.0149335473339,-1.52838252238284,0.392436101570102,-3.89460224548129,9.83599967366064e-05,0.0131224249081349
SLC7A11,10.0513774618075,-3.22661715566224,0.856563112925858,-3.76693451652468,0.00016526432634564,0.0199194802175362
S100A9,113.228595304545,-1.93185287489251,0.520809373418787,-3.70932816015024,0.000207809941934644,0.0228421028628414
MGST1,4.3236159882033,-1.66631941436507,0.451713144700124,-3.68888847693657,0.00022523591484352,0.0240027322178061
VCAN,25.1828032831024,-2.70273631979303,0.736009788894007,-3.67214724664789,0.000240521024412487,0.0251711733153116
SYS1-DBNDD2,15.041993839535,-2.85691953738853,0.781545290898722,-3.65547533925164,0.000256705885704043,0.0262365424821612
PHLDA1,19.6846124376864,-1.52375416778089,0.423124698837244,-3.6011940970787,0.000316758976519524,0.0304175639155589
LPCAT2,8.60409053786153,-2.50433525794991,0.697366607737969,-3.59113159443232,0.000329245332997359,0.0312729385043198
ACKR2,5.68980176874351,-1.67196833708051,0.466665344155026,-3.58279944723105,0.000339931591008535,0.031600980936469
GPR162,3.61098287404911,-1.92848477471591,0.543676062479476,-3.54712099319016,0.000389465681973456,0.0347280189992352
PLCD3,100.621379678646,-1.63800774635645,0.463974563651791,-3.53038264310058,0.000414959059658014,0.0359021756715005
ASGR2,5.53395628957588,-3.22557494752743,0.913423942675061,-3.53130107152763,0.000413520775397329,0.0359021756715005
KCNK13,3.16853860399994,-2.50086214179907,0.712922999255032,-3.50789937260033,0.000451659856715502,0.0383096789052788
MYCL,4.84750857086695,-2.24348310829496,0.640291165275057,-3.50384829584709,0.000458586523314624,0.0385322916729312
GALNT16,3.28525738373439,-4.03253680758344,1.1628457331984,-3.46781752080903,0.000524703457297256,0.0411842228308689
FN1,16.1280164759534,-1.93233674365728,0.558312301462133,-3.46103200412528,0.000538108835803885,0.0419845005506451
