,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NDUFA4L2,128.043522580272,2.40987229294352,0.292583009096362,8.23654217101113,1.77259220644703e-16,1.47160604979232e-12
ATF3,135.162509470047,3.46239064994457,0.468282691608279,7.3938044518649,1.42686208933955e-13,7.89720604379795e-10
SLC6A9,337.356173383316,2.64766051910207,0.401371084497976,6.59654026251963,4.20863247018026e-11,1.74700333837182e-07
BIRC5,71.0836483620057,7.05628328581385,1.12239592034686,6.28680411065039,3.24067861925422e-10,8.96803796568283e-07
TYMS,110.655549335339,6.40861815333162,1.04236898285527,6.14812821442276,7.840264752788e-10,1.44644173283658e-06
VEGFA,766.82444155865,3.52758381765572,0.606917044347408,5.81229980358976,6.1620354649831e-09,9.30131244187086e-06
RRM2,163.549474120606,6.26836040475796,1.1008042067324,5.69434633917761,1.23845463881842e-08,1.71360840191175e-05
DLGAP5,18.5609866111794,7.18657503015465,1.28125505472858,5.60901204146043,2.03484867250856e-08,2.44233286234161e-05
SPC25,14.1340277093612,7.21453020858915,1.33806394372953,5.39176789151075,6.97678497948298e-08,6.81426692937267e-05
PKMYT1,53.7056395209772,5.86047077675195,1.09040484348216,5.37458248813056,7.67603368481223e-08,7.07730477493984e-05
SESN2,1087.91939333745,2.19295066310719,0.408757498464905,5.3649184940774,8.09857809707643e-08,7.07730477493984e-05
ADM2,218.387992081335,2.18791543996655,0.415628224420085,5.26411661051,1.40865023700357e-07,0.000116946142676036
MKI67,95.2198358595404,4.8146411338725,0.930878734811573,5.17214643951134,2.31420101772723e-07,0.0001829761604683
UBE2C,41.7440365698448,5.29749372068564,1.0417096493218,5.08538413187833,3.66882756954161e-07,0.000264857447672473
CCL4L2,164.690135961063,5.80239054532586,1.18625413563746,4.89135537741061,1.00143963132479e-06,0.00066511614554067
CISH,196.737479748454,1.84641282284628,0.379246732941269,4.86863211325862,1.12373384842521e-06,0.000717633723817393
CDC45,30.3942695337895,4.45620755453528,0.933595418262734,4.77316776342749,1.8135060306685e-06,0.000971337230103863
COPZ2,56.938978097675,3.04280303966072,0.650095584624107,4.68054715587724,2.86110290199769e-06,0.00128912776421582
CDC6,51.4592709947497,3.4834978470611,0.741117278563571,4.70033279187984,2.59737856965987e-06,0.00128912776421582
CBS,79.6869769122543,4.46992446924886,0.9544279886883,4.68335434650446,2.82218015393948e-06,0.00128912776421582
CDK1,55.3605850534476,4.38236013759148,0.936759301305643,4.67821363661231,2.89384956429509e-06,0.00128912776421582
CSF1,47.6369795100464,3.51682920501821,0.751902217067578,4.67724276533437,2.90757963100354e-06,0.00128912776421582
CKAP2L,22.7910222372886,5.13246535220341,1.1007508577037,4.66269484714311,3.12095358387233e-06,0.00132872598222093
AURKB,38.3514891269,4.29614169693684,0.929800991270771,4.62049593114033,3.82823852153076e-06,0.00158910181028742
