,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CCL5,619.208183871405,7.98998070939837,0.377684060974089,21.1551969886982,2.47154970167189e-99,4.83583414629122e-95
IL32,226.242755730527,7.08134894430058,0.351148869634639,20.1662302136086,1.93865231738581e-90,1.89658356209854e-86
PRKCH,108.501650484906,4.69648813170199,0.256738379140092,18.2928946869268,9.42733568670163e-75,6.1485083348668e-71
CSF1R,198.89750535139,6.58535433508992,0.381252299508644,17.2729563692523,7.51899787556904e-67,3.6779178108346e-63
LYZ,1033.68220436902,6.749628632131,0.402441479319759,16.7717021703125,3.93084963641155e-63,1.53822007972057e-59
CD2,106.448438896268,6.22015605322207,0.373481281306198,16.6545322739281,2.80528763258937e-62,9.14804296987395e-59
CYP1B1,189.78201817838,6.55291920534022,0.394412619514649,16.6143751013952,5.48433397048275e-62,1.53294969237808e-58
CTSW,82.1182907873183,4.6233208851617,0.281609674664351,16.4174788762929,1.43402479676786e-60,3.50726614669498e-57
LPAR6,55.3424389307423,4.6199179645423,0.316577691896845,14.5933149517297,3.09772261881315e-48,6.73444897329978e-45
FPR3,105.030679904217,6.84542080530619,0.49455407560667,13.8416022492766,1.42983557537245e-43,2.79761628677374e-40
THBS1,368.39773695543,5.6381203721891,0.416067988338825,13.5509592908111,7.82014273376026e-42,1.39099011571594e-38
NKG7,265.1596984487,9.0362673520617,0.68962048578405,13.103246696316,3.15468430531784e-39,5.14371275982075e-36
STAB1,198.710956535979,7.15264910711542,0.54674624970077,13.0822097289739,4.16163601808806e-39,6.26358233307007e-36
CD4,143.239291261419,7.1528002042294,0.559776379805369,12.7779600252451,2.17704954990452e-37,3.04258224953084e-34
CD247,129.599811492794,7.44575731974633,0.588338803840451,12.65556048852,1.0422904259391e-36,1.35956363159497e-33
FCN1,572.218540282931,8.32515581898991,0.658730437018243,12.6381830125748,1.30023981332999e-36,1.59003076172591e-33
CX3CR1,75.7169826855535,5.62777259747068,0.461574300523836,12.1925605283565,3.40550225354888e-34,3.91953277017279e-31
CD14,271.801129479859,6.6440040041425,0.553974602947855,11.9933368222801,3.85074307920396e-33,4.1857577270947e-30
ID2,70.8083995927415,6.92022402959909,0.5837518248802,11.8547364387585,2.03363085576696e-32,2.09421164862823e-29
CD8A,174.209972512673,8.72265234784106,0.73716619219732,11.8326809343235,2.64554825972609e-32,2.58813986249003e-29
ANXA1,95.3024191676884,7.83620324300339,0.664876749143312,11.7859486786089,4.61197724714003e-32,4.29704508654961e-29
C5AR1,66.4485661915625,4.08724959168042,0.352254633188606,11.6031109504016,3.97365726789041e-31,3.53402627743381e-28
