,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
APOE,150.209006757031,4.72200645553924,0.567096255228685,8.32664016382028,8.31690566065503e-17,7.2677280115634e-13
ADM2,118.466128788641,1.73315868775282,0.255461701107198,6.7844169213668,1.16556283541255e-11,5.09263541862627e-08
CISH,283.148037551368,1.53616618276424,0.257369416399286,5.96872077597991,2.39120924879905e-09,4.64346267125123e-06
SCN1B,9.24186642059744,3.32431959398811,0.564783823972857,5.88600355194995,3.95645813298751e-09,6.28609261729297e-06
NUPR1,25.214559266043,6.26271857272397,1.09814873560241,5.70297844880587,1.17731872401691e-08,1.71466661163697e-05
CCL13,90.6224178746172,5.83824675201874,1.08328533713197,5.38938962053679,7.06973854599089e-08,6.91403586059717e-05
FOLR2,77.4290834543773,2.48880314393099,0.467465869433267,5.3240317778671,1.01492164367915e-07,9.33567661398978e-05
SLC6A9,184.649330449145,1.87468036659748,0.356012987406495,5.26576398309024,1.39607548746522e-07,0.000116186720449665
PCLAF,43.2127152423969,4.04902444720681,0.783830459080345,5.16568908531248,2.39554714521662e-07,0.000182030336769352
C1QA,238.502398944391,3.80582584197548,0.752875356499806,5.05505434481101,4.30268231026923e-07,0.000300791914946301
APOC1,36.745741811783,2.87942565435001,0.581628695618486,4.95062516007419,7.39754639235958e-07,0.000461738993925959
ENSG00000288656,15.6108048819444,5.54930160006709,1.12550962156472,4.93047904144284,8.20282172516982e-07,0.000494347294106183
ENSG00000257607,10.6012110395004,7.03316085808392,1.44559960099211,4.86522053081441,1.1432925550491e-06,0.000587685999546858
CCL4,863.727694929005,2.99162799955825,0.619799679333881,4.82676596860044,1.38768030301116e-06,0.000692928247306457
PKMYT1,51.1140660543848,3.96687612456483,0.826985406308105,4.79679096427358,1.61227697655932e-06,0.000722506787675058
EGR3,732.144666655817,1.6977667017448,0.353653748422704,4.80064670406248,1.58154067190617e-06,0.000722506787675058
ASS1,74.3827486766125,3.49072168568992,0.741373850055849,4.70844997490397,2.49607605354518e-06,0.00103866479018593
ALDH1A1,34.5739885214508,4.04921388093215,0.875772930773397,4.62358876216496,3.7715724041548e-06,0.00143295154146551
C2,34.1018778311068,1.62866977018161,0.356334316475716,4.57062285297074,4.86276745955358e-06,0.00168916767246185
FABP3,20.7318184160419,2.27300209679079,0.501946289206198,4.52837713052013,5.94384273441358e-06,0.00190347688831389
TYMS,101.591243694851,3.2353396937597,0.715320526830404,4.52292304275894,6.09914205788051e-06,0.00190347688831389
AURKB,45.8028629238903,2.95242337994243,0.673594818647273,4.38308505084934,1.17010405244036e-05,0.00309847098856064
CDC45,27.8341583224124,2.97586178404086,0.684048971764843,4.35036365358922,1.35911944084848e-05,0.00339333292395842
IQGAP3,8.32861503186794,4.3764142579519,1.01647960782699,4.30546193376936,1.66637644616626e-05,0.00398948782871886
CEMP1,7.47911307648712,7.16548293618876,1.67165798375973,4.28645273483087,1.81548807489806e-05,0.00417490593223597
CDK1,41.5995492747601,2.64515411445939,0.620153346191323,4.26532265076795,1.99613521734332e-05,0.00451867594033708
UBE2C,49.8676856954839,2.87488662381052,0.674984041192473,4.25919199323816,2.05167192853722e-05,0.00451867594033708
CDT1,147.697574216744,3.17270523956121,0.750930308669089,4.2250328731362,2.38905901186076e-05,0.00509190053052322
SKA3,21.2430520247157,2.84851452632481,0.681076043363706,4.18237369245368,2.88481290899664e-05,0.00593151473065108
BIRC5,63.985898018626,3.37546631844157,0.808625713683229,4.17432473556471,2.98871198107196e-05,0.00607368828990636
ENSG00000249971,10.3025819438667,6.12392355878225,1.46972638396783,4.16670995743403,3.09027272683101e-05,0.00613735186895744
RRM2,128.932611138104,3.24879888496382,0.78457662883079,4.14083056463881,3.46050513916781e-05,0.00660990091520782
VEGFA,590.210009929252,2.24399974916589,0.542824841642848,4.13392972652923,3.56612555967262e-05,0.00670163187165574
CDC6,48.0578541017455,2.4700041796218,0.597864550673903,4.13137754502697,3.60595769170275e-05,0.00670439601892435
NDUFA4L2,86.7467223857226,1.84307122319719,0.450901805878623,4.08752238107762,4.36004625050639e-05,0.00769702306263639
SKA1,38.4843901450285,1.66932066315065,0.408648179598385,4.08498250204182,4.40801382636824e-05,0.00770388576434377
CBS,52.0216806384503,3.5388824037978,0.885946395577176,3.99446560363541,6.48403333086251e-05,0.0102091396868004
KIF18B,15.692537551069,3.28619538888329,0.832996496359756,3.94502906464092,7.97903000174317e-05,0.0119893227717276
SPC25,13.2302603355876,3.4756349698575,0.89039163559185,3.90349013953531,9.48154148831319e-05,0.0129460078586914
HJURP,27.9960701449031,2.75696104835809,0.709442999615378,3.88609239904089,0.000101870745473218,0.0133864287115446
MELK,21.226528027773,2.80260045931181,0.726987451313608,3.85508780687719,0.000115688098917944,0.0148032882685785
SPC24,18.3825670545584,2.61240004051382,0.681796089149291,3.83164421458245,0.000127289725684311,0.0159563573799391
SAPCD2,27.4833187458844,1.88989438589366,0.49336466554451,3.83062371077557,0.000127818849527463,0.0159563573799391
CDC25C,8.15805518730758,4.00072179735425,1.0587228712273,3.7788187126972,0.000157574084002181,0.0193938187753952
KIF4A,21.3175013954148,2.37835134634849,0.632865033453277,3.75807039515334,0.000171228714367837,0.0203575798707938
CCL3,572.361110111872,2.52443999587857,0.676850500166558,3.72968623833086,0.000191718357249391,0.0217575436990104
KCNJ5,6.21132579803979,4.45652324376587,1.19610367516786,3.72586702665256,0.000194645001582135,0.02184803959007
CDCA2,20.2608536253559,1.75874838857955,0.473763827987047,3.71228929834558,0.000205393027742712,0.0227193287712619
FOXM1,51.4511443944079,1.79863537240998,0.486862195516587,3.69434182603053,0.00022045707267391,0.0236375966817296
TK1,271.802424926864,1.54001040750876,0.419691503453627,3.66938666815046,0.000243133094693245,0.0252930779521062
DTL,75.96915911217,1.92059839460157,0.524956376539638,3.65858665678395,0.000253609989784774,0.0260725987733441
USP32P2,49.8317329805632,1.52814489554367,0.4201055467663,3.63752611053659,0.000275269294409017,0.0279702410371302
CHI3L1,24.9254128978304,3.49853574763711,0.973577391224137,3.59348499582369,0.000326284445918537,0.0311610560727775
COPZ2,37.996818490499,1.65950280442393,0.462667770573331,3.58681306538273,0.000334744116093673,0.031453349015963
KCNN3,57.3833008028204,1.72355716513208,0.480345056177606,3.58816468071404,0.000333013933338728,0.031453349015963
CKAP2L,17.2330382613416,2.34371654292744,0.655901744833328,3.57327383467017,0.000352545747002624,0.0321089610769645
LGALS9C,265.85098201605,1.54400866773333,0.434175916009305,3.55618220818181,0.000376283153812122,0.0337246188675613
CEP55,32.416204695502,2.08904967385471,0.600815207011369,3.47702529742257,0.000507009977856763,0.040277333559103
LRP11,6.90955910561228,2.43792651456264,0.70762129689137,3.44524186209859,0.00057054863027258,0.0433542539620603
ENSG00000271787,28.4433384473104,1.89598497411442,0.552314515580689,3.43279946593659,0.000597383761252283,0.0442393050652803
PBK,12.8905321067666,3.20612658626933,0.9359473908814,3.42554145404482,0.000613575294514002,0.0446810642592551
IL4I1,259.158590685665,1.66455630523021,0.490001422806718,3.3970438201907,0.000681180578919529,0.0486632685800595
CDC20,46.9937891591362,2.09511844987976,0.617129175965628,3.39494311964997,0.000686428599215872,0.0486632685800595
CCNB2,35.5932322604187,2.15441165248761,0.634627438076969,3.39476600478518,0.000686872785337063,0.0486632685800595
CENPA,11.4519736381856,2.65605260794955,0.783889040666429,3.38830174955819,0.000703268483561496,0.049560577770985
