,x
1,TMEM176A
2,GAS7
3,CYB561
4,MGST1
5,MMP25
6,IL32
7,STAB1
8,CD4
9,IGF1
10,SLC11A1
11,OSBPL5
12,PRKCH
13,SH2D2A
14,FNIP2
15,TBXAS1
16,GNA15
17,AHRR
18,PDZD4
19,ACTN1
20,FSCN1
21,LAMP3
22,IL12RB2
23,FCN1
24,PILRA
25,SMOX
26,BIRC5
27,LYZ
28,ITGA6
29,NRP1
30,MLC1
31,MMP9
32,HCK
33,CST3
34,TLR8
35,ATP8B4
36,DMXL2
37,NKG7
38,CDK6
39,AHR
40,TMEM176B
41,NPDC1
42,PALD1
43,LGALS3BP
44,CCL2
45,INPP4B
46,BST1
47,CLEC4A
48,KLRB1
49,ITK
50,PDE4D
51,SLC12A7
52,FN1
53,IL1R1
54,ID2
55,CD2
56,GBP1
57,SGK1
58,SPP1
59,GPR68
60,CCR2
61,TMIGD3
62,PLAU
63,MMP19
64,LRP1
65,SDC4
66,F13A1
67,TRERF1
68,C3
69,CFP
70,CDC42EP1
71,ARHGAP22
72,RNASE1
73,LDLR
74,RIN2
75,GIMAP6
76,MICAL2
77,CAMK1
78,SORT1
79,PTGFRN
80,EMP1
81,ANXA1
82,HAVCR2
83,PRR5L
84,LMO2
85,CYP27A1
86,TBC1D4
87,GPNMB
88,AOAH
89,NIBAN2
90,IER3
91,ARRB1
92,SORL1
93,THBS1
94,CYP1B1
95,MYOF
96,PHLDA1
97,LPAR6
98,FBLN5
99,HAPLN3
100,IGSF6
101,TRPM2
102,RGL1
103,ADAMTSL4
104,PAM
105,EPHA1
106,NACC2
107,HTR7
108,NCAM1
109,CD226
110,CRIM1
111,SLC7A11
112,ANK3
113,EPS8
114,PDE3B
115,CD8A
116,RETREG1
117,TNIK
118,VSIG4
119,GNAQ
120,TIAM1
121,KIT
122,ETS2
123,NBL1
124,FCER1G
125,JAML
126,HK3
127,DHRS3
128,S100A9
129,IGFBP7
130,CCR1
131,SAMD3
132,HDGFL3
133,C15orf48
134,MS4A7
135,SEMA6B
136,RAB3IL1
137,CX3CR1
138,GFRA2
139,SEMA4C
140,NSG1
141,CXCL10
142,MT1E
143,FOS
144,CD14
145,SOCS6
146,OSCAR
147,GPR82
148,CXCR6
149,CTSW
150,RAPH1
151,CD7
152,CTBP2
153,A2M
154,HIC1
155,KCTD12
156,FCER1A
157,GPBAR1
158,CUEDC1
159,RTKN2
160,CSF1R
161,VMO1
162,GAS6
163,RFLNB
164,GAS2L1
165,ZNRF1
166,GCNT1
167,FPR3
168,TPRG1
169,H1-0
170,DAPK1
171,SVIL
172,C5AR1
173,GZMM
174,CD247
175,AIF1
176,LST1
177,TRBC1
178,TRDC
179,GIMAP1
180,LAT
181,ITGA1
182,TNFRSF25
183,ENSG00000215861
184,CEBPD
185,C12orf75
186,NFAM1
187,ARPIN
188,CEBPA
189,SELENOP
190,SMIM3
191,CCL5
192,ENSG00000273485
193,CCL3L1
194,RAB7B
195,ADORA3
196,ENSG00000289273
