,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CCL5,269.354942649923,3.80714951455891,0.264937686104763,14.3699809964124,7.98531553168829e-47,1.56288595586203e-42
CTSW,82.8455992349385,4.900622728853,0.361061961707364,13.5728025895591,5.80589050451241e-42,5.68164444771585e-38
CD2,76.4529480930123,5.99179511970029,0.493660556760404,12.1374799700847,6.68534025889782e-34,4.36151598490494e-30
CD8A,96.1254853536299,7.07963166355258,0.604089510126603,11.7195076969121,1.01258714543089e-31,4.95458890259336e-28
IL32,298.299649213395,6.30717080153578,0.583920881295858,10.801413348224,3.38945519778394e-27,1.32676834262055e-23
NKG7,98.8846910879635,9.17212379801968,0.858046275839844,10.6895444409943,1.13929195855815e-26,3.71637036881668e-23
CST3,102.596929619075,6.65023137262478,0.653913923672472,10.1698880110644,2.70219169287569e-24,7.55532797328043e-21
RNASE1,96.5776250336764,9.1362719815666,0.905215831485298,10.092921117581,5.93757930590942e-24,1.45262877719074e-20
CD247,59.3179005332506,6.75015653741901,0.687832015323473,9.81367017969432,9.83258217905475e-23,2.13825887120511e-19
ID2,29.7068157651742,4.23452978208195,0.437969634496306,9.66854651225293,4.10161800059481e-22,8.02768675076416e-19
ANXA1,48.014088902175,6.91091753003913,0.736681905508655,9.38114195334737,6.52620147046953e-21,1.16118922890936e-17
CD4,84.5552533851135,6.59047418142127,0.727085994826718,9.06422930480451,1.25488216030028e-19,1.88927335703054e-16
GPNMB,95.7038640476467,5.75056787112393,0.634280458530562,9.06628573178223,1.23143234117242e-19,1.88927335703054e-16
CX3CR1,29.4032665082329,5.93075004236757,0.656068337364252,9.03983579849973,1.56907332915963e-19,2.19356451416516e-16
APOE,69.1143264083897,4.13078494660589,0.457487087245598,9.02929298283846,1.72784490793293e-19,2.25449203587089e-16
GZMM,25.4386481770735,7.69159748490339,0.860605152472702,8.93742904374183,3.98329318910611e-19,4.87256339357404e-16
ITK,39.3499097004025,6.09035765449625,0.698421379702914,8.72017643143583,2.77768625258913e-18,3.19793384327496e-15
CD7,32.2879643973054,5.46172990295465,0.640633739231432,8.52551086289505,1.5213686099169e-17,1.65423480184965e-14
PRKCH,49.6688831343589,4.22628512051737,0.520842179613587,8.11432961065644,4.88473889817454e-16,5.03179524816169e-13
STAB1,36.5081467107628,6.00027408821155,0.744942921425843,8.05467629214712,7.96894240794619e-16,7.79840704041614e-13
CD14,84.9028077832462,5.12560956282681,0.681622631274035,7.51971740323004,5.48947659739383e-14,5.11619218877105e-11
TRBC1,117.59071191679,2.70691394811171,0.365500271798523,7.40605180617722,1.30115021194372e-13,1.1575505430983e-10
SELENOP,29.8726286516983,5.36968882794591,0.737845194813235,7.2775276788312,3.39993262760764e-13,2.89319484293638e-10
RFLNB,18.9262827858112,5.86166812024333,0.815972692702056,7.18365721386177,6.78709076496304e-13,5.53487251882736e-10
SAMD3,12.1071345855327,6.62401083706352,0.94501224813439,7.00944442798536,2.3926630137181e-12,1.87316802017962e-09
INPP4B,18.8111753839354,6.76488243435372,0.975136150415735,6.93737221358229,3.99460366663669e-12,3.00701472936205e-09
TRERF1,14.8002722227316,4.2987842110517,0.637273484693265,6.74558774890941,1.5240879133539e-11,1.10479439408009e-08
CCR1,12.0597753023123,7.10279209362454,1.06323548444271,6.68035651325861,2.38361662332908e-11,1.66614801970703e-08
F13A1,138.848835459416,5.56692658058257,0.845093314674394,6.58735134205559,4.47741907006461e-11,3.0217946910105e-08
AOAH,12.0850159022243,5.62559500387442,0.863324115287003,6.51620278440184,7.2109476950381e-11,4.70442227624285e-08
CSF1R,21.8236490868813,6.48797170384409,0.998948049582216,6.49480391553647,8.31416286200369e-11,5.24918695274633e-08
FCN1,33.9656855836124,6.75957438115844,1.04526397994195,6.46685862219593,1.0006118340396e-10,6.1199921299447e-08
FOLR2,43.022705173977,2.59523023041854,0.402265329864752,6.45153841940865,1.1072037219825e-10,6.56672462019439e-08
GBP1,111.082639055891,3.46209188317556,0.53765197756708,6.43928047812976,1.20041194111913e-10,6.91013603281873e-08
LGALS3BP,32.6961114868814,3.74046928257956,0.582017486817097,6.42673006791467,1.30378036425464e-10,7.29073979691196e-08
LPAR6,19.5790448309498,3.5865499108687,0.565663682284018,6.34042810807131,2.29127573662874e-10,1.24569024214716e-07
TMEM176B,25.8851532572711,6.7289862390773,1.068870611532,6.29541701912144,3.06574531040093e-10,1.62169641122073e-07
CYP1B1,23.2660254534886,5.617579701114,0.919581159083393,6.10884601715134,1.00354090936961e-09,5.16876386267946e-07
KLRB1,26.4715678650191,4.19390897553825,0.70073861527715,5.9849833933863,2.16411940510673e-09,1.08605499991664e-06
CYP27A1,7.73935427290331,5.47179667012708,0.921673833801458,5.93680374711146,2.90632211374963e-09,1.42206341025769e-06
MMP9,360.199777904981,7.12596201551066,1.22937393525551,5.79641540393452,6.77473337755387e-09,3.23402638208498e-06
LST1,29.0173887395433,2.03953604727957,0.357458140293731,5.70566401314469,1.15890402134064e-08,5.40049273944737e-06
