,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD2,90.3718904130773,6.21362122833033,0.220975693779225,28.1190257718495,5.73451092395367e-174,1.07894823034188e-169
CTSW,86.6975315102766,4.74649695632083,0.175474067115442,27.0495637010464,3.86486771079801e-161,3.63587429893323e-157
NKG7,142.554144027896,8.84079991033951,0.341652330874695,25.8765976737386,1.22169206969991e-147,7.66204543046796e-144
CD8A,122.042892190379,7.75089679972861,0.303207170136508,25.5630392785205,3.9326026048229e-144,1.84979795024357e-140
CD4,108.109504463067,7.44353453641173,0.342168628955584,21.7539946871575,6.33190742649434e-105,2.38269676458982e-101
PRKCH,68.2366433146583,4.38017778424075,0.203914600144009,21.4804520183811,2.37187246050234e-102,7.43779672405859e-99
CX3CR1,38.3990779306281,5.33450476019731,0.261537895432414,20.3966799968987,1.78961083270013e-92,4.81021825960755e-89
STAB1,77.8747716940653,6.16973570999288,0.311757405179891,19.790181748635,3.61735023058265e-87,8.50755557355156e-84
GZMM,33.0263647736619,7.50380940667253,0.381721513884712,19.6578110840743,4.95656174710812e-86,1.0361967696871e-82
CD14,142.739327174887,5.85550188560229,0.301894940996251,19.3958264629383,8.36968056739438e-84,1.57475539875525e-80
CST3,176.005867718929,6.76772691964058,0.367552422666856,18.4129569070335,1.03418833727328e-75,1.76893214234516e-72
TRBC1,155.487059104792,2.93062164440007,0.160539610641667,18.2548196839805,1.89435209251388e-74,2.97018621838738e-71
AOAH,18.3604661084221,5.2217666316745,0.303725599183759,17.192382353373,3.02828920283375e-66,4.38286625779361e-63
RNASE1,198.723709730953,7.46612282792014,0.437830861816021,17.0525275375801,3.34739924388103e-65,4.49866548383011e-62
ITK,48.017513560983,6.26007727454318,0.372461116479868,16.8073310140591,2.1566524723918e-63,2.70516108453679e-60
CCL5,372.931728778954,4.87460829039409,0.292480157076974,16.6664581252642,2.29815065993859e-62,2.70248154167154e-59
