,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD8A,101.987969801187,6.85896810909797,0.586018540738799,11.704353415936,1.21078653540705e-31,2.09296560510463e-27
NKG7,91.9829935759086,7.50101329112268,0.659771246115656,11.3691121510436,5.95906354351272e-30,5.15041862065804e-26
CD2,84.0473900626574,7.0579253207098,0.676387083669415,10.4347429025705,1.72078941097419e-25,9.91518858603331e-22
CD4,93.3448552832703,7.34445128658055,0.803023346098848,9.14599970506521,5.90808517225572e-20,2.55317900719031e-16
GZMM,31.4748835416069,6.15386903806169,0.683995266150609,8.99694682493119,2.32081900438852e-19,8.023535461972e-16
PRKCH,52.1888650702167,3.52032432650685,0.403014734087151,8.73497673597608,2.43706282466972e-18,7.02117799787345e-15
CX3CR1,19.1404328414214,4.4601199290383,0.557014392136661,8.00718974590522,1.17359344944899e-15,2.89810519531076e-12
TRBC1,162.438554609798,2.95063719934122,0.391166471560541,7.5431751284045,4.58664537743437e-14,9.91059399929132e-11
CTSW,74.1031426602662,4.24222141167346,0.564735957519613,7.51186701534961,5.8289987186867e-14,1.11955635390242e-10
F13A1,89.8612024241126,5.14764559556435,0.693693845002229,7.4206303438483,1.16564228925731e-13,2.01492926121018e-10
CD14,69.1397749544478,4.80527103845739,0.676053405624329,7.1078275746866,1.17883700773778e-12,1.85248877415957e-09
GIMAP6,55.7564091985162,3.03253506094348,0.428561596154276,7.07607748374124,1.48291968104656e-12,2.13614580054757e-09
CST3,89.7923824728232,5.30714499870441,0.756418718982467,7.01614709620562,2.28069945641411e-12,3.03262852335187e-09
SELENOP,37.84354388483,5.8027838359507,0.831932002093429,6.97506986310045,3.05718854721348e-12,3.77475437336658e-09
CCL5,290.945808369818,4.40081532325299,0.6344117326104,6.93684416135409,4.00955701469783e-12,4.62061350373778e-09
SAMD3,10.2846039076162,3.91277856009835,0.645706773797999,6.05968330962935,1.36389813147374e-09,1.47352144379094e-06
STAB1,20.2139091652726,4.40884370895941,0.741209691513474,5.94817331645651,2.71151405750147e-09,2.75713129399826e-06
AOAH,9.95846536785582,4.15855827069998,0.701721766851345,5.92622099975551,3.09985346852901e-09,2.97689261427736e-06
GIMAP1,48.7312038921029,2.83476621016882,0.491733417943211,5.76484352441591,8.17336370271181e-09,7.43604026131981e-06
TMEM176B,21.1655312234737,4.51969257471576,0.832950460392798,5.42612410897089,5.75909216708779e-08,4.97758336001397e-05
SH2D2A,25.7798326390344,2.92261756498752,0.54875550129074,5.32590116748382,1.00453743471594e-07,8.26877814119031e-05
FCN1,25.9693416752346,6.38312361311063,1.23885065286663,5.15245610787743,2.57096803460158e-07,0.00020200797020965
SLC40A1,28.3705299386616,5.4771146665845,1.06733635498927,5.13157322992108,2.87330394048118e-07,0.000215947530065903
CSF1R,13.3789656146992,4.50195420316187,0.916500835168997,4.9121114028573,9.0100832424696e-07,0.000622993195717318
IFIT3,56.9684923078565,2.06600404222899,0.425693950786811,4.85326145323511,1.21447406272689e-06,0.00077753328327026
CEBPD,14.5550546962885,3.70492117135344,0.763125620900549,4.8549296077641,1.20429515148535e-06,0.00077753328327026
FOLR2,38.4023562763277,2.13769948962497,0.441498395919884,4.84191904065917,1.28591158335859e-06,0.000793866701069167
RNASE1,97.4254878408834,4.8954756952682,1.01916495830225,4.80341838226384,1.55979486443112e-06,0.000898753800885213
DHRS3,10.7626048299487,4.30519210263599,0.928816692130593,4.63513644738705,3.56702113257325e-06,0.00198901700960197
GBP1,73.0493941051166,2.48221107457214,0.536802638021849,4.62406646084907,3.7628921275473e-06,0.00203266729114946
HAPLN3,9.16658751019464,3.72164944998865,0.811506085246929,4.58610171586848,4.51598652162032e-06,0.00236555584887057
CXCR6,9.06050179850942,3.7033056750799,0.830944536660314,4.45674231154347,8.32145311962469e-06,0.00423072466546566
TRERF1,13.8464571537602,2.95653137556589,0.6756721658013,4.37568916585405,1.2104941072127e-05,0.00597845746779392
CYB561,11.8356734734659,2.29379612490862,0.525764748995169,4.36278036763111,1.2841985146993e-05,0.00616629320141445
PAM,9.63247856756998,3.3104376161219,0.770470391951646,4.2966448168584,1.73402700816626e-05,0.00788799759556896
RRM2,35.0046287139684,2.70313868325071,0.643426795124036,4.20115964043682,2.65551249042818e-05,0.011770048438344
APOC1,29.0744724443478,2.35683912438867,0.565452187621557,4.16806084755311,3.07201937850666e-05,0.0132015718731028
IGKV2-30,11.3753120146721,4.32627802414419,1.03904498600028,4.16370617483836,3.13123016774972e-05,0.0132015718731028
MICAL2,5.593569662344,4.10587549296637,0.987779928713345,4.15667030035179,3.22919481289913e-05,0.0132904432228034
CBR3,9.02172355590074,2.13141102059715,0.514888705715146,4.13955675651646,3.47977504056408e-05,0.0139886956630676
UBE2C,18.7704781609551,2.09234591815027,0.509187798297749,4.10918314450018,3.97061096559699e-05,0.0155990866252976
INPP4B,20.3864342352201,3.9722017914423,0.970488154388616,4.09299358624804,4.2583950387221e-05,0.0161322992788948
IL4I1,120.655100280777,2.18692424109724,0.538518222717338,4.06100322856694,4.88622957207286e-05,0.0179709285920961
NSG1,8.45234731020465,3.08565851736037,0.766779703762972,4.02417865550888,5.71745031311559e-05,0.0205899679401075
LGALS3BP,24.8964904073033,2.53531267673942,0.632204109147928,4.01027554242958,6.06479305669077e-05,0.0211620987735434
PDZD4,6.25825682355114,2.68245717056395,0.671890717035808,3.99240099996946,6.54076430132131e-05,0.0221693434730667
TBC1D4,11.6857168350114,3.24910525686866,0.822286362510519,3.95130626628518,7.77257790909112e-05,0.0248808855067684
RASGRF2,9.1966158286766,2.59450711879997,0.65958439941763,3.93354833906131,8.37009965959806e-05,0.025836704056395
KCTD12,15.4337654343843,2.93084247212757,0.753681085180497,3.88870376311178,0.000100781038603779,0.0300362247121538
SEMA4C,12.5808283155238,2.25183548684174,0.588701684071226,3.82508755753669,0.000130725617732081,0.0364471456147862
C12orf75,7.95200342712011,2.51546360157991,0.658862953935704,3.81788592992493,0.000134600130489598,0.0364658539864138
BIRC5,18.099470002113,2.08113261297357,0.549353124881673,3.78833307523613,0.000151661438403067,0.0396241144322707
CCL2,18.1848916082526,3.9919753840213,1.05462590294999,3.78520513563623,0.00015358183888477,0.0396241144322707
PDE3B,22.8556368950006,2.99651500378085,0.799925299554201,3.74599353896022,0.00017968121531853,0.0450140505506683
NBL1,10.0641079722452,3.15268452936448,0.849912249630535,3.70942356782713,0.000207731654404979,0.0485249915951955
TMEM176A,9.62887328858529,3.23003592589105,0.873384874351452,3.6982961587119,0.000217051554906467,0.0493678049751735
MELK,8.15636468448494,2.31417638907576,0.625367899419665,3.70050396130548,0.000215171720257854,0.0493678049751735
