"","D1_p1_diff","D4_p1_diff","D8_p1_diff","D11_p1_diff","D14_p1_diff","D1_p2_diff","D4_p2_diff","D8_p2_diff","D11_p2_diff","D14_p2_diff","D1_p3_diff","D4_p3_diff","D8_p3_diff","D11_p3_diff","D14_p3_diff"
"A2M-LRP1",0.780902227927196,1.28242977890234,0.868238985360936,0.940267062910499,0.419119843235967,1.79358254450387,1.15162785014141,1.05098371615028,1.46464676180459,1.20992983594663,0.849549432692401,0.85730003218218,-0.0863732763315107,0.0356525900093943,-0.0467322390986228
"ADAM15-ITGA5",0.0802638217842055,0.0870207264148544,-0.130163033565625,0.167255016616295,0.550668136820473,0.376862967141044,0.0924119360632815,0.451770857217029,0.572494394441774,0.183443056784884,0.554389163005436,0.379065557838295,0.186675677492746,0.0721587502340675,-0.0744858688972264
"ADAM15-ITGAV",-0.0225784852819095,0.0568949690721638,-0.058997721878854,0.200736383663112,0.343008761931494,0.283999075676572,0.112247446752734,0.0330705730777499,0.250750282227249,0.198832980347513,0.31545568107471,0.201931397546044,0.132247743301671,0.0151625405802593,-0.0658312516099174
"ADAM15-ITGB1",0.00881625206228642,-0.0309648354209346,-0.171482275417014,0.191938764042515,0.477600219971923,0.302844159769552,0.142310135526886,0.333924803156292,0.613617026697292,0.493362274828742,0.373588582774791,0.226109314096076,0.146906939567463,0.009128584275364,0.06608474438297
"ADAM9-ITGAV",0.23650459679068,-0.08709751914769,-0.364873446752332,0.201803400905112,0.128756872936115,0.600645527010325,0.378631052594322,-0.0934533241712727,-0.48523578389512,-0.00949028439384619,0.325509032660974,0.180359152884451,-0.0668501365347969,-0.336645780188086,0.0543561221641012
"ADAM9-ITGB5",0.304156389548969,0.0652745336575564,-0.0597106802056666,0.220655685811396,0.080195518970813,0.709701592811622,0.493693744765826,0.211502297473149,-0.11520497006222,0.00999159819543127,0.307149364947626,0.193847579682195,-0.00761215943837912,-0.392734927540731,0.153291506321413
"ADM-VIPR1",1.10102689817063,1.32033108746757,0.925374190218397,0.531711553168237,0.527576629824143,0.0602009817603131,0.0977940159972752,0.155951099510172,0.300124549644845,0.652438823526606,0.122915958820185,0.158911809424141,0.184273656059563,0.290692201831153,0.0200113758858138
"ANXA1-FPR3",1.28823631937984,1.15387212393859,0.851652581216625,0.883316275455839,0.216962458999454,1.44763258201904,0.788494553368779,0.395928663713508,0.320222882079595,0.210137879158771,1.72978787769025,0.394652003219872,0.118453130980396,0.140189819089645,0.200947506836364
"APOC1-VLDLR",0.11087989460521,0.0233549783833751,-0.574212556807214,0.0937845122941371,0.859256312691578,0.10812987503805,0.172358017787441,1.12998698392359,1.11184439164035,0.818155511646877,0.339024239933344,0.0464915767781107,-0.214369143660522,0.0558298414626955,-0.338852345562297
"APOE-LDLR",0.652322555328291,0.977702885269926,0.881900647375551,1.16925903283219,0.764830734027296,0.33536265093553,0.625480007948896,2.09924654734946,1.83219096375529,0.98148289335652,0.475620034801681,0.352195733531903,-0.136268046231821,0.208773376390022,0.113145130574127
"APOE-LRP1",0.577184264047819,0.701601488536321,0.806275598851761,1.21907627768805,0.886824353111861,1.30370767313969,0.999714133703478,1.1096951709865,1.69625614675294,1.36842218325259,0.800214161360587,0.616297327437356,0.0220377578073191,0.118366185516895,0.00885950282983866
"APOE-SORL1",0.544871208761084,0.393565258010401,0.344453547069093,1.13013547668926,0.646553616508395,0.999598609039995,0.979597663347798,0.918453266694193,1.4658521214742,1.00991768192876,0.623018332998796,0.9356370436018,0.539631470993851,0.17537044280185,0.130350817559146
"APP-CAV1",0.056382256164721,0.00775323627269034,-0.143666985211864,0.12488596897629,-0.159139212623123,0.025550158058005,0.0974284685922956,0.128754348492301,0.383817197074738,0.589461167231383,-0.0445990768732537,-0.0201491861823148,-0.0110986600612577,-0.256561514278851,-0.0933005253282611
"APP-CD74",0.0433667605955268,-0.132378066799938,-0.522059151892425,0.241765771156423,0.444369169112862,0.0772504371933618,0.381149446594311,0.631713707254668,1.43489760399157,1.53415595125984,0.228287450579386,0.0699860072284277,0.0803793607332297,-0.37738476684237,-0.108194700940005
"APP-NCSTN",-0.0217890895415306,-0.234544266553628,-0.557217375532497,-0.127189811013038,-0.145684436679992,-0.0442292284913823,-0.0592196958512674,0.29232078925475,0.32141523998922,0.585291664978963,-0.0450775023245396,-0.357461559724179,-0.194566266590685,-0.344870018226499,-0.167965724345292
"APP-TNFRSF21",0.064377790354336,-0.2321716373036,-0.180406373569173,0.0951416780221844,0.054971612620061,0.166965936635128,0.190963634036019,0.295166169984235,0.045386239356747,0.282531367310289,-0.00576618328966456,-0.219204852936775,-0.1931825787292,-0.145270377241784,0.0284790069671867
"B2M-CD247",1.10348985127702,1.45625114781756,1.08386485644369,1.47794490285353,1.06840266457001,1.05982952618159,1.06432340556484,1.03686652263304,1.79218960189128,2.19682115391572,0.74729933985948,0.683536204750446,0.4673565413625,0.199905317184117,0.331709029373281
"B2M-HLA-F",0.451446568186828,0.810617478359313,1.13674669321751,1.24968087069387,0.885884783265036,0.219287192363502,0.549826102086801,0.76537229212963,2.34568195177864,2.21835115815557,0.208533886071532,0.627548210722778,0.45873891603831,-0.0277518212722077,0.157063142358027
"BTLA-CD79A",0.0171170739735447,0.119034507766516,0.0698679488536075,0.237742086436024,0.46313453439354,0.0617209472018709,0.42633778930299,0.374536358934699,1.59324532922277,1.89684206898329,0.0407661955633276,0.33846796723626,0.33022324492576,-0.166023920162942,0.102608897136643
"CALM1-KCNQ1",0.0490304076992452,0.190321357652866,0.153856150674728,0.286715215006647,0.089445027484459,0.130255174946977,0.313420830192752,0.24592344525031,0.813159581325814,0.68718898191711,0.164292170508626,0.312364289995374,0.322174522378129,-0.0441050922668424,0.0216643043561272
"CALM2-KCNQ1",0.0438914666735748,0.14707287290087,0.0533479170960313,0.272787690420022,0.121429550560166,0.134267658846594,0.387209996646466,0.266596122584219,0.655464488334735,0.522030665997726,0.193040495083793,0.312605804647909,0.292432544783685,-0.0474456217639735,0.0728643856563671
"CALM2-SCN4A",-0.229679921321833,0.338724408820682,0.0914342452758299,0.140105717166783,0.148482300145876,0.0397946798000661,0.327862437122796,0.215697849595931,0.79768779621401,1.14574374237695,-0.0555618583796283,0.150172114385586,0.116409041084281,-0.0800482670007007,0.106086568190125
"CALM3-ABCA1",-0.0146874650780975,0.395092677801351,0.261827507655432,0.308920921155255,0.468779847791499,0.113729643856343,0.460041342268557,0.851801239972785,1.1066082499387,1.94415887014708,0.00792572353754606,-0.0335533614333198,0.0182171899239671,-0.111511817559979,-0.190674700948151
"CALM3-KCNQ1",0.0921387939631813,0.217479289173037,0.131752706092156,0.294956601146452,0.41462726478468,0.280985098914993,0.282765535268124,0.753434912117349,0.978116718352233,0.754304186209015,0.342407862666029,0.306843528412786,0.238511599878473,-0.0169943594212115,-0.0449626441520944
"CALM3-SCN4A",-0.181432594032227,0.409130825092849,0.169839034271955,0.162274627893212,0.44168001437039,0.186512119868466,0.223417975744454,0.702536639129061,1.12034002623151,1.37801726258824,0.0938055092026079,0.144409838150463,0.0624880961790691,-0.0495970046579386,-0.0117404616183366
"CALR-HLA-F",0.391541874774062,0.678000827798255,0.574111009801086,1.03539849675951,1.1084821424501,0.248468466749825,0.326573918890548,1.0262767567669,1.9405277261105,1.82686117305555,0.164522265544651,0.442454829245349,0.505790613895147,0.0852231640848568,0.334490975498801
"CCL2-CCR1",1.62587936063644,1.89163171459458,0.987699042457032,0.848789193957992,0.414674180640208,2.13604407849125,0.755900350673161,0.504076037280394,0.718820175121211,0.63881870745712,0.938597312631619,0.352250820530859,0.0764162613762301,0.0696448874387126,0.026424923816465
"CCL2-CCR2",1.21639848142188,1.60810249172644,1.01185842451169,0.741813139313758,0.501104120383393,1.85768283056521,0.639715425606416,0.474745489735295,0.760845706988848,0.863877105061018,1.55866392884967,0.377200650191975,0.0600212142074874,0.134197159761971,0.0762063930484965
