	J1_p1_rep1	J2_p1_rep1	J3_p1_rep1	J4_p1_rep1	J5_p1_rep1	J6_p1_rep1	J7_p1_rep1	J8_p1_rep1	J9_p1_rep1	J11_p1_rep1	J13_p1_rep1	J1_p1_rep2	J2_p1_rep2	J3_p1_rep2	J4_p1_rep2	J5_p1_rep2	J6_p1_rep2	J7_p1_rep2	J8_p1_rep2	J9_p1_rep2	J11_p1_rep2	J13_p1_rep2	J1_p2_rep1	J2_p2_rep1	J3_p2_rep1	J4_p2_rep1	J5_p2_rep1	J6_p2_rep1	J7_p2_rep1	J8_p2_rep1	J9_p2_rep1	J10_p2_rep1	J11_p2_rep1	J12_p2_rep1	J13_p2_rep1	J1_p2_rep2	J2_p2_rep2	J3_p2_rep2	J4_p2_rep2	J5_p2_rep2	J6_p2_rep2	J7_p2_rep2	J8_p2_rep2	J9_p2_rep2	J10_p2_rep2	J11_p2_rep2	J12_p2_rep2	J13_p2_rep2
A1BG	21.4313026178713	18.4450438439579	16.9628030863894	20.2094053685047	13.4585361788288	14.9935702597993	12.8507505847631	14.6998937399612	23.7903583501254	23.2363857075304	22.7223634707809	21.4903211677238	25.6899820713833	21.5455648780017	19.9488897262475	11.2151327031881	12.9866068609113	14.6080267834943	13.6224049375319	22.9104577610518	26.2139181045079	23.8992089579913	32.1537018401012	36.4034107793589	39.6755932466649	30.7450251446381	24.1397170412159	26.2575805722653	21.3525273300654	19.5042238636583	36.9078487059788	32.0164846096299	47.8332526077756	32.1357861352835	32.4803472285116	42.9681755089915	27.5433713783092	39.8971618815207	25.7499958224522	28.0153814467827	22.4477745736116	26.6642408304785	29.0073452290447	32.8781569652919	28.6063644703685	42.5691699938485	34.8528627708899	33.6642549507141
A1CF	0.0342088613864979	0.0158751300806846	0.0290255678736994	0.0144663742734982	0	0	0.0128779321718405	0	0	0	0.0459749787688315	0.0193927707421798	0.0366604330266019	0	0	0.0180678012593829	0	0	0.0599122217286142	0.0122407687985465	0.085440578658694	0.0145933889171396	0.0139390556553983	0	0	0.0546075049647879	0.0167030559165694	0.0232696677705882	0	0.0361711805063626	0.0101263195343314	0.0383834847646423	0	0	0.0116295808831272	0.0315824307650668	0	0	0.0131073215805386	0.0194913788082365	0.0135412976855486	0	0.0637228660040248	0	0.045259273214076	0	0.0363459469224327	0.0135565786938526
A2M	0.0945578312576199	1.33518689949672	0.386433712943431	1.51658321558952	1.76917602223957	2.50093536304064	0.787407220215478	0.851545534354615	0	1.11337809836878	0	0.766741100413663	0.293102468555952	0.528258737657381	3.91913577142939	0.203377109828158	0.272680545592828	0.620754242865326	0.46171261753759	0.759755419974027	0.962672576139776	1.62625959519415	0.56758359260005	1.5871558798692	3.72809478923757	1.63098030330298	2.82009132192717	0.205953353352434	0.768378385475028	0	2.24117132646902	1.94669769795035	6.12941278205645	5.26361679877358	0.752915033552562	0.16564533067231	0.43224536056894	3.45070068837577	1.16797471681051	2.71626254327635	0	2.88557334474654	2.15837522459534	2.4721606271682	0	5.68123867045702	1.04308125332934	1.6483547127632
A2ML1	0.0483006321936064	0.207433645226516	0.486117518603456	0.216354261768708	0.0928674793803958	0.172531956805727	0	0.145531375631291	0.1029974492948	0.0227907945262378	0.421088575161786	0.112117491316255	0.207384390334757	0.263465514355331	0.244645895502637	0.602536263489616	0.184164230592965	0.162265495255661	0.145095436166352	0.114975917237315	0.414601920212671	0.202049690759694	0.209757990402981	0.14262430790654	0	0.301487974430126	0.0235997675512836	0.390237674939681	0.0739503503730906	0.196281581331796	0.0285463173647167	0	0.127373235120238	0.101292022943728	0.108223289426672	0.148211195718883	0	0.032840579517709	0.0374071352723282	0.174321927290058	0.210548273363697	0	0.121784770556902	0	0	0.325795690348429	0.109476161170939	0
A2MP1	0	0.0724803456557989	0	0	0.0363273780175217	0	0	0.0251488078128197	0.0241822467454559	0	0	0.0442836826586857	0.0418510697564727	0	0	0	0	0	0	0	0	0.0618161292991256	0	0.0267266077396168	0	0.0967302908045892	0	0	0	0	0.0230901280610001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0.165852038126824	0	0	0	0	0	0	0	0	0	0	0	0.146843337971524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0.272134432516122	1.37424378341102	2.21779619039068	2.97724904874365	2.04192199748956	1.35581692520761	0.991033116509939	1.47166812663756	2.28056966430537	3.28864567721877	2.01116450560564	3.04805025897852	3.62809464971483	1.84800760114275	2.84224476710764	1.41076838728116	2.0697576154282	1.9115915253638	2.83215243514964	2.5946881784397	4.48936664545436	1.70096718457177	1.59696780509062	0.577982778735282	0	0	0.577722406666709	0	1.44817547100455	3.79974337855731	1.65232525139438	0.677091772157851	1.57784593235831	1.76865457624455	2.88878150387273	2.55562074868426	0.770255073640225	1.20218587809515	0.514486473982961	1.1428648356766	0.0568467384730571	0	3.40813223303829	3.49518437888944	1.5928322772656	1.82119184112435	0	2.38874853151182
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0564909690008858	0	0.0589814094888282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	32.2685039491161	30.4655486203785	29.9545136257729	36.7612010008696	36.073697122116	35.0048050812438	35.4189229325477	33.2186324194653	34.6232992351568	32.8235501058527	41.825268638748	34.8919270260226	35.6578393775232	31.386299835173	30.1109825762033	37.8842347095786	36.0618498891043	40.3270028239909	34.7375709118767	33.0547792182452	32.2452809305233	40.7443099820126	30.2367049862994	31.288939318691	31.0510024318869	33.8336936851015	34.7883389852271	37.0852742638615	32.3088397088571	31.457409234729	31.838520729836	32.0435604376552	27.9016954372473	26.7332300316557	27.1372066918975	32.5625538832961	32.0617004920065	32.6421340047366	34.0784946644199	34.3560182974433	31.6318912257751	32.8872697688796	33.388946662652	26.6313747735532	29.4416947770161	26.4190895988187	30.4353799390488	27.5978806386582
AACS	13.3796357867911	15.660677893245	11.2703239568667	13.9282527653103	13.1100918968421	11.2544437589594	10.8658984977776	10.57359966255	13.131256553689	17.7877446805406	17.09707318617	13.6100350064364	17.1776458555763	12.6584581095905	14.8994979000095	12.9511913209929	11.7802043570812	14.8963499279679	12.8613029002992	12.3802754142599	17.4244972794967	16.0090020834229	16.2753541012825	13.7144225210593	9.99682491901192	11.3411991080701	12.5322764125305	15.2938124773427	12.9716184338055	13.5091752479093	10.2242878046554	18.1566527753626	11.0102769416065	12.5887452336983	10.0646880177702	13.315040475187	10.7143131956059	8.70570020702965	11.4691000983442	12.7900819260145	12.5620901065899	13.4914597442282	13.1370149121689	9.56571013832829	15.295800723699	13.1313172060958	11.8897742688613	12.3401304792277
