	D1_p1_rep1_auto	D4_p1_rep1_auto	D8_p1_rep1_auto	D11_p1_rep1_auto	D14_p1_rep1_auto	D1_p1_rep2_auto	D4_p1_rep2_auto	D8_p1_rep2_auto	D11_p1_rep2_auto	D14_p1_rep2_auto	D1_p2_rep1_auto	D4_p2_rep1_auto	D8_p2_rep1_auto	D11_p2_rep1_auto	D14_p2_rep1_auto	D1_p2_rep2_auto	D4_p2_rep2_auto	D8_p2_rep2_auto	D11_p2_rep2_auto	D14_p2_rep2_auto	D1_p3_rep1_auto	D4_p3_rep1_auto	D8_p3_rep1_auto	D11_p3_rep1_auto	D14_p3_rep1_auto	D1_p3_rep2_auto	D4_p3_rep2_auto	D8_p3_rep2_auto	D11_p3_rep2_auto	D14_p3_rep2_auto
DPM1	605.580849473405	685.485054810915	590.859912973445	593.868302181525	550.844418490497	659.156272814438	655.933998998993	648.112200116472	580.312010949748	617.176527746315	612.968085347294	662.006238521786	670.914787973895	606.404412070714	587.831911953485	593.405756037851	684.362338233383	677.951770982472	613.345184896116	653.858439703906	577.891546807958	708.19193018645	637.178495080953	712.364521916593	657.725972474987	673.924724990781	611.150001911281	718.673004857107	672.470174627613	826.586089795623
SCYL3	452.839901884002	410.924136336249	358.366162755824	426.738385995354	371.6260231788	429.919994768823	436.476527214944	392.028842997281	364.828506883849	402.038740296619	524.586640483266	572.81754225035	404.059375121239	464.831397579497	510.67897350959	512.716021505792	527.877047478798	443.53013588626	474.136502481492	501.291470439661	415.791150659311	390.874048424164	468.30029231966	405.048729687331	443.805389194287	425.63666841523	392.036144636888	406.752924847584	439.415625558196	546.971703534824
C1orf112	160.815358915715	182.22528664911	131.055394230952	84.6791575343262	96.9796511426932	157.446981006419	202.388557311957	155.968464418273	76.8060014492314	86.0551149798784	92.1827973312985	74.1145504227427	142.238970058256	79.0449330909297	102.87058459186	74.8061080557631	89.7182333659618	116.660532019711	93.7246574672716	83.5485784066102	102.493972452732	141.980507742694	85.993195271088	92.3033298215098	91.5282097618914	110.70852739083	127.915116679105	119.969261542124	101.640530210891	100.354752329218
FGR	4481.2982861032	5017.92181960604	4455.14297789626	3709.16993989174	4606.14551067336	4695.67265633652	5048.3346564842	4821.32246428107	3671.75356928131	4995.23050234763	4574.9276943595	8298.31728970573	6427.18744351728	6904.04400668837	7786.32353375054	4836.34096351529	8822.64069274347	6245.7407472817	7930.75998627472	7318.37112883408	2275.22080692945	2571.04461611168	2533.1730414194	2830.99742170207	3494.03619358476	2000.27737353723	2552.38033743956	2578.76784095786	2749.42767580572	2205.50635080778
CFH	1.34573522105201	4.28045975350259	5.18298169274951	2.22839888248227	3.10334883656618	2.44736239906351	2.43841635315611	2.10768195159828	5.33375010064107	0	6.65236681772257	12.5617882072445	5.03500778967276	14.1573014491217	6.12324908284881	1.68103613608456	9.38911744527507	4.40228422715891	5.51321514513362	8.47594273690248	2.90763042419099	2.56591279053062	0	0	1.0642815088592	0	0	3.42769318691784	0	1.53213362334684
FUCA2	222.719179084108	261.719539214159	322.085290906577	396.655001081844	394.901139453047	231.683640444679	296.673989633993	363.575136650704	358.42800676308	404.727962639741	438.105871852872	329.118851029807	373.849328383203	482.528024390899	394.337240935463	379.073648687069	362.002639278939	360.98730662703	452.083641900957	433.483928544441	596.064236959152	638.912284842123	638.214557674581	651.552916387128	681.14016566989	581.488478819797	669.185564108283	669.542735844618	682.736894850935	605.192781222004
GCLC	2044.171800778	1996.52872788371	2364.18007784989	2420.04118637574	2645.60488317267	1988.88984297228	2039.32887668956	2434.37265409602	2448.19129619425	2498.28755675959	1465.4213761326	1447.11800147457	2081.97572102969	1839.26941326507	1764.72038567703	1432.24278794405	1313.43320706681	1831.35023849811	1855.19689633746	1744.8333548395	1822.3573683617	2069.8363176947	2186.09207255416	2354.27787121216	2031.71340041222	2040.04645619219	1985.05310698315	2153.73388578004	2250.46507295226	2436.85852793316
NFYA	1068.5137655153	1067.05746712315	924.051593221628	895.816350757872	949.624743989252	1041.7605945347	1045.26781005292	879.957214792283	962.208518155649	896.85565143092	1070.08071953652	1472.24157788906	1222.24814094306	978.03357511016	941.755708942146	1106.12177754364	1450.09702765915	1114.87848052799	919.328625451032	974.733414743785	1135.42968064658	1174.33275379951	1117.91153852414	1193.42775851576	1124.94555486418	1209.19508072509	1125.17926708472	1021.45256970152	1232.00642679868	1208.85342882066
STPG1	88.1456569789067	58.7034480480356	54.0510947958164	71.3087642394326	72.9286976593053	91.3681962317043	77.2165178499435	49.5305258625596	76.8060014492314	68.5751697495906	107.388207200379	174.608856080699	95.6651480037825	104.999985747653	106.544534041569	116.832011457877	158.571761297979	128.766813644398	92.3463536809882	111.398104542147	126.481923452308	118.031988364408	116.039010486287	114.021760367747	172.413604435191	174.124091624412	120.808721308044	127.967212311599	105.74721830022	120.272489432727
NIPAL3	937.304581462725	678.758618055411	924.792019177735	954.868921143652	1148.23906952949	819.866403686275	654.308388096889	805.134505510544	902.470517028469	997.701489297965	995.004008307934	964.74533431638	878.608859297897	1028.76390530285	974.82125398953	973.319922792963	871.101451867187	895.864840226838	906.923891374481	885.130591525102	909.361415165731	834.77696118596	1063.00022106188	1040.31282316478	1020.64596699598	961.98186422129	954.625778179249	1021.45256970152	1043.09877468955	1089.34700619961
