"","D1_p1_rep1_B","D4_p1_rep1_B","D8_p1_rep1_B","D11_p1_rep1_B","D14_p1_rep1_B","D1_p1_rep2_B","D4_p1_rep2_B","D8_p1_rep2_B","D11_p1_rep2_B","D14_p1_rep2_B","D1_p2_rep1_B","D4_p2_rep1_B","D8_p2_rep1_B","D11_p2_rep1_B","D14_p2_rep1_B","D1_p2_rep2_B","D4_p2_rep2_B","D8_p2_rep2_B","D11_p2_rep2_B","D14_p2_rep2_B","D1_p3_rep1_B","D4_p3_rep1_B","D8_p3_rep1_B","D11_p3_rep1_B","D14_p3_rep1_B","D1_p3_rep2_B","D4_p3_rep2_B","D8_p3_rep2_B","D11_p3_rep2_B","D14_p3_rep2_B"
"ADNP",4.57934754850297,4.73205966234854,4.46709035100308,4.37648922819065,4.32137505005022,4.47756187677036,4.57485566611072,4.39407413653127,4.46219158412813,4.29752745055082,3.53974288684931,3.42200570597227,3.10975690603026,3.54295596018134,3.21531090463254,3.55290187486452,3.53048509992827,3.68570909115985,3.51306735678672,2.23071387116144,4.00378126481181,4.05369982497255,4.0913148101196,4.20383295971122,4.21644326300665,3.93001915601437,4.09696095161213,4.22405287078953,4.41145836100425,4.10549600153979
"AHR",-4.43600378291746,-4.16296338770806,-3.57781068732559,-3.47599722571882,-3.7011066778635,-4.34910492638597,-3.96915866937042,-3.66556269085331,-3.69212719174895,-3.57686803699197,-2.73941284984101,-3.37398774396191,-3.25695486316752,-3.50439159650354,-3.93505722573796,-2.72484899092921,-3.1879999131332,-3.35891474947058,-3.89698912024947,-3.11629201685624,-3.09563464467282,-3.1254550094191,-3.14568724946159,-2.66237456517829,-3.28249644254631,-2.89198114693905,-3.08778990825076,-2.93171830693557,-3.45127700209486,-2.85014243869577
"AR",5.40478506211775,5.76294789733783,5.65308544216395,5.66639930045457,5.24131356799209,5.39799814860712,5.67727016723006,5.84986672438246,5.84200553520862,5.25088477092336,5.34375833151964,4.74729997791484,4.86186735103553,4.77656487204051,4.57345306354368,5.08679389521377,5.09148067704065,5.23848506458627,5.04061080286697,3.06848177667386,4.77534141864346,5.23437235342589,5.31298898737729,4.91067401240201,4.55018382932095,4.82455567640275,4.94211853819764,5.13798046276954,5.18662439620684,4.65121946694947
"ARID2",5.9662152022174,5.74103537909692,5.78396281172002,5.96210256119471,5.73736137909655,5.92562054212518,5.71659281933812,5.8057846030654,5.94070239813287,5.63935953403337,5.57233857091324,4.76209327543242,5.38207979513628,5.44622204711676,5.35342707932436,5.57844455390653,5.3615577797947,5.62852461793574,5.60625426244529,5.02700712960636,5.59423674587922,6.12452571903972,6.31653505076075,5.8649241312796,5.72750085024491,5.78712268076982,6.13442610982147,6.18801070746742,6.35192024102715,5.82652487510364
"ARID3A",7.86353401040842,7.12475237825902,6.64402353542302,7.2075672121747,6.43470809927989,7.90647905762208,7.17753040665294,6.93078301690045,7.35342624432586,6.39278450861615,7.01532421635786,6.7025512893335,6.55309235304901,6.55221138493615,6.15179756552603,6.89031543171503,7.3466668315883,7.09777953537339,6.92534687755525,4.02988599690329,6.69084843272167,6.46441865190766,7.03352422378633,6.83375847272845,6.54758019300551,6.64064171873417,6.36226951732765,6.94392220604865,7.48566964177526,6.81157092006376
"ARNT",4.33790675217864,3.97583775470225,3.48592586244264,3.68029538361003,3.66970895904023,4.45622193145351,3.96051561665848,3.61578323210844,3.89443049211852,3.52663215750749,3.27216611947889,3.41469887019102,3.33334594100577,-3.29266254326056,-3.82316163737194,3.19416260541233,3.38795943143242,3.44800402184612,-3.74417384267039,-2.71378977285526,2.87400868593899,2.95516494052379,3.04282269580266,3.08919804564037,3.04298458431367,2.9654199394571,2.95577173192449,3.0704869365785,3.38619494521728,3.07045193460878
"ASCL1",4.32219483560452,3.54245979132831,2.9542626628135,2.75492915194678,2.74382303521313,4.3162031846167,3.3843708584937,2.71504557779109,2.88753783347197,2.42421860892212,3.64708172023611,3.46750928035432,2.59047969968843,2.75314469633554,3.17747686752157,3.60624884641348,3.13066907746292,3.11892666146887,3.13628732379893,-2.35725575737109,2.54366353871244,2.31701593918989,2.57263721223398,2.22828738214342,2.22700008958181,2.77755044245259,-2.2402826506858,2.50134545619725,2.77942788113301,1.8950325993038
"ATF1",6.04295414376054,6.11466669384846,5.94202495965404,6.08573961788858,5.80157287797257,6.14331647457895,6.02307417831765,5.93655670283768,6.3259424170618,5.652506642612,5.74416836509785,5.59227784303031,5.38723705107001,5.73234761715273,5.34008674320084,5.66409860151537,5.77282407518344,5.72857117846267,5.88330293510258,4.52285603124277,5.39480000817154,5.80148750632495,5.97201007736766,6.03808538484378,5.74524257221846,5.88056172335918,5.93568167295471,5.87478425028689,6.24532498838649,6.06866517878899
"ATF2",13.6625345452506,13.9634493187897,13.3776861845363,12.944832179835,12.7675144340513,13.4717627449937,13.9682867098468,12.9901472370633,13.0604453322134,12.8637305959738,12.8743634909561,13.2884443932435,13.3316175229389,13.6846533092707,13.4979941016263,12.9756033541345,13.1569067225175,13.964932430907,13.7401963624235,11.6474144515483,12.3624232698622,12.463090101304,12.8197200290509,12.6070503705647,12.5449642873447,12.4943801959787,12.7233219103186,12.8131903054645,13.1018508613274,12.7973176234913
"ATF3",5.8759687479079,5.90083469653392,5.96818921938017,5.87553007313697,5.55464274440931,5.71825967784171,5.93230975171766,5.95868889842739,6.34066120518689,5.31078225028328,4.85508826857236,4.9622278272228,5.04150200228114,4.57571993265167,4.56945869170539,4.6998230036805,5.32601497543222,5.46483870236236,5.07438043518314,2.83975694002819,4.1662547400301,4.81017494273153,5.52093807926464,4.9825037637379,4.75723933237247,4.30110168730298,4.87459273580597,5.02720136826507,5.28553645537293,4.73733022008837
"ATF4",4.43033639240361,6.70462405957666,6.49014913264142,5.75305864405111,5.48576506437905,4.1541783118431,6.58093353481394,6.49308864146062,5.78311381307852,5.7174371227721,3.86462028531308,4.17080642487686,5.82461502164906,5.20278138314545,4.65380266363741,3.7428253770741,4.68251264633892,6.13214636765274,5.40217664395451,4.24083315168247,4.28675797699415,5.20981117214763,5.41030193048739,5.06106704860328,4.79808258157031,4.27948449209341,4.86594017368336,5.27568053044501,5.15896468546836,4.69969770392909
"ATF5",0.787130957676427,-1.38186822727304,1.29228000050631,-0.942575375523098,-1.02235645498931,0.757063907898551,1.2848845541124,1.43847910511973,0.952191742601726,-1.06701053681909,1.52766723987236,1.16552309786548,1.35790240865352,1.2314296975839,1.10190027971762,1.38234532853045,1.36934364597936,1.30305034114077,0.707347276145182,1.10028287248589,1.41146840619158,1.56705621827672,1.48475354151724,1.37401996009779,1.09510460984978,1.53159566199539,1.54126171996556,1.44157025828453,1.43506306739644,1.24996660936964
"ATF6",2.81128024109603,3.15848465504941,3.76988767966429,3.76456303892187,3.45917154688001,2.80749817029643,3.12751021056498,4.03429632221125,3.81894069457001,3.35612891833062,2.54816621063401,2.38548427388394,2.949988977062,2.94066212854495,2.53656090398427,2.50208735619693,2.32872389858492,2.90193818845942,3.0117736088014,2.70855466412947,3.62727246690349,3.71032287551073,4.0043821015393,3.81139014872312,3.6599457391917,3.59084963394418,3.72560088047368,3.85453389398359,3.77522516864054,3.69395970657205
"ATF7",6.24988404090828,6.15187155690448,6.10142905470317,5.98982902681886,5.84123797102301,6.28449842182974,6.15771167589761,5.9990527308144,6.4737478991016,5.61622908267651,5.43502482799626,5.5309471404938,4.9797752249243,4.96864750095739,4.83509403406433,5.37802982665866,5.7212044377057,5.35726062785627,5.02742044162791,3.391501647694,5.13130868279501,5.84131118893321,6.46515337552235,6.20896409724324,5.74062442012395,5.28494552676777,5.7452444932997,6.32304528526431,6.44662822815283,6.08272068568063
