"","x"
"1","MYBL2"
"2","NFE2L2"
"3","SRF"
"4","TCF12"
"5","AHR"
"6","ATF2"
"7","ATF3"
"8","CEBPD"
"9","CREB3"
"10","ELF4"
"11","GFI1B"
"12","HOXA1"
"13","MNT"
"14","MYBL1"
"15","VDR"
"16","FOXO1"
"17","NEUROG2"
"18","SOX6"
"19","IRF4"
"20","MAFA"
"21","E2F7"
"22","NFKB2"
"23","NR3C1"
"24","TBX21"
"25","CTCFL"
"26","IKZF1"
"27","POU2F1"
"28","PRDM1"
"29","RREB1"
"30","ZBTB4"
"31","ETV2"
"32","MAX"
"33","RUNX1"
"34","MLXIPL"
"35","HCFC1"
"36","E2F3"
"37","KLF1"
"38","MXI1"
"39","TBX1"
"40","FOXC1"
"41","RUNX3"
"42","HSF4"
"43","KLF6"
"44","ZNF354C"
"45","CREB1"
"46","DBP"
"47","CEBPZ"
"48","NEUROD1"
"49","SOX5"
"50","E2F1"
"51","E2F2"
"52","ELF2"
"53","ETS1"
"54","ETV3"
"55","BATF"
"56","TFDP1"
"57","BHLHE40"
"58","RELB"
"59","NR4A1"
